ID,agency,month,year,date,crime,value
1,Albany PD,1,2022,1/1/2022,Agg Assault,2
2,Albany PD,1,2022,1/1/2022,Arson,0
3,Albany PD,1,2022,1/1/2022,Burglary,8
4,Albany PD,1,2022,1/1/2022,Larceny,41
5,Albany PD,1,2022,1/1/2022,MVT,14
6,Albany PD,1,2022,1/1/2022,Murder,0
7,Albany PD,1,2022,1/1/2022,Rape,0
8,Albany PD,1,2022,1/1/2022,Robbery,4
9,Albany PD,1,2023,1/1/2023,Agg Assault,3
10,Albany PD,1,2023,1/1/2023,Arson,1
11,Albany PD,1,2023,1/1/2023,Burglary,8
12,Albany PD,1,2023,1/1/2023,Larceny,39
13,Albany PD,1,2023,1/1/2023,MVT,11
14,Albany PD,1,2023,1/1/2023,Murder,2
15,Albany PD,1,2023,1/1/2023,Rape,0
16,Albany PD,1,2023,1/1/2023,Robbery,1
17,Albany PD,2,2022,2/1/2022,Agg Assault,3
18,Albany PD,2,2022,2/1/2022,Arson,0
19,Albany PD,2,2022,2/1/2022,Burglary,10
20,Albany PD,2,2022,2/1/2022,Larceny,40
21,Albany PD,2,2022,2/1/2022,MVT,10
22,Albany PD,2,2022,2/1/2022,Murder,1
23,Albany PD,2,2022,2/1/2022,Rape,0
24,Albany PD,2,2022,2/1/2022,Robbery,1
25,Albany PD,2,2023,2/1/2023,Agg Assault,3
26,Albany PD,2,2023,2/1/2023,Arson,0
27,Albany PD,2,2023,2/1/2023,Burglary,8
28,Albany PD,2,2023,2/1/2023,Larceny,33
29,Albany PD,2,2023,2/1/2023,MVT,9
30,Albany PD,2,2023,2/1/2023,Murder,0
31,Albany PD,2,2023,2/1/2023,Rape,2
32,Albany PD,2,2023,2/1/2023,Robbery,1
33,Albany PD,3,2022,3/1/2022,Agg Assault,3
34,Albany PD,3,2022,3/1/2022,Arson,2
35,Albany PD,3,2022,3/1/2022,Burglary,10
36,Albany PD,3,2022,3/1/2022,Larceny,42
37,Albany PD,3,2022,3/1/2022,MVT,10
38,Albany PD,3,2022,3/1/2022,Murder,0
39,Albany PD,3,2022,3/1/2022,Rape,0
40,Albany PD,3,2022,3/1/2022,Robbery,2
41,Albany PD,3,2023,3/1/2023,Agg Assault,5
42,Albany PD,3,2023,3/1/2023,Arson,0
43,Albany PD,3,2023,3/1/2023,Burglary,13
44,Albany PD,3,2023,3/1/2023,Larceny,38
45,Albany PD,3,2023,3/1/2023,MVT,7
46,Albany PD,3,2023,3/1/2023,Murder,0
47,Albany PD,3,2023,3/1/2023,Rape,0
48,Albany PD,3,2023,3/1/2023,Robbery,1
49,Albany PD,4,2022,4/1/2022,Agg Assault,6
50,Albany PD,4,2022,4/1/2022,Arson,2
51,Albany PD,4,2022,4/1/2022,Burglary,10
52,Albany PD,4,2022,4/1/2022,Larceny,49
53,Albany PD,4,2022,4/1/2022,MVT,5
54,Albany PD,4,2022,4/1/2022,Murder,1
55,Albany PD,4,2022,4/1/2022,Rape,1
56,Albany PD,4,2022,4/1/2022,Robbery,3
57,Albany PD,4,2023,4/1/2023,Agg Assault,5
58,Albany PD,4,2023,4/1/2023,Arson,1
59,Albany PD,4,2023,4/1/2023,Burglary,9
60,Albany PD,4,2023,4/1/2023,Larceny,49
61,Albany PD,4,2023,4/1/2023,MVT,8
62,Albany PD,4,2023,4/1/2023,Murder,1
63,Albany PD,4,2023,4/1/2023,Rape,0
64,Albany PD,4,2023,4/1/2023,Robbery,1
65,Albany PD,5,2022,5/1/2022,Agg Assault,6
66,Albany PD,5,2022,5/1/2022,Arson,2
67,Albany PD,5,2022,5/1/2022,Burglary,7
68,Albany PD,5,2022,5/1/2022,Larceny,42
69,Albany PD,5,2022,5/1/2022,MVT,9
70,Albany PD,5,2022,5/1/2022,Murder,0
71,Albany PD,5,2022,5/1/2022,Rape,1
72,Albany PD,5,2022,5/1/2022,Robbery,3
73,Albany PD,5,2023,5/1/2023,Agg Assault,4
74,Albany PD,5,2023,5/1/2023,Arson,4
75,Albany PD,5,2023,5/1/2023,Burglary,13
76,Albany PD,5,2023,5/1/2023,Larceny,45
77,Albany PD,5,2023,5/1/2023,MVT,6
78,Albany PD,5,2023,5/1/2023,Murder,0
79,Albany PD,5,2023,5/1/2023,Rape,0
80,Albany PD,5,2023,5/1/2023,Robbery,5
81,Albany PD,6,2022,6/1/2022,Agg Assault,5
82,Albany PD,6,2022,6/1/2022,Arson,1
83,Albany PD,6,2022,6/1/2022,Burglary,13
84,Albany PD,6,2022,6/1/2022,Larceny,46
85,Albany PD,6,2022,6/1/2022,MVT,11
86,Albany PD,6,2022,6/1/2022,Murder,0
87,Albany PD,6,2022,6/1/2022,Rape,0
88,Albany PD,6,2022,6/1/2022,Robbery,4
89,Albany PD,6,2023,6/1/2023,Agg Assault,4
90,Albany PD,6,2023,6/1/2023,Arson,5
91,Albany PD,6,2023,6/1/2023,Burglary,12
92,Albany PD,6,2023,6/1/2023,Larceny,40
93,Albany PD,6,2023,6/1/2023,MVT,9
94,Albany PD,6,2023,6/1/2023,Murder,0
95,Albany PD,6,2023,6/1/2023,Rape,1
96,Albany PD,6,2023,6/1/2023,Robbery,1
97,Albany PD,7,2022,7/1/2022,Agg Assault,9
98,Albany PD,7,2022,7/1/2022,Arson,3
99,Albany PD,7,2022,7/1/2022,Burglary,8
100,Albany PD,7,2022,7/1/2022,Larceny,51
101,Albany PD,7,2022,7/1/2022,MVT,10
102,Albany PD,7,2022,7/1/2022,Murder,0
103,Albany PD,7,2022,7/1/2022,Rape,1
104,Albany PD,7,2022,7/1/2022,Robbery,3
105,Albany PD,7,2023,7/1/2023,Agg Assault,4
106,Albany PD,7,2023,7/1/2023,Arson,1
107,Albany PD,7,2023,7/1/2023,Burglary,8
108,Albany PD,7,2023,7/1/2023,Larceny,33
109,Albany PD,7,2023,7/1/2023,MVT,11
110,Albany PD,7,2023,7/1/2023,Murder,0
111,Albany PD,7,2023,7/1/2023,Rape,2
112,Albany PD,7,2023,7/1/2023,Robbery,4
113,Albany PD,8,2022,8/1/2022,Agg Assault,4
114,Albany PD,8,2022,8/1/2022,Arson,3
115,Albany PD,8,2022,8/1/2022,Burglary,10
