"city_state","date"
"Abilene,TX","apr_26"
"Abington,PA","apr_26"
"Ada,ID","apr_26"
"Adams,CO","apr_26"
"Aiken,SC","apr_26"
"Akron,OH","apr_26"
"Alameda,CA","apr_26"
"Alameda,CA","apr_26"
"Albany,GA","apr_26"
"Albany,NY","apr_26"
"Albemarle,VA","apr_26"
"Albuquerque,NM","apr_26"
"Alexandria,VA","apr_26"
"Aliso Viejo,CA","apr_26"
"Allen,TX","apr_26"
"Allentown,PA","apr_26"
"Alpharetta,GA","apr_26"
"Ames,IA","apr_26"
"Anaheim,CA","apr_26"
"Anderson,SC","apr_26"
"Ankeny,IA","apr_26"
"Ann Arbor,MI","apr_26"
"Antioch,CA","apr_26"
"Apex,NC","apr_26"
"Apple Valley,MN","apr_26"
"Appleton,WI","apr_26"
"Arapahoe,CO","apr_26"
"Arcadia,CA","apr_26"
"Arlington Heights,IL","apr_26"
"Arlington,TX","apr_26"
"Arlington,VA","apr_26"
"Arvada,CO","apr_26"
"Asheville,NC","apr_26"
"Atlanta,GA","apr_26"
"Aurora,CO","apr_26"
"Austin,TX","apr_26"
"Avondale,AZ","apr_26"
"Bakersfield,CA","apr_26"
"Baldwin Park,CA","apr_26"
"Baltimore,MD","apr_26"
"Baltimore,MD","apr_26"
"Bartlett,TN","apr_26"
"Baton Rouge,LA","apr_26"
"Battle Creek,MI","apr_26"
"Baytown,TX","apr_26"
"Beaufort,SC","apr_26"
"Beaumont,CA","apr_26"
"Beaumont,TX","apr_26"
"Bellevue,NE","apr_26"
"Bellingham,WA","apr_26"
"Bend,OR","apr_26"
"Bentonville,AR","apr_26"
"Berkeley,CA","apr_26"
"Berkeley,SC","apr_26"
"Bethlehem,PA","apr_26"
"Birmingham,AL","apr_26"
"Bismarck,ND","apr_26"
"Blaine,MN","apr_26"
"Bloomfield,NJ","apr_26"
"Bloomington,MN","apr_26"
"Blue Springs,MO","apr_26"
"Bolingbrook,IL","apr_26"
"Boone,KY","apr_26"
"Bossier City,LA","apr_26"
"Boston,MA","apr_26"
"Bowie,MD","apr_26"
"Bowling Green,KY","apr_26"
"Bozeman,MT","apr_26"
"Brazoria,TX","apr_26"
"Brentwood,CA","apr_26"
"Bristol,CT","apr_26"
"Brockton,MA","apr_26"
"Broken Arrow,OK","apr_26"
"Brooklyn Park,MN","apr_26"
"Broomfield,CO","apr_26"
"Brownsville,TX","apr_26"
"Buckeye,AZ","apr_26"
"Buena Park,CA","apr_26"
"Buffalo,NY","apr_26"
"Buncombe,NC","apr_26"
"Burbank,CA","apr_26"
"Burleson,TX","apr_26"
"Burlington,NC","apr_26"
"Burlington,VT","apr_26"
"Burnsville,MN","apr_26"
"Caldwell,ID","apr_26"
"Camarillo,CA","apr_26"
"Cambridge,MA","apr_26"
"Cameron,TX","apr_26"
"Canton Township,MI","apr_26"
"Canton,OH","apr_26"
"Carlsbad,CA","apr_26"
"Carmel,IN","apr_26"
"Carrollton,TX","apr_26"
"Casa Grande,AZ","apr_26"
"Cedar Park,TX","apr_26"
"Cedar Rapids,IA","apr_26"
"Centennial,CO","apr_26"
"Champaign,IL","apr_26"
"Chandler,AZ","apr_26"
"Chapel Hill,NC","apr_26"
"Charleston,SC","apr_26"
"Charlotte,NC","apr_26"
"Chattanooga,TN","apr_26"
"Cherry Hill Township,NJ","apr_26"
"Chesapeake,VA","apr_26"
"Cheyenne,WY","apr_26"
"Chicago,IL","apr_26"
"Chico,CA","apr_26"
"Chicopee,MA","apr_26"
"Chino,CA","apr_26"
"Chula Vista,CA","apr_26"
"Cicero,IL","apr_26"
"Cincinnati,OH","apr_26"
"Citrus Heights,CA","apr_26"
"Clarksville,TN","apr_26"
"Clifton,NJ","apr_26"
"Clinton Township,MI","apr_26"
"Clovis,CA","apr_26"
"Coeur D Alene,ID","apr_26"
"Colerain Township,OH","apr_26"
"College Station,TX","apr_26"
"Collierville,TN","apr_26"
"Collin,TX","apr_26"
"Colorado Springs,CO","apr_26"
"Columbia,MO","apr_26"
"Columbus,OH","apr_26"
"Comal,TX","apr_26"
"Concord,NC","apr_26"
"Conroe,TX","apr_26"
"Conway,AR","apr_26"
"Coon Rapids,MN","apr_26"
"Corona,CA","apr_26"
"Council Bluffs,IA","apr_26"
"Cranston,RI","apr_26"
"Dallas,TX","apr_26"
"Daly City,CA","apr_26"
"Davenport,IA","apr_26"
"Davis,CA","apr_26"
"Dayton,OH","apr_26"
"Dearborn Heights,MI","apr_26"
"Dearborn,MI","apr_26"
"Decatur,IL","apr_26"
"Denton,TX","apr_26"
"Denton,TX","apr_26"
"Denver,CO","apr_26"
"Des Moines,IA","apr_26"
"Desoto,TX","apr_26"
"Detroit,MI","apr_26"
"Douglas,CO","apr_26"
"Douglas,NE","apr_26"
"Draper,UT","apr_26"
"Dublin,OH","apr_26"
"Dubuque,IA","apr_26"
"Duluth,MN","apr_26"
"Dunwoody,GA","apr_26"
"Durham,NC","apr_26"
"East Hartford,CT","apr_26"
"Eau Claire,WI","apr_26"
"Eden Prairie,MN","apr_26"
"Edina,MN","apr_26"
"Edinburg,TX","apr_26"
"Edmond,OK","apr_26"
"El Cajon,CA","apr_26"
"El Monte,CA","apr_26"
"El Paso,CO","apr_26"
"El Paso,TX","apr_26"
"El Paso,TX","apr_26"
"Elizabeth,NJ","apr_26"
"Elk Grove,CA","apr_26"
"Elkhart,IN","apr_26"
"Elyria,OH","apr_26"
"Erie,PA","apr_26"
"Escondido,CA","apr_26"
"Euclid,OH","apr_26"
"Eugene,OR","apr_26"
"Euless,TX","apr_26"
"Evanston,IL","apr_26"
"Everett,MA","apr_26"
"Everett,WA","apr_26"
