"city_state","date"
"Abington,PA","aug_25"
"Ada,ID","aug_25"
"Aiken,SC","aug_25"
"Alameda,CA","aug_25"
"Alameda,CA","aug_25"
"Albany,GA","aug_25"
"Albemarle,VA","aug_25"
"Albuquerque,NM","aug_25"
"Alhambra,CA","aug_25"
"Aliso Viejo,CA","aug_25"
"Allen,TX","aug_25"
"Allentown,PA","aug_25"
"Alpharetta,GA","aug_25"
"Amarillo,TX","aug_25"
"Ames,IA","aug_25"
"Anaheim,CA","aug_25"
"Anderson,SC","aug_25"
"Ankeny,IA","aug_25"
"Ann Arbor,MI","aug_25"
"Antioch,CA","aug_25"
"Apple Valley,MN","aug_25"
"Arapahoe,CO","aug_25"
"Arcadia,CA","aug_25"
"Arlington Heights,IL","aug_25"
"Arlington,TX","aug_25"
"Arlington,VA","aug_25"
"Arvada,CO","aug_25"
"Asheville,NC","aug_25"
"Atlanta,GA","aug_25"
"Aurora,CO","aug_25"
"Austin,TX","aug_25"
"Avondale,AZ","aug_25"
"Bakersfield,CA","aug_25"
"Baldwin Park,CA","aug_25"
"Baltimore,MD","aug_25"
"Baltimore,MD","aug_25"
"Bartlett,TN","aug_25"
"Battle Creek,MI","aug_25"
"Baytown,TX","aug_25"
"Beaumont,CA","aug_25"
"Beaumont,TX","aug_25"
"Beaverton,OR","aug_25"
"Bellevue,NE","aug_25"
"Bellingham,WA","aug_25"
"Bend,OR","aug_25"
"Bentonville,AR","aug_25"
"Berkeley,SC","aug_25"
"Bethlehem,PA","aug_25"
"Billings,MT","aug_25"
"Birmingham,AL","aug_25"
"Bismarck,ND","aug_25"
"Blaine,MN","aug_25"
"Bloomfield,NJ","aug_25"
"Bloomington,MN","aug_25"
"Blue Springs,MO","aug_25"
"Bolingbrook,IL","aug_25"
"Boone,KY","aug_25"
"Boston,MA","aug_25"
"Boulder,CO","aug_25"
"Bowie,MD","aug_25"
"Bozeman,MT","aug_25"
"Brazoria,TX","aug_25"
"Brentwood,CA","aug_25"
"Bristol,CT","aug_25"
"Brockton,MA","aug_25"
"Broken Arrow,OK","aug_25"
"Brookhaven,GA","aug_25"
"Brooklyn Park,MN","aug_25"
"Broomfield,CO","aug_25"
"Brownsville,TX","aug_25"
"Buckeye,AZ","aug_25"
"Buena Park,CA","aug_25"
"Buffalo,NY","aug_25"
"Buncombe,NC","aug_25"
"Burbank,CA","aug_25"
"Burleson,TX","aug_25"
"Burlington,NC","aug_25"
"Burlington,VT","aug_25"
"Burnsville,MN","aug_25"
"Camarillo,CA","aug_25"
"Cambridge,MA","aug_25"
"Canton Township,MI","aug_25"
"Canton,OH","aug_25"
"Carlsbad,CA","aug_25"
"Carmel,IN","aug_25"
"Carrollton,TX","aug_25"
"Cary,NC","aug_25"
"Castle Rock,CO","aug_25"
"Cedar Park,TX","aug_25"
"Cedar Rapids,IA","aug_25"
"Centennial,CO","aug_25"
"Champaign,IL","aug_25"
"Chandler,AZ","aug_25"
"Charleston,SC","aug_25"
"Charlotte,NC","aug_25"
"Chattanooga,TN","aug_25"
"Cherry Hill Township,NJ","aug_25"
"Chesapeake,VA","aug_25"
"Chesterfield,VA","aug_25"
"Cheyenne,WY","aug_25"
"Chicago,IL","aug_25"
"Chico,CA","aug_25"
"Chicopee,MA","aug_25"
"Chino,CA","aug_25"
"Chula Vista,CA","aug_25"
"Cicero,IL","aug_25"
"Cincinnati,OH","aug_25"
"Citrus Heights,CA","aug_25"
"Clarksville,TN","aug_25"
"Clifton,NJ","aug_25"
"Clovis,CA","aug_25"
"Coeur D Alene,ID","aug_25"
"Colerain Township,OH","aug_25"
"College Station,TX","aug_25"
"Collierville,TN","aug_25"
"Colorado Springs,CO","aug_25"
"Columbia,MO","aug_25"
"Columbus,OH","aug_25"
"Commerce City,CO","aug_25"
"Concord,NC","aug_25"
"Conroe,TX","aug_25"
"Conway,AR","aug_25"
"Coon Rapids,MN","aug_25"
"Corona,CA","aug_25"
"Corpus Christi,TX","aug_25"
"Council Bluffs,IA","aug_25"
"Cranston,RI","aug_25"
"Dallas,TX","aug_25"
