"city_state","date"
"Abilene, TX","jan_25"
"Abington, PA","jan_25"
"Ada, ID","jan_25"
"Albany, GA","jan_25"
"Albemarle, VA","jan_25"
"Alexandria, VA","jan_25"
"Alhambra, CA","jan_25"
"Allen, TX","jan_25"
"Allentown, PA","jan_25"
"Amarillo, TX","jan_25"
"Antioch, CA","jan_25"
"Arlington Heights, IL","jan_25"
"Arlington, TX","jan_25"
"Arlington, VA","jan_25"
"Asheville, NC","jan_25"
"Atlanta, GA","jan_25"
"Austin, TX","jan_25"
"Avondale, AZ","jan_25"
"Baltimore, MD","jan_25"
"Baltimore, MD","jan_25"
"Baytown, TX","jan_25"
"Beaumont, TX","jan_25"
"Bellevue, NE","jan_25"
"Bellingham, WA","jan_25"
"Bensalem, PA","jan_25"
"Bethlehem, PA","jan_25"
"Blue Springs, MO","jan_25"
"Bolingbrook, IL","jan_25"
"Brazoria, TX","jan_25"
"Bridgeport, CT","jan_25"
"Bristol, CT","jan_25"
"Brownsville, TX","jan_25"
"Buckeye, AZ","jan_25"
"Buffalo, NY","jan_25"
"Burbank, CA","jan_25"
"Burleson, TX","jan_25"
"Caldwell, ID","jan_25"
"Carlsbad, CA","jan_25"
"Carrollton, TX","jan_25"
"Casa Grande, AZ","jan_25"
"Cedar Park, TX","jan_25"
"Champaign, IL","jan_25"
"Chandler, AZ","jan_25"
"Charlotte, NC","jan_25"
"Chattanooga, TN","jan_25"
"Chesapeake, VA","jan_25"
"Chesterfield, VA","jan_25"
"Cheyenne, WY","jan_25"
"Chicago, IL","jan_25"
"Chula Vista, CA","jan_25"
"Cicero, IL","jan_25"
"Coeur D Alene, ID","jan_25"
"College Station, TX","jan_25"
"Columbia, MO","jan_25"
"Columbus, OH","jan_25"
"Concord, CA","jan_25"
"Conroe, TX","jan_25"
"Corpus Christi, TX","jan_25"
"Cranston, RI","jan_25"
"Dallas, TX","jan_25"
"Danbury, CT","jan_25"
"Decatur, IL","jan_25"
"Denton, TX","jan_25"
"Denton, TX","jan_25"
"Desoto, TX","jan_25"
"Detroit, MI","jan_25"
"Dunwoody, GA","jan_25"
"Durham, NC","jan_25"
"East Hartford, CT","jan_25"
"Edinburg, TX","jan_25"
"El Cajon, CA","jan_25"
"El Paso, TX","jan_25"
"El Paso, TX","jan_25"
"Erie, PA","jan_25"
"Escondido, CA","jan_25"
"Euless, TX","jan_25"
"Evanston, IL","jan_25"
"Fairfax, VA","jan_25"
"Fayetteville, NC","jan_25"
"Flower Mound, TX","jan_25"
"Fort Bend, TX","jan_25"
"Fort Worth, TX","jan_25"
"Fremont, CA","jan_25"
"Frisco, TX","jan_25"
"Galveston, TX","jan_25"
"Garland, TX","jan_25"
"Georgetown, TX","jan_25"
"Gilbert, AZ","jan_25"
"Glendale, AZ","jan_25"
"Glendale, CA","jan_25"
"Goodyear, AZ","jan_25"
"Grand Island, NE","jan_25"
"Grand Prairie, TX","jan_25"
"Grand Rapids, MI","jan_25"
"Grapevine, TX","jan_25"
"Greensboro, NC","jan_25"
"Greenwich, CT","jan_25"
"Hampton, VA","jan_25"
"Hanover, VA","jan_25"
"Harlingen, TX","jan_25"
"Harris, TX","jan_25"
"Harrisburg, PA","jan_25"
"Harrisonburg, VA","jan_25"
"Hartford, CT","jan_25"
"Haverford, PA","jan_25"
"Hays, TX","jan_25"
"Henderson, NV","jan_25"
"Henrico, VA","jan_25"
"Hidalgo, TX","jan_25"
"Honolulu, HI","jan_25"
"Houston, TX","jan_25"
"Idaho Falls, ID","jan_25"
"Independence, MO","jan_25"
"Indianapolis, IN","jan_25"
"Irving, TX","jan_25"
"Jackson, MI","jan_25"
"Jefferson Parish, LA","jan_25"
"Jefferson, MO","jan_25"
"Joplin, MO","jan_25"
"Kalamazoo, MI","jan_25"
"Kansas City, MO","jan_25"
"Kaufman, TX","jan_25"
"Killeen, TX","jan_25"
"Kyle, TX","jan_25"
"La Mesa, CA","jan_25"
"Lake Havasu City, AZ","jan_25"
"Lancaster, PA","jan_25"
"Laredo, TX","jan_25"
"Las Vegas, NV","jan_25"
"League City, TX","jan_25"
"Lee's Summit, MO","jan_25"
"Lewisville, TX","jan_25"
"Lexington, KY","jan_25"
"Lincoln, NE","jan_25"
"Little Elm, TX","jan_25"
"Little Rock, AR","jan_25"
"Long Beach, CA","jan_25"
"Longview, TX","jan_25"
"Los Angeles, CA","jan_25"
"Los Angeles, CA","jan_25"
"Louisville, KY","jan_25"
"Lower Merion, PA","jan_25"
"Lower Paxton, PA","jan_25"
"Lynchburg, VA","jan_25"
"Manchester, CT","jan_25"
"Mansfield, TX","jan_25"
"Marana, AZ","jan_25"
"McAllen, TX","jan_25"
"Mckinney, TX","jan_25"
"Memphis, TN","jan_25"
"Meridian, ID","jan_25"
"Mesa, AZ","jan_25"
"Mesquite, TX","jan_25"
"Miami Beach, FL","jan_25"
"Midland, TX","jan_25"
"Millcreek, PA","jan_25"
"Milwaukee, WI","jan_25"
"Mission, TX","jan_25"
"Missouri City, TX","jan_25"
"Moline, IL","jan_25"
"Montgomery, MD","jan_25"
"Montgomery, TX","jan_25"
"Mount Prospect, IL","jan_25"
"NA, MN","jan_25"
"Nashua, NH","jan_25"
"Nashville, TN","jan_25"
"National City, CA","jan_25"
"New Braunfels, TX","jan_25"
"New Britain, CT","jan_25"
"New Orleans, LA","jan_25"
"New York City, NY","jan_25"
"Newport News, VA","jan_25"
"Norfolk, VA","jan_25"
"North Bergen Township, NJ","jan_25"
"North Las Vegas, NV","jan_25"
"Oak Lawn, IL","jan_25"
"Oceanside, CA","jan_25"
"Odessa, TX","jan_25"
"Omaha, NE","jan_25"
"Oshkosh, WI","jan_25"
"Palatine, IL","jan_25"
"Parker, TX","jan_25"
"Pasadena, TX","jan_25"
"Pawtucket, RI","jan_25"
"Pearland, TX","jan_25"
"Pflugerville, TX","jan_25"
"Pharr, TX","jan_25"
"Philadelphia, PA","jan_25"
"Phoenix, AZ","jan_25"
"Pima, AZ","jan_25"
"Pittsburgh, PA","jan_25"
"Plano, TX","jan_25"
"Pocatello, ID","jan_25"
"Port Arthur, TX","jan_25"
"Portland, OR","jan_25"
"Portsmouth, VA","jan_25"
"Prince George's, MD","jan_25"
"Prince William, VA","jan_25"
"Providence, RI","jan_25"
"Raleigh, NC","jan_25"
"Reading, PA","jan_25"
"Redlands, CA","jan_25"
"Reno, NV","jan_25"
"Richardson, TX","jan_25"
"Richmond, CA","jan_25"
"Richmond, VA","jan_25"
"Riverside, CA","jan_25"
"Roanoke, VA","jan_25"
"Rochester, NY","jan_25"
"Rockford, IL","jan_25"
"Rockwall, TX","jan_25"
"Round Rock, TX","jan_25"
"Rowlett, TX","jan_25"
"Salt Lake City, UT","jan_25"
"San Angelo, TX","jan_25"
"San Antonio, TX","jan_25"
"San Diego, CA","jan_25"
"San Diego, CA","jan_25"
"San Francisco, CA","jan_25"
"San Jose, CA","jan_25"
"San Marcos, TX","jan_25"
"Sarasota, FL","jan_25"
"Schaumburg, IL","jan_25"
"Scottsdale, AZ","jan_25"
"Scranton, PA","jan_25"
"Seattle, WA","jan_25"
"Sioux Falls, SD","jan_25"
"Skokie, IL","jan_25"
"Smith, TX","jan_25"
"Sonoma, CA","jan_25"
"South Bend, IN","jan_25"
"Southaven, MS","jan_25"
"Sparks, NV","jan_25"
"Spotsylvania, VA","jan_25"
"Springfield, IL","jan_25"
"Springfield, MO","jan_25"
"St Charles, MO","jan_25"
"St Charles, MO","jan_25"
"St Joseph, MO","jan_25"
"St Louis, MO","jan_25"
"St Peters, MO","jan_25"
"Stafford, VA","jan_25"
"State College, PA","jan_25"
"Stockton, CA","jan_25"
"Stratford, CT","jan_25"
"Suffolk, VA","jan_25"
"Sugar Land, TX","jan_25"
"Surprise, AZ","jan_25"
"Tacoma, WA","jan_25"
"Tempe, AZ","jan_25"
"Temple, TX","jan_25"
"Texas City, TX","jan_25"
"Tinley Park, IL","jan_25"
"Tracy, CA","jan_25"
"Travis, TX","jan_25"
"Tucson, AZ","jan_25"
"Twin Falls, ID","jan_25"
"Tyler, TX","jan_25"
"Upper Darby, PA","jan_25"
"Vallejo, CA","jan_25"
"Victoria, TX","jan_25"
"Virginia Beach, VA","jan_25"
"Waco, TX","jan_25"
"Warwick, RI","jan_25"
"Washington, DC","jan_25"
"Washington, MD","jan_25"
"Waterbury, CT","jan_25"
"West Hartford, CT","jan_25"
"West Haven, CT","jan_25"
"Wichita Falls, TX","jan_25"
"Will, IL","jan_25"
"Williamson, TX","jan_25"
"Wright, MN","jan_25"
"Wylie, TX","jan_25"
"Yuma, AZ","jan_25"
