"city_state","date"
"Abington,PA","jul_25"
"Ada,ID","jul_25"
"Aiken,SC","jul_25"
"Alameda,CA","jul_25"
"Alameda,CA","jul_25"
"Albany,GA","jul_25"
"Albany,NY","jul_25"
"Albemarle,VA","jul_25"
"Albuquerque,NM","jul_25"
"Aliso Viejo,CA","jul_25"
"Allen,TX","jul_25"
"Allentown,PA","jul_25"
"Amarillo,TX","jul_25"
"Ames,IA","jul_25"
"Anaheim,CA","jul_25"
"Ankeny,IA","jul_25"
"Ann Arbor,MI","jul_25"
"Antioch,CA","jul_25"
"Apple Valley,MN","jul_25"
"Arapahoe,CO","jul_25"
"Arcadia,CA","jul_25"
"Arlington Heights,IL","jul_25"
"Arlington,TX","jul_25"
"Arlington,VA","jul_25"
"Arvada,CO","jul_25"
"Asheville,NC","jul_25"
"Atlanta,GA","jul_25"
"Aurora,CO","jul_25"
"Austin,TX","jul_25"
"Avondale,AZ","jul_25"
"Baldwin Park,CA","jul_25"
"Baltimore,MD","jul_25"
"Baltimore,MD","jul_25"
"Bartlett,TN","jul_25"
"Battle Creek,MI","jul_25"
"Baytown,TX","jul_25"
"Beaumont,CA","jul_25"
"Beaumont,TX","jul_25"
"Beaverton,OR","jul_25"
"Bellevue,NE","jul_25"
"Bellingham,WA","jul_25"
"Bend,OR","jul_25"
"Bentonville,AR","jul_25"
"Berkeley,CA","jul_25"
"Berkeley,SC","jul_25"
"Birmingham,AL","jul_25"
"Bismarck,ND","jul_25"
"Blaine,MN","jul_25"
"Bloomfield,NJ","jul_25"
"Bloomington,MN","jul_25"
"Blue Springs,MO","jul_25"
"Bolingbrook,IL","jul_25"
"Boone,KY","jul_25"
"Bossier City,LA","jul_25"
"Boston,MA","jul_25"
"Boulder,CO","jul_25"
"Bowie,MD","jul_25"
"Bowling Green,KY","jul_25"
"Brazoria,TX","jul_25"
"Brentwood,CA","jul_25"
"Bridgeport,CT","jul_25"
"Bristol,CT","jul_25"
"Brockton,MA","jul_25"
"Broken Arrow,OK","jul_25"
"Brooklyn Park,MN","jul_25"
"Broomfield,CO","jul_25"
"Brownsville,TX","jul_25"
"Buckeye,AZ","jul_25"
"Buena Park,CA","jul_25"
"Buffalo,NY","jul_25"
"Buncombe,NC","jul_25"
"Burbank,CA","jul_25"
"Burleson,TX","jul_25"
"Burlington,NC","jul_25"
"Burlington,VT","jul_25"
"Burnsville,MN","jul_25"
"Camarillo,CA","jul_25"
"Cambridge,MA","jul_25"
"Canton Township,MI","jul_25"
"Canton,OH","jul_25"
"Carlsbad,CA","jul_25"
"Carmel,IN","jul_25"
"Carrollton,TX","jul_25"
"Cary,NC","jul_25"
"Casa Grande,AZ","jul_25"
"Castle Rock,CO","jul_25"
"Cedar Park,TX","jul_25"
"Cedar Rapids,IA","jul_25"
"Centennial,CO","jul_25"
"Champaign,IL","jul_25"
"Chapel Hill,NC","jul_25"
"Charleston,SC","jul_25"
"Charlotte,NC","jul_25"
"Chattanooga,TN","jul_25"
"Cherry Hill Township,NJ","jul_25"
"Chesapeake,VA","jul_25"
"Chesterfield,VA","jul_25"
"Cheyenne,WY","jul_25"
"Chicago,IL","jul_25"
"Chico,CA","jul_25"
"Chicopee,MA","jul_25"
"Chino,CA","jul_25"
"Chula Vista,CA","jul_25"
"Cincinnati,OH","jul_25"
"Citrus Heights,CA","jul_25"
"Cleveland,OH","jul_25"
"Clifton,NJ","jul_25"
"Clovis,CA","jul_25"
"Coeur D Alene,ID","jul_25"
"Colerain Township,OH","jul_25"
"College Station,TX","jul_25"
"Collierville,TN","jul_25"
"Colorado Springs,CO","jul_25"
"Columbia,MO","jul_25"
"Columbus,OH","jul_25"
"Commerce City,CO","jul_25"
"Concord,NC","jul_25"
"Conroe,TX","jul_25"
"Conway,AR","jul_25"
"Coon Rapids,MN","jul_25"
"Corona,CA","jul_25"
"Corpus Christi,TX","jul_25"
"Council Bluffs,IA","jul_25"
"Cranston,RI","jul_25"
"Dallas,TX","jul_25"
"Daly City,CA","jul_25"
"Danbury,CT","jul_25"
"Davenport,IA","jul_25"
"Davis,CA","jul_25"
"Dayton,OH","jul_25"
"Dearborn Heights,MI","jul_25"
"Dearborn,MI","jul_25"
"Decatur,IL","jul_25"
"Delaware,OH","jul_25"
"Denton,TX","jul_25"
"Denton,TX","jul_25"
"Denver,CO","jul_25"
"Des Moines,IA","jul_25"
"Desoto,TX","jul_25"
"Detroit,MI","jul_25"
"Douglas,CO","jul_25"
"Draper,UT","jul_25"
"Dublin,OH","jul_25"
"Dubuque,IA","jul_25"
"Duluth,MN","jul_25"
"Dunwoody,GA","jul_25"
"Durham,NC","jul_25"
"Eagan,MN","jul_25"
"East Baton Rouge,LA","jul_25"
"East Hartford,CT","jul_25"
"Eau Claire,WI","jul_25"
"Eden Prairie,MN","jul_25"
"Edina,MN","jul_25"
"Edinburg,TX","jul_25"
"El Cajon,CA","jul_25"
"El Dorado,CA","jul_25"
"El Monte,CA","jul_25"
"El Paso,CO","jul_25"
"El Paso,TX","jul_25"
"El Paso,TX","jul_25"
"Elizabeth,NJ","jul_25"
"Elk Grove,CA","jul_25"
"Elyria,OH","jul_25"
"Enid,OK","jul_25"
"Erie,PA","jul_25"
"Escondido,CA","jul_25"
"Euclid,OH","jul_25"
"Eugene,OR","jul_25"
"Euless,TX","jul_25"
"Everett,MA","jul_25"
"Fairfield,CA","jul_25"
"Fairfield,CT","jul_25"
"Fargo,ND","jul_25"
"Farmington Hills,MI","jul_25"
"Fayetteville,NC","jul_25"
"Fishers,IN","jul_25"
"Flower Mound,TX","jul_25"
"Folsom,CA","jul_25"
"Fontana,CA","jul_25"
"Forsyth,NC","jul_25"
"Fort Bend,TX","jul_25"
"Fort Collins,CO","jul_25"
"Fort Smith,AR","jul_25"
"Fort Wayne,IN","jul_25"
"Fort Worth,TX","jul_25"
"Fountain Valley,CA","jul_25"
"Franklin,TN","jul_25"
"Fresno,CA","jul_25"
"Frisco,TX","jul_25"
"Fullerton,CA","jul_25"
"Galveston,TX","jul_25"
"Gardena,CA","jul_25"
"Garland,TX","jul_25"
"Gastonia,NC","jul_25"
"Georgetown,TX","jul_25"
"Gilbert,AZ","jul_25"
"Gilroy,CA","jul_25"
"Glendale,CA","jul_25"
"Goodyear,AZ","jul_25"
"Grand Forks,ND","jul_25"
"Grand Island,NE","jul_25"
"Grand Junction,CO","jul_25"
"Grand Prairie,TX","jul_25"
"Grand Rapids,MI","jul_25"
"Grapevine,TX","jul_25"
"Great Falls,MT","jul_25"
"Greeley,CO","jul_25"
"Green Bay,WI","jul_25"
"Green Township,OH","jul_25"
"Greensboro,NC","jul_25"
"Greenville,NC","jul_25"
"Greenville,SC","jul_25"
"Greenwood,IN","jul_25"
"Guilford,NC","jul_25"
"Hall,GA","jul_25"
"Hamilton Township,NJ","jul_25"
"Hamilton,NJ","jul_25"
"Hamilton,OH","jul_25"
"Hamilton,TN","jul_25"
"Hampton,VA","jul_25"
"Hanover,VA","jul_25"
"Harlingen,TX","jul_25"
"Harris,TX","jul_25"
"Harrisburg,PA","jul_25"
"Harrisonburg,VA","jul_25"
"Hartford,CT","jul_25"
"Haverhill,MA","jul_25"
"Hays,TX","jul_25"
"Hayward,CA","jul_25"
"Hempstead Village,NY","jul_25"
"Henderson,NV","jul_25"
"Hendersonville,TN","jul_25"
"Hidalgo,TX","jul_25"
"High Point,NC","jul_25"
"Hillsboro,OR","jul_25"
"Hoboken,NJ","jul_25"
"Honolulu,HI","jul_25"
"Houston,TX","jul_25"
"Huntersville,NC","jul_25"
"Idaho Falls,ID","jul_25"
"Independence,MO","jul_25"
"Indianapolis,IN","jul_25"
"Iowa City,IA","jul_25"
"Iredell,NC","jul_25"
"Irvine,CA","jul_25"
"Irving,TX","jul_25"
"Jackson,TN","jul_25"
"Jacksonville,FL","jul_25"
"Janesville,WI","jul_25"
"Jefferson,CO","jul_25"
"Jefferson,LA","jul_25"
"Jefferson,MO","jul_25"
"Jersey City,NJ","jul_25"
"Johnson City,TN","jul_25"
"Johnston,NC","jul_25"
"Jonesboro,AR","jul_25"
"Joplin,MO","jul_25"
"Kannapolis,NC","jul_25"
"Kansas City,MO","jul_25"
"Kaufman,TX","jul_25"
"Kenosha,WI","jul_25"
"Kent,MI","jul_25"
"Killeen,TX","jul_25"
"Kingsport,TN","jul_25"
"Knox,TN","jul_25"
"Knoxville,TN","jul_25"
"Kyle,TX","jul_25"
"La Crosse,WI","jul_25"
"La Mesa,CA","jul_25"
"Laguna Niguel,CA","jul_25"
"Lake Charles,LA","jul_25"
"Lake Havasu City,AZ","jul_25"
"Lakeville,MN","jul_25"
"Lancaster,PA","jul_25"
"Lancaster,SC","jul_25"
"Laredo,TX","jul_25"
"Las Vegas,NV","jul_25"
"Lawrence,MA","jul_25"
"Layton,UT","jul_25"
"League City,TX","jul_25"
"Leander,TX","jul_25"
"Lee's Summit,MO","jul_25"
"Lenexa,KS","jul_25"
"Lewisville,TX","jul_25"
"Lexington,KY","jul_25"
"Lexington,SC","jul_25"
"Lincoln,CA","jul_25"
"Lincoln,NE","jul_25"
"Little Elm,TX","jul_25"
"Little Rock,AR","jul_25"
"Livermore,CA","jul_25"
"Livingston,LA","jul_25"
"Livingston,MI","jul_25"
"Livonia,MI","jul_25"
"Logan,UT","jul_25"
"Long Beach,CA","jul_25"
"Longview,TX","jul_25"
"Lorain,OH","jul_25"
"Los Angeles,CA","jul_25"
"Los Angeles,CA","jul_25"
"Louisville,KY","jul_25"
"Lower Merion,PA","jul_25"
"Lower Paxton,PA","jul_25"
"Lynchburg,VA","jul_25"
"Lynn,MA","jul_25"
"Madera,CA","jul_25"
"Manchester,CT","jul_25"
"Manchester,NH","jul_25"
"Mansfield,TX","jul_25"
"Maple Grove,MN","jul_25"
"McAllen,TX","jul_25"
"Mckinney,TX","jul_25"
"Memphis,TN","jul_25"
"Merced,CA","jul_25"
"Meriden,CT","jul_25"
"Meridian,ID","jul_25"
"Mesa,AZ","jul_25"
"Miami Beach,FL","jul_25"
"Miami,FL","jul_25"
"Middletown,OH","jul_25"
"Midwest City,OK","jul_25"
"Milford,CT","jul_25"
"Millcreek,PA","jul_25"
"Milpitas,CA","jul_25"
"Milwaukee,WI","jul_25"
"Minneapolis,MN","jul_25"
"Minnetonka,MN","jul_25"
"Mission Viejo,CA","jul_25"
"Missoula,MT","jul_25"
"Missouri City,TX","jul_25"
"Mobile,AL","jul_25"
