"city_state","date"
"Abington,PA","jun_25"
"Ada,ID","jun_25"
"Aiken,SC","jun_25"
"Akron,OH","jun_25"
"Alameda,CA","jun_25"
"Alameda,CA","jun_25"
"Albany,NY","jun_25"
"Albemarle,VA","jun_25"
"Albuquerque,NM","jun_25"
"Alexandria,VA","jun_25"
"Alhambra,CA","jun_25"
"Aliso Viejo,CA","jun_25"
"Allen,TX","jun_25"
"Allentown,PA","jun_25"
"Alpharetta,GA","jun_25"
"Amarillo,TX","jun_25"
"Ames,IA","jun_25"
"Ankeny,IA","jun_25"
"Ann Arbor,MI","jun_25"
"Antioch,CA","jun_25"
"Apple Valley,MN","jun_25"
"Arcadia,CA","jun_25"
"Arlington Heights,IL","jun_25"
"Arlington,TX","jun_25"
"Arlington,VA","jun_25"
"Arvada,CO","jun_25"
"Asheville,NC","jun_25"
"Atlanta,GA","jun_25"
"Aurora,CO","jun_25"
"Austin,TX","jun_25"
"Avondale,AZ","jun_25"
"Bakersfield,CA","jun_25"
"Baldwin Park,CA","jun_25"
"Baltimore,MD","jun_25"
"Baltimore,MD","jun_25"
"Bartlett,TN","jun_25"
"Battle Creek,MI","jun_25"
"Baytown,TX","jun_25"
"Beaufort,SC","jun_25"
"Beaumont,CA","jun_25"
"Beaumont,TX","jun_25"
"Beaverton,OR","jun_25"
"Bellevue,NE","jun_25"
"Bellingham,WA","jun_25"
"Bentonville,AR","jun_25"
"Berkeley,CA","jun_25"
"Berkeley,SC","jun_25"
"Bethlehem,PA","jun_25"
"Bismarck,ND","jun_25"
"Blaine,MN","jun_25"
"Bloomfield,NJ","jun_25"
"Bloomington,MN","jun_25"
"Blue Springs,MO","jun_25"
"Bolingbrook,IL","jun_25"
"Boone,KY","jun_25"
"Bossier City,LA","jun_25"
"Boston,MA","jun_25"
"Boulder,CO","jun_25"
"Bowie,MD","jun_25"
"Bowling Green,KY","jun_25"
"Bozeman,MT","jun_25"
"Brazoria,TX","jun_25"
"Bridgeport,CT","jun_25"
"Bristol,CT","jun_25"
"Brockton,MA","jun_25"
"Broken Arrow,OK","jun_25"
"Brookhaven,GA","jun_25"
"Brooklyn Park,MN","jun_25"
"Broomfield,CO","jun_25"
"Brownsville,TX","jun_25"
"Buckeye,AZ","jun_25"
"Buffalo,NY","jun_25"
"Buncombe,NC","jun_25"
"Burleson,TX","jun_25"
"Burlington,NC","jun_25"
"Burnsville,MN","jun_25"
"Camarillo,CA","jun_25"
"Cambridge,MA","jun_25"
"Canton Township,MI","jun_25"
"Canton,OH","jun_25"
"Carlsbad,CA","jun_25"
"Carmel,IN","jun_25"
"Carrollton,TX","jun_25"
"Cary,NC","jun_25"
"Casa Grande,AZ","jun_25"
"Castle Rock,CO","jun_25"
"Cedar Park,TX","jun_25"
"Cedar Rapids,IA","jun_25"
"Champaign,IL","jun_25"
"Chandler,AZ","jun_25"
"Chapel Hill,NC","jun_25"
"Charlotte,NC","jun_25"
"Chattanooga,TN","jun_25"
"Cherry Hill Township,NJ","jun_25"
"Chesapeake,VA","jun_25"
"Chesterfield,VA","jun_25"
"Cheyenne,WY","jun_25"
"Chicago,IL","jun_25"
"Chico,CA","jun_25"
"Chicopee,MA","jun_25"
"Chino,CA","jun_25"
"Chula Vista,CA","jun_25"
"Cicero,IL","jun_25"
"Cincinnati,OH","jun_25"
"Citrus Heights,CA","jun_25"
"Clarksville,TN","jun_25"
"Clifton,NJ","jun_25"
"Coeur D Alene,ID","jun_25"
"Colerain Township,OH","jun_25"
"College Station,TX","jun_25"
"Collierville,TN","jun_25"
"Colonie Town,NY","jun_25"
"Colorado Springs,CO","jun_25"
"Columbia,MO","jun_25"
"Columbus,OH","jun_25"
"Commerce City,CO","jun_25"
"Concord,NC","jun_25"
"Conroe,TX","jun_25"
"Conway,AR","jun_25"
"Coon Rapids,MN","jun_25"
"Corona,CA","jun_25"
"Corpus Christi,TX","jun_25"
"Cranston,RI","jun_25"
"Dallas,TX","jun_25"
"Daly City,CA","jun_25"
"Danbury,CT","jun_25"
"Davenport,IA","jun_25"
"Davis,CA","jun_25"
"Dayton,OH","jun_25"
"Dearborn Heights,MI","jun_25"
"Dearborn,MI","jun_25"
"Decatur,IL","jun_25"
"Delaware,OH","jun_25"
"Denton,TX","jun_25"
"Denton,TX","jun_25"
"Denver,CO","jun_25"
"Des Moines,IA","jun_25"
"Desoto,TX","jun_25"
"Detroit,MI","jun_25"
"Douglas,CO","jun_25"
"Draper,UT","jun_25"
"Dublin,OH","jun_25"
"Dubuque,IA","jun_25"
"Duluth,MN","jun_25"
"Dunwoody,GA","jun_25"
"Durham,NC","jun_25"
"Eagan,MN","jun_25"
"East Baton Rouge,LA","jun_25"
"East Hartford,CT","jun_25"
"Eau Claire,WI","jun_25"
"Eden Prairie,MN","jun_25"
"Edina,MN","jun_25"
"Edinburg,TX","jun_25"
"El Cajon,CA","jun_25"
"El Dorado,CA","jun_25"
"El Monte,CA","jun_25"
"El Paso,CO","jun_25"
"El Paso,TX","jun_25"
"El Paso,TX","jun_25"
"Elizabeth,NJ","jun_25"
"Elk Grove,CA","jun_25"
"Elyria,OH","jun_25"
"Enid,OK","jun_25"
"Erie,PA","jun_25"
"Escondido,CA","jun_25"
"Euclid,OH","jun_25"
"Eugene,OR","jun_25"
"Euless,TX","jun_25"
"Everett,MA","jun_25"
"Fairfield,CA","jun_25"
"Fairfield,CT","jun_25"
"Fargo,ND","jun_25"
"Farmington Hills,MI","jun_25"
"Fayetteville,NC","jun_25"
"Flower Mound,TX","jun_25"
"Fontana,CA","jun_25"
"Forsyth,GA","jun_25"
"Forsyth,NC","jun_25"
"Fort Bend,TX","jun_25"
"Fort Collins,CO","jun_25"
"Fort Smith,AR","jun_25"
"Fort Worth,TX","jun_25"
"Fountain Valley,CA","jun_25"
"Franklin,TN","jun_25"
"Fresno,CA","jun_25"
"Frisco,TX","jun_25"
"Galveston,TX","jun_25"
"Gardena,CA","jun_25"
"Garland,TX","jun_25"
"Gastonia,NC","jun_25"
"Georgetown,TX","jun_25"
"Gilbert,AZ","jun_25"
"Glendale,AZ","jun_25"
"Glendale,CA","jun_25"
"Goodyear,AZ","jun_25"
"Grand Forks,ND","jun_25"
"Grand Island,NE","jun_25"
"Grand Junction,CO","jun_25"
"Grand Prairie,TX","jun_25"
"Grapevine,TX","jun_25"
"Great Falls,MT","jun_25"
"Greeley,CO","jun_25"
"Green Township,OH","jun_25"
"Greensboro,NC","jun_25"
"Greenville,NC","jun_25"
"Greenville,SC","jun_25"
"Greenwood,IN","jun_25"
