"city_state","date"
"Abilene,TX","mar_26"
"Abington,PA","mar_26"
"Ada,ID","mar_26"
"Adams,CO","mar_26"
"Aiken,SC","mar_26"
"Alameda,CA","mar_26"
"Alameda,CA","mar_26"
"Albany,GA","mar_26"
"Albany,OR","mar_26"
"Albemarle,VA","mar_26"
"Albuquerque,NM","mar_26"
"Alhambra,CA","mar_26"
"Aliso Viejo,CA","mar_26"
"Allen,TX","mar_26"
"Allentown,PA","mar_26"
"Alpharetta,GA","mar_26"
"Anaheim,CA","mar_26"
"Anderson,SC","mar_26"
"Ankeny,IA","mar_26"
"Ann Arbor,MI","mar_26"
"Antioch,CA","mar_26"
"Apex,NC","mar_26"
"Apple Valley,MN","mar_26"
"Appleton,WI","mar_26"
"Arcadia,CA","mar_26"
"Arlington Heights,IL","mar_26"
"Arlington,TX","mar_26"
"Arlington,VA","mar_26"
"Asheville,NC","mar_26"
"Atlanta,GA","mar_26"
"Aurora,CO","mar_26"
"Austin,TX","mar_26"
"Avondale,AZ","mar_26"
"Bakersfield,CA","mar_26"
"Baldwin Park,CA","mar_26"
"Baltimore,MD","mar_26"
"Baltimore,MD","mar_26"
"Bartlett,TN","mar_26"
"Baton Rouge,LA","mar_26"
"Battle Creek,MI","mar_26"
"Baytown,TX","mar_26"
"Beaufort,SC","mar_26"
"Beaumont,CA","mar_26"
"Beaumont,TX","mar_26"
"Bellevue,NE","mar_26"
"Bellingham,WA","mar_26"
"Bend,OR","mar_26"
"Bensalem,PA","mar_26"
"Bentonville,AR","mar_26"
"Berkeley,SC","mar_26"
"Bethlehem,PA","mar_26"
"Billings,MT","mar_26"
"Birmingham,AL","mar_26"
"Bismarck,ND","mar_26"
"Blaine,MN","mar_26"
"Bloomfield,NJ","mar_26"
"Bloomington,MN","mar_26"
"Blue Springs,MO","mar_26"
"Bolingbrook,IL","mar_26"
"Boone,KY","mar_26"
"Bossier City,LA","mar_26"
"Boston,MA","mar_26"
"Boulder,CO","mar_26"
"Bowling Green,KY","mar_26"
"Bozeman,MT","mar_26"
"Brazoria,TX","mar_26"
"Brentwood,CA","mar_26"
"Bridgeport,CT","mar_26"
"Bristol,CT","mar_26"
"Brockton,MA","mar_26"
"Broken Arrow,OK","mar_26"
"Brookhaven,GA","mar_26"
"Brooklyn Park,MN","mar_26"
"Broomfield,CO","mar_26"
"Brownsville,TX","mar_26"
"Buckeye,AZ","mar_26"
"Buena Park,CA","mar_26"
"Buffalo,NY","mar_26"
"Buncombe,NC","mar_26"
"Burbank,CA","mar_26"
"Burleson,TX","mar_26"
"Burlington,NC","mar_26"
"Burnsville,MN","mar_26"
"Caldwell,ID","mar_26"
"Camarillo,CA","mar_26"
"Cambridge,MA","mar_26"
"Cameron,TX","mar_26"
"Canton Township,MI","mar_26"
"Canton,OH","mar_26"
"Cary,NC","mar_26"
"Casa Grande,AZ","mar_26"
"Cedar Park,TX","mar_26"
"Cedar Rapids,IA","mar_26"
"Champaign,IL","mar_26"
"Chandler,AZ","mar_26"
"Chapel Hill,NC","mar_26"
"Charleston,SC","mar_26"
"Charlotte,NC","mar_26"
"Chattanooga,TN","mar_26"
"Cherry Hill Township,NJ","mar_26"
"Chesapeake,VA","mar_26"
"Chicago,IL","mar_26"
"Chico,CA","mar_26"
"Chicopee,MA","mar_26"
"Chino,CA","mar_26"
"Chula Vista,CA","mar_26"
"Cincinnati,OH","mar_26"
"Citrus Heights,CA","mar_26"
"Clarksville,TN","mar_26"
"Clifton,NJ","mar_26"
"Clinton Township,MI","mar_26"
"Coeur D Alene,ID","mar_26"
"Colerain Township,OH","mar_26"
"College Station,TX","mar_26"
"Collierville,TN","mar_26"
"Collin,TX","mar_26"
"Colonie Town,NY","mar_26"
"Colorado Springs,CO","mar_26"
"Columbia,MO","mar_26"
"Columbus,OH","mar_26"
"Comal,TX","mar_26"
"Concord,NC","mar_26"
"Conroe,TX","mar_26"
"Conway,AR","mar_26"
"Coon Rapids,MN","mar_26"
"Corona,CA","mar_26"
"Council Bluffs,IA","mar_26"
"Cranston,RI","mar_26"
"Dallas,TX","mar_26"
"Davenport,IA","mar_26"
"Davis,CA","mar_26"
"Dayton,OH","mar_26"
"Dearborn Heights,MI","mar_26"
"Dearborn,MI","mar_26"
"Decatur,IL","mar_26"
"Denton,TX","mar_26"
"Denton,TX","mar_26"
"Denver,CO","mar_26"
"Des Moines,IA","mar_26"
"Desoto,TX","mar_26"
"Detroit,MI","mar_26"
"Douglas,CO","mar_26"
"Douglas,NE","mar_26"
"Draper,UT","mar_26"
"Dublin,OH","mar_26"
"Duluth,MN","mar_26"
"Dunwoody,GA","mar_26"
"Durham,NC","mar_26"
"East Hartford,CT","mar_26"
"Eau Claire,WI","mar_26"
"Eden Prairie,MN","mar_26"
"Edina,MN","mar_26"
"Edinburg,TX","mar_26"
"Edmond,OK","mar_26"
"El Cajon,CA","mar_26"
"El Dorado,CA","mar_26"
"El Monte,CA","mar_26"
"El Paso,CO","mar_26"
"El Paso,TX","mar_26"
"El Paso,TX","mar_26"
"Elizabeth,NJ","mar_26"
"Elk Grove,CA","mar_26"
"Elyria,OH","mar_26"
"Enid,OK","mar_26"
"Erie,PA","mar_26"
"Escondido,CA","mar_26"
"Eugene,OR","mar_26"
"Euless,TX","mar_26"
"Evanston,IL","mar_26"
"Fairfield,CA","mar_26"
"Fairfield,CT","mar_26"
