"city_state","date"
"Abington,PA","may_25"
"Albany,GA","may_25"
"Allen,TX","may_25"
"Allentown,PA","may_25"
"Amarillo,TX","may_25"
"Antioch,CA","may_25"
"Apple Valley,MN","may_25"
"Appleton,WI","may_25"
"Arapahoe,CO","may_25"
"Arlington Heights,IL","may_25"
"Arlington,TX","may_25"
"Arvada,CO","may_25"
"Asheville,NC","may_25"
"Atlanta,GA","may_25"
"Aurora,CO","may_25"
"Austin,TX","may_25"
"Avondale,AZ","may_25"
"Bakersfield,CA","may_25"
"Baltimore,MD","may_25"
"Bartlett,TN","may_25"
"Baytown,TX","may_25"
"Beaumont,TX","may_25"
"Beaverton,OR","may_25"
"Bellevue,NE","may_25"
"Bellingham,WA","may_25"
"Bethlehem,PA","may_25"
"Bismarck,ND","may_25"
"Blaine,MN","may_25"
"Bloomington,MN","may_25"
"Blue Springs,MO","may_25"
"Bolingbrook,IL","may_25"
"Boulder,CO","may_25"
"Bowie,MD","may_25"
"Brazoria,TX","may_25"
"Bridgeport,CT","may_25"
"Brooklyn Park,MN","may_25"
"Broomfield,CO","may_25"
"Brownsville,TX","may_25"
"Buckeye,AZ","may_25"
"Buffalo,NY","may_25"
"Buncombe,NC","may_25"
"Burleson,TX","may_25"
"Burlington,NC","may_25"
"Burnsville,MN","may_25"
"Carlsbad,CA","may_25"
"Carrollton,TX","may_25"
"Cary,NC","may_25"
"Casa Grande,AZ","may_25"
"Castle Rock,CO","may_25"
"Cedar Park,TX","may_25"
"Centennial,CO","may_25"
"Champaign,IL","may_25"
"Chandler,AZ","may_25"
"Chapel Hill,NC","may_25"
"Charlotte,NC","may_25"
"Chattanooga,TN","may_25"
"Cheyenne,WY","may_25"
"Chicago,IL","may_25"
"Chula Vista,CA","may_25"
"Cicero,IL","may_25"
"Clarksville,TN","may_25"
"Coeur D Alene,ID","may_25"
"College Station,TX","may_25"
"Collierville,TN","may_25"
"Colorado Springs,CO","may_25"
"Columbia,MO","may_25"
"Commerce City,CO","may_25"
"Concord,CA","may_25"
"Concord,NC","may_25"
"Conroe,TX","may_25"
"Coon Rapids,MN","may_25"
"Corpus Christi,TX","may_25"
"Dallas,TX","may_25"
"Danbury,CT","may_25"
"Decatur,IL","may_25"
"Denton,TX","may_25"
"Denton,TX","may_25"
"Denver,CO","may_25"
"Desoto,TX","may_25"
"Detroit,MI","may_25"
"Douglas,CO","may_25"
"Duluth,MN","may_25"
"Dunwoody,GA","may_25"
"Durham,NC","may_25"
"Eagan,MN","may_25"
"East Baton Rouge,LA","may_25"
"East Hartford,CT","may_25"
"Eau Claire,WI","may_25"
"Eden Prairie,MN","may_25"
"Edina,MN","may_25"
"Edinburg,TX","may_25"
"El Cajon,CA","may_25"
"El Paso,CO","may_25"
"El Paso,TX","may_25"
"El Paso,TX","may_25"
"Erie,PA","may_25"
"Escondido,CA","may_25"
"Eugene,OR","may_25"
"Euless,TX","may_25"
"Evanston,IL","may_25"
"Fairfield,CT","may_25"
"Fargo,ND","may_25"
"Flower Mound,TX","may_25"
"Fontana,CA","may_25"
"Forsyth,NC","may_25"
"Fort Bend,TX","may_25"
"Fort Collins,CO","may_25"
"Fort Worth,TX","may_25"
"Franklin,TN","may_25"
"Frisco,TX","may_25"
"Galveston,TX","may_25"
"Garland,TX","may_25"
"Gastonia,NC","may_25"
"Georgetown,TX","may_25"
"Gilbert,AZ","may_25"
"Glendale,CA","may_25"
"Goodyear,AZ","may_25"
"Grand Forks,ND","may_25"
"Grand Island,NE","may_25"
"Grand Junction,CO","may_25"
"Grand Prairie,TX","may_25"
"Grand Rapids,MI","may_25"
"Grapevine,TX","may_25"
"Greeley,CO","may_25"
"Greensboro,NC","may_25"
"Greenville,NC","may_25"
"Gresham,OR","may_25"
"Guilford,NC","may_25"
"Harlingen,TX","may_25"
"Harris,TX","may_25"
"Harrisburg,PA","may_25"
"Hartford,CT","may_25"
"Haverford,PA","may_25"
"Hays,TX","may_25"
"Henderson,NV","may_25"
"Hendersonville,TN","may_25"
"Hidalgo,TX","may_25"
"High Point,NC","may_25"
"Hillsboro,OR","may_25"
"Honolulu,HI","may_25"
"Houston,TX","may_25"
"Huntersville,NC","may_25"
"Idaho Falls,ID","may_25"
"Independence,MO","may_25"
"Indianapolis,IN","may_25"
"Iredell,NC","may_25"
"Irving,TX","may_25"
"Jackson,TN","may_25"
"Jefferson,CO","may_25"
"Jefferson,LA","may_25"
"Jefferson,MO","may_25"
"Johnson City,TN","may_25"
"Johnston,NC","may_25"
"Joplin,MO","may_25"
"Kannapolis,NC","may_25"
"Kansas City,MO","may_25"
"Kaufman,TX","may_25"
"Kenosha,WI","may_25"
"Killeen,TX","may_25"
"Kingsport,TN","may_25"
"Knox,TN","may_25"
"Knoxville,TN","may_25"
"Kyle,TX","may_25"
"La Crosse,WI","may_25"
"La Mesa,CA","may_25"
"Lake Havasu City,AZ","may_25"
"Lakeville,MN","may_25"
"Lancaster,PA","may_25"
"Laredo,TX","may_25"
"League City,TX","may_25"
"Leander,TX","may_25"
"Lee's Summit,MO","may_25"
"Lewisville,TX","may_25"
"Lincoln,NE","may_25"
"Little Elm,TX","may_25"
"Little Rock,AR","may_25"
"Long Beach,CA","may_25"
"Longview,TX","may_25"
"Los Angeles,CA","may_25"
"Louisville,KY","may_25"
"Loveland,CO","may_25"
"Lower Merion,PA","may_25"
"Lower Paxton,PA","may_25"
"Manchester,NH","may_25"
"Mansfield,TX","may_25"
"Manteca,CA","may_25"
"Maple Grove,MN","may_25"
"Marana,AZ","may_25"
"Maricopa,AZ","may_25"
"Mckinney,TX","may_25"
"Memphis,TN","may_25"
"Meriden,CT","may_25"
"Meridian,ID","may_25"
"Mesa,AZ","may_25"
"Miami Beach,FL","may_25"
"Milford,CT","may_25"
"Millcreek,PA","may_25"
"Milpitas,CA","may_25"
"Milwaukee,WI","may_25"
"Minneapolis,MN","may_25"
"Minnetonka,MN","may_25"
"Missouri City,TX","may_25"
"Montgomery,TX","may_25"
"Mooresville,NC","may_25"
"Mount Prospect,IL","may_25"
"Mount Vernon,NY","may_25"
"Murfreesboro,TN","may_25"
"Murrieta,CA","may_25"
"Nashville,TN","may_25"
"National City,CA","may_25"
"New Braunfels,TX","may_25"
"New Britain,CT","may_25"
"New Hanover,NC","may_25"
"New York City,NY","may_25"
"North Bergen Township,NJ","may_25"
"North Richland Hills,TX","may_25"
"O'Fallon,MO","may_25"
"Oak Lawn,IL","may_25"
"Oceanside,CA","may_25"
"Omaha,NE","may_25"
"Oshkosh,WI","may_25"
"Palatine,IL","may_25"
"Parker,CO","may_25"
"Parker,TX","may_25"
"Pasadena,TX","may_25"
"Pearland,TX","may_25"
"Pflugerville,TX","may_25"
"Pharr,TX","may_25"
"Philadelphia,PA","may_25"
"Phoenix,AZ","may_25"
"Pima,AZ","may_25"
"Pittsburgh,PA","may_25"
"Plano,TX","may_25"
"Plymouth,MN","may_25"
"Pocatello,ID","may_25"
