"city_state","date"
"Abilene,TX","nov_25"
"Abington,PA","nov_25"
"Ada,ID","nov_25"
"Adams,CO","nov_25"
"Akron,OH","nov_25"
"Alameda,CA","nov_25"
"Alameda,CA","nov_25"
"Albany,GA","nov_25"
"Albemarle,VA","nov_25"
"Albuquerque,NM","nov_25"
"Alexandria,VA","nov_25"
"Alhambra,CA","nov_25"
"Aliso Viejo,CA","nov_25"
"Allen,TX","nov_25"
"Allentown,PA","nov_25"
"Amarillo,TX","nov_25"
"Ames,IA","nov_25"
"Ankeny,IA","nov_25"
"Ann Arbor,MI","nov_25"
"Antioch,CA","nov_25"
"Apple Valley,MN","nov_25"
"Appleton,WI","nov_25"
"Arapahoe,CO","nov_25"
"Arcadia,CA","nov_25"
"Arlington Heights,IL","nov_25"
"Arlington,TX","nov_25"
"Arvada,CO","nov_25"
"Asheville,NC","nov_25"
"Atlanta,GA","nov_25"
"Aurora,CO","nov_25"
"Austin,TX","nov_25"
"Bakersfield,CA","nov_25"
"Baldwin Park,CA","nov_25"
"Baltimore,MD","nov_25"
"Baltimore,MD","nov_25"
"Battle Creek,MI","nov_25"
"Baytown,TX","nov_25"
"Beaumont,CA","nov_25"
"Beaumont,TX","nov_25"
"Beaverton,OR","nov_25"
"Bellevue,NE","nov_25"
"Bellingham,WA","nov_25"
"Bentonville,AR","nov_25"
"Berkeley,CA","nov_25"
"Berkeley,SC","nov_25"
"Bethlehem,PA","nov_25"
"Billings,MT","nov_25"
"Birmingham,AL","nov_25"
"Bismarck,ND","nov_25"
"Blaine,MN","nov_25"
"Bloomfield,NJ","nov_25"
"Bloomington,MN","nov_25"
"Blue Springs,MO","nov_25"
"Bolingbrook,IL","nov_25"
"Boone,KY","nov_25"
"Bossier City,LA","nov_25"
"Boston,MA","nov_25"
"Bowie,MD","nov_25"
"Bowling Green,KY","nov_25"
"Bozeman,MT","nov_25"
"Brazoria,TX","nov_25"
"Brentwood,CA","nov_25"
"Bridgeport,CT","nov_25"
"Bristol,CT","nov_25"
"Brockton,MA","nov_25"
"Broken Arrow,OK","nov_25"
"Brooklyn Park,MN","nov_25"
"Broomfield,CO","nov_25"
"Brownsville,TX","nov_25"
"Buena Park,CA","nov_25"
"Buffalo,NY","nov_25"
"Buncombe,NC","nov_25"
"Burbank,CA","nov_25"
"Burleson,TX","nov_25"
"Burlington,NC","nov_25"
"Burlington,VT","nov_25"
"Burnsville,MN","nov_25"
"Camarillo,CA","nov_25"
"Cambridge,MA","nov_25"
"Cameron,TX","nov_25"
"Canton Township,MI","nov_25"
"Canton,OH","nov_25"
"Carlsbad,CA","nov_25"
"Carmel,IN","nov_25"
"Carrollton,TX","nov_25"
"Cary,NC","nov_25"
