"city_state","date"
"Abilene, TX","oct_24"
"Abington, PA","oct_24"
"Albany, GA","oct_24"
"Alexandria, VA","oct_24"
"Alhambra, CA","oct_24"
"Allen, TX","oct_24"
"Allentown, PA","oct_24"
"Amarillo, TX","oct_24"
"Antioch, CA","oct_24"
"Apple Valley, MN","oct_24"
"Arlington Heights, IL","oct_24"
"Arlington, TX","oct_24"
"Arvada, CO","oct_24"
"Asheville, NC","oct_24"
"Atlanta, GA","oct_24"
"Aurora, CO","oct_24"
"Austin, TX","oct_24"
"Avondale, AZ","oct_24"
"Bakersfield, CA","oct_24"
"Baltimore, MD","oct_24"
"Baytown, TX","oct_24"
"Beaumont, TX","oct_24"
"Beaverton, OR","oct_24"
"Bellevue, NE","oct_24"
"Bellingham, WA","oct_24"
"Bend, OR","oct_24"
"Bensalem, PA","oct_24"
"Bethlehem, PA","oct_24"
"Blaine, MN","oct_24"
"Bloomington, MN","oct_24"
"Blue Springs, MO","oct_24"
"Bolingbrook, IL","oct_24"
"Boston, MA","oct_24"
"Boulder, CO","oct_24"
"Bridgeport, CT","oct_24"
"Bristol, CT","oct_24"
"Brockton, MA","oct_24"
"Brooklyn Park, MN","oct_24"
"Broomfield, CO","oct_24"
"Brownsville, TX","oct_24"
"Buckeye, AZ","oct_24"
"Buffalo, NY","oct_24"
"Burbank, CA","oct_24"
"Burleson, TX","oct_24"
"Burnsville, MN","oct_24"
"Cambridge, MA","oct_24"
"Canton, OH","oct_24"
"Carlsbad, CA","oct_24"
"Castle Rock, CO","oct_24"
"Cedar Park, TX","oct_24"
"Centennial, CO","oct_24"
"Champaign, IL","oct_24"
"Chandler, AZ","oct_24"
"Charlotte, NC","oct_24"
"Chattanooga, TN","oct_24"
"Chesapeake, VA","oct_24"
"Cheyenne, WY","oct_24"
"Chicago, IL","oct_24"
"Chicopee, MA","oct_24"
"Chula Vista, CA","oct_24"
"Cincinnati, OH","oct_24"
"Coeur D Alene, ID","oct_24"
"Colerain Township, OH","oct_24"
"College Station, TX","oct_24"
"Colorado Springs, CO","oct_24"
"Columbia, MO","oct_24"
"Columbus, OH","oct_24"
"Commerce City, CO","oct_24"
"Conroe, TX","oct_24"
"Coon Rapids, MN","oct_24"
"Corpus Christi, TX","oct_24"
"Cranston, RI","oct_24"
"Dallas, TX","oct_24"
"Danbury, CT","oct_24"
"Dayton, OH","oct_24"
"Decatur, IL","oct_24"
"Denton, TX","oct_24"
"Denver, CO","oct_24"
"Des Plaines, IL","oct_24"
"Desoto, TX","oct_24"
"Detroit, MI","oct_24"
"Dublin, OH","oct_24"
"Duluth, MN","oct_24"
"Dunwoody, GA","oct_24"
"Durham, NC","oct_24"
"Eagan, MN","oct_24"
"East Hartford, CT","oct_24"
"Eden Prairie, MN","oct_24"
"Edina, MN","oct_24"
"Edinburg, TX","oct_24"
"El Cajon, CA","oct_24"
"Elyria, OH","oct_24"
"Erie, PA","oct_24"
"Escondido, CA","oct_24"
"Euclid, OH","oct_24"
"Eugene, OR","oct_24"
"Euless, TX","oct_24"
"Evanston, IL","oct_24"
"Fairfield, CT","oct_24"
"Fall River, MA","oct_24"
"Fayetteville, NC","oct_24"
"Florissant, MO","oct_24"
"Flower Mound, TX","oct_24"
"Fort Collins, CO","oct_24"
"Fort Wayne, IN","oct_24"
"Fort Worth, TX","oct_24"
"Fremont, CA","oct_24"
"Frisco, TX","oct_24"
"Galveston, TX","oct_24"
"Gilbert, AZ","oct_24"
"Glendale, AZ","oct_24"
"Glendale, CA","oct_24"
"Goodyear, AZ","oct_24"
"Grand Island, NE","oct_24"
"Grand Junction, CO","oct_24"
"Grand Prairie, TX","oct_24"
"Grand Rapids, MI","oct_24"
"Grapevine, TX","oct_24"
"Greeley, CO","oct_24"
"Green Township, OH","oct_24"
"Gresham, OR","oct_24"
"Hamden, CT","oct_24"
"Hampton, VA","oct_24"
"Harlingen, TX","oct_24"
"Harrisburg, PA","oct_24"
"Harrisonburg, VA","oct_24"
"Haverford, PA","oct_24"
"Haverhill, MA","oct_24"
"Henderson, NV","oct_24"
"Hillsboro, OR","oct_24"
"Honolulu, HI","oct_24"
"Houston, TX","oct_24"
"Idaho Falls, ID","oct_24"
"Independence, MO","oct_24"
"Indianapolis, IN","oct_24"
"Irving, TX","oct_24"
"Jackson, MI","oct_24"
"Joplin, MO","oct_24"
"Kansas City, MO","oct_24"
"Killeen, TX","oct_24"
"Knoxville, TN","oct_24"
"Kyle, TX","oct_24"
"La Mesa, CA","oct_24"
"Lake Havasu City, AZ","oct_24"
"Lakeville, MN","oct_24"
"Lancaster, PA","oct_24"
"Laredo, TX","oct_24"
"Las Vegas, NV","oct_24"
"League City, TX","oct_24"
"Leander, TX","oct_24"
"Lee's Summit, MO","oct_24"
"Lewisville, TX","oct_24"
"Lincoln, NE","oct_24"
"Little Elm, TX","oct_24"
"Little Rock, AR","oct_24"
"Long Beach, CA","oct_24"
"Longmont, CO","oct_24"
"Longview, TX","oct_24"
"Lorain, OH","oct_24"
"Los Angeles, CA","oct_24"
"Louisville, KY","oct_24"
"Lower Merion, PA","oct_24"
"Lower Paxton, PA","oct_24"
"Lynchburg, VA","oct_24"
"Lynn, MA","oct_24"
"Malden, MA","oct_24"
"Manchester, CT","oct_24"
"Manchester, NH","oct_24"
"Mansfield, TX","oct_24"
"Maple Grove, MN","oct_24"
"Marana, AZ","oct_24"
"McAllen, TX","oct_24"
"Mckinney, TX","oct_24"
"Memphis, TN","oct_24"
"Meridian, ID","oct_24"
"Mesa, AZ","oct_24"
"Mesquite, TX","oct_24"
"Miami Beach, FL","oct_24"
"Midland, TX","oct_24"
"Milford, CT","oct_24"
"Millcreek, PA","oct_24"
"Milwaukee, WI","oct_24"
"Minneapolis, MN","oct_24"
"Minnetonka, MN","oct_24"
"Mission, TX","oct_24"
"Missouri City, TX","oct_24"
"Moline, IL","oct_24"
"Mount Prospect, IL","oct_24"
"Nashua, NH","oct_24"
"Nashville, TN","oct_24"
"National City, CA","oct_24"
"New Bedford, MA","oct_24"
"New Braunfels, TX","oct_24"
"New Britain, CT","oct_24"
"New Orleans, LA","oct_24"
"New York City, NY","oct_24"
"Newark, NJ","oct_24"
"Newark, OH","oct_24"
"Newport News, VA","oct_24"
"Newton, MA","oct_24"
"Norfolk, VA","oct_24"
"Normal, IL","oct_24"
