"city_state","date"
"Abington,PA","sep_25"
"Ada,ID","sep_25"
"Aiken,SC","sep_25"
"Akron,OH","sep_25"
"Alameda,CA","sep_25"
"Alameda,CA","sep_25"
"Albany,GA","sep_25"
"Albemarle,VA","sep_25"
"Alexandria,VA","sep_25"
"Alhambra,CA","sep_25"
"Aliso Viejo,CA","sep_25"
"Allen,TX","sep_25"
"Allentown,PA","sep_25"
"Ames,IA","sep_25"
"Anaheim,CA","sep_25"
"Anderson,SC","sep_25"
"Ankeny,IA","sep_25"
"Ann Arbor,MI","sep_25"
"Apple Valley,MN","sep_25"
"Appleton,WI","sep_25"
"Arlington Heights,IL","sep_25"
"Arlington,TX","sep_25"
"Arlington,VA","sep_25"
"Arvada,CO","sep_25"
"Asheville,NC","sep_25"
"Atlanta,GA","sep_25"
"Aurora,CO","sep_25"
"Austin,TX","sep_25"
"Avondale,AZ","sep_25"
"Bakersfield,CA","sep_25"
"Baldwin Park,CA","sep_25"
"Baltimore,MD","sep_25"
"Baltimore,MD","sep_25"
"Battle Creek,MI","sep_25"
"Baytown,TX","sep_25"
"Beaumont,CA","sep_25"
"Beaumont,TX","sep_25"
"Bellevue,NE","sep_25"
"Bellingham,WA","sep_25"
"Bend,OR","sep_25"
"Bentonville,AR","sep_25"
"Berkeley,CA","sep_25"
"Berkeley,SC","sep_25"
"Bethlehem,PA","sep_25"
"Billings,MT","sep_25"
"Birmingham,AL","sep_25"
"Bismarck,ND","sep_25"
"Blaine,MN","sep_25"
"Bloomfield,NJ","sep_25"
"Bloomington,MN","sep_25"
"Blue Springs,MO","sep_25"
"Bolingbrook,IL","sep_25"
"Boone,KY","sep_25"
"Boston,MA","sep_25"
"Bowie,MD","sep_25"
"Bowling Green,KY","sep_25"
"Bozeman,MT","sep_25"
"Brazoria,TX","sep_25"
"Brentwood,CA","sep_25"
"Bridgeport,CT","sep_25"
"Bristol,CT","sep_25"
"Brockton,MA","sep_25"
"Broken Arrow,OK","sep_25"
"Brooklyn Park,MN","sep_25"
"Broomfield,CO","sep_25"
"Brownsville,TX","sep_25"
"Buckeye,AZ","sep_25"
"Buffalo,NY","sep_25"
"Buncombe,NC","sep_25"
"Burbank,CA","sep_25"
"Burleson,TX","sep_25"
"Burlington,NC","sep_25"
"Burlington,VT","sep_25"
"Burnsville,MN","sep_25"
"Camarillo,CA","sep_25"
"Cambridge,MA","sep_25"
"Cameron,TX","sep_25"
"Canton Township,MI","sep_25"
"Canton,OH","sep_25"
"Carlsbad,CA","sep_25"
"Carmel,IN","sep_25"
"Carrollton,TX","sep_25"
"Cary,NC","sep_25"
"Casa Grande,AZ","sep_25"
"Castle Rock,CO","sep_25"
"Cedar Park,TX","sep_25"
"Cedar Rapids,IA","sep_25"
"Champaign,IL","sep_25"
"Chandler,AZ","sep_25"
"Chapel Hill,NC","sep_25"
"Charleston,SC","sep_25"
"Charlotte,NC","sep_25"
"Chattanooga,TN","sep_25"
"Cherry Hill Township,NJ","sep_25"
"Cheyenne,WY","sep_25"
"Chicago,IL","sep_25"
"Chico,CA","sep_25"
"Chicopee,MA","sep_25"
"Chino,CA","sep_25"
"Chula Vista,CA","sep_25"
"Cicero,IL","sep_25"
"Cincinnati,OH","sep_25"
"Citrus Heights,CA","sep_25"
"Cleveland,OH","sep_25"
"Clifton,NJ","sep_25"
"Clovis,CA","sep_25"
"Coeur D Alene,ID","sep_25"
"Colerain Township,OH","sep_25"
"College Station,TX","sep_25"
"Collierville,TN","sep_25"
"Collin,TX","sep_25"
"Colorado Springs,CO","sep_25"
"Columbia,MO","sep_25"
"Columbus,OH","sep_25"
"Comal,TX","sep_25"
"Commerce City,CO","sep_25"
"Concord,NC","sep_25"
"Conroe,TX","sep_25"
"Conway,AR","sep_25"
"Coon Rapids,MN","sep_25"
"Corona,CA","sep_25"
"Corpus Christi,TX","sep_25"
"Council Bluffs,IA","sep_25"
"Cranston,RI","sep_25"
"Dallas,TX","sep_25"
"Daly City,CA","sep_25"
"Danbury,CT","sep_25"
"Davenport,IA","sep_25"
"Davis,CA","sep_25"
"Dayton,OH","sep_25"
"Dearborn Heights,MI","sep_25"
"Dearborn,MI","sep_25"
"Decatur,IL","sep_25"
"Delaware,OH","sep_25"
"Denton,TX","sep_25"
"Denton,TX","sep_25"
"Denver,CO","sep_25"
"Des Moines,IA","sep_25"
"Des Plaines,IL","sep_25"
"Desoto,TX","sep_25"
"Detroit,MI","sep_25"
"Douglas,CO","sep_25"
"Douglas,NE","sep_25"
"Draper,UT","sep_25"
"Dublin,OH","sep_25"
"Dubuque,IA","sep_25"
"Duluth,MN","sep_25"
"Dunwoody,GA","sep_25"
"Durham,NC","sep_25"
"Eagan,MN","sep_25"
"East Baton Rouge,LA","sep_25"
"East Hartford,CT","sep_25"
"Eau Claire,WI","sep_25"
"Eden Prairie,MN","sep_25"
"Edina,MN","sep_25"
"Edinburg,TX","sep_25"
"Edmond,OK","sep_25"
"El Cajon,CA","sep_25"
"El Dorado,CA","sep_25"
"El Monte,CA","sep_25"
"El Paso,CO","sep_25"
"El Paso,TX","sep_25"
"El Paso,TX","sep_25"
"Elizabeth,NJ","sep_25"
"Elk Grove,CA","sep_25"
"Elkhart,IN","sep_25"
"Elyria,OH","sep_25"
"Enid,OK","sep_25"
"Erie,PA","sep_25"
"Escondido,CA","sep_25"
"Euclid,OH","sep_25"
"Euless,TX","sep_25"
"Evanston,IL","sep_25"
"Fairfield,CA","sep_25"
"Fairfield,CT","sep_25"
"Fall River,MA","sep_25"
"Fargo,ND","sep_25"
"Farmington Hills,MI","sep_25"
"Fayetteville,AR","sep_25"
"Fayetteville,NC","sep_25"
"Fishers,IN","sep_25"
"Flower Mound,TX","sep_25"
"Folsom,CA","sep_25"
"Fontana,CA","sep_25"
"Forsyth,NC","sep_25"
"Fort Bend,TX","sep_25"
"Fort Worth,TX","sep_25"
"Fountain Valley,CA","sep_25"
"Franklin,TN","sep_25"
"Fresno,CA","sep_25"
"Frisco,TX","sep_25"
"Fullerton,CA","sep_25"
"Galveston,TX","sep_25"
"Gardena,CA","sep_25"
"Garland,TX","sep_25"
"Gastonia,NC","sep_25"
"Georgetown,TX","sep_25"
"Gilbert,AZ","sep_25"
"Gilroy,CA","sep_25"
"Glendale,CA","sep_25"
"Goodyear,AZ","sep_25"
"Grand Forks,ND","sep_25"
"Grand Island,NE","sep_25"
"Grand Junction,CO","sep_25"
"Grand Prairie,TX","sep_25"
"Grand Rapids,MI","sep_25"
"Grapevine,TX","sep_25"
"Great Falls,MT","sep_25"
"Green Bay,WI","sep_25"
"Green Township,OH","sep_25"
"Greensboro,NC","sep_25"
"Greenville,NC","sep_25"
"Greenville,SC","sep_25"
"Greenville,SC","sep_25"
"Greenwich,CT","sep_25"
"Greenwood,IN","sep_25"
"Gresham,OR","sep_25"
"Guilford,NC","sep_25"
"Hamilton Township,NJ","sep_25"
"Hamilton,OH","sep_25"
"Hamilton,TN","sep_25"
"Hampton,VA","sep_25"
"Hanover,VA","sep_25"
"Harlingen,TX","sep_25"
"Harris,TX","sep_25"
"Harrisburg,PA","sep_25"
"Harrisonburg,VA","sep_25"
"Hartford,CT","sep_25"
"Haverhill,MA","sep_25"
"Hays,TX","sep_25"
"Hayward,CA","sep_25"
"Henderson,NV","sep_25"
"Hendersonville,TN","sep_25"
"Henrico,VA","sep_25"
"Hidalgo,TX","sep_25"
"High Point,NC","sep_25"
"Hillsboro,OR","sep_25"
"Hoboken,NJ","sep_25"
"Honolulu,HI","sep_25"
"Houston,TX","sep_25"
"Huntersville,NC","sep_25"
"Idaho Falls,ID","sep_25"
"Independence,MO","sep_25"
"Indianapolis,IN","sep_25"
"Iowa City,IA","sep_25"
"Iredell,NC","sep_25"
"Irvine,CA","sep_25"
"Irving,TX","sep_25"
"Jackson,TN","sep_25"
"Jacksonville,FL","sep_25"
"Janesville,WI","sep_25"
"Jefferson,CO","sep_25"
"Jefferson,LA","sep_25"
"Jefferson,MO","sep_25"
"Jersey City,NJ","sep_25"
"Johnson City,TN","sep_25"
"Johnston,NC","sep_25"
"Joplin,MO","sep_25"
"Kalamazoo,MI","sep_25"
"Kannapolis,NC","sep_25"
"Kansas City,MO","sep_25"
"Kaufman,TX","sep_25"
"Kenosha,WI","sep_25"
"Kent,MI","sep_25"
"Killeen,TX","sep_25"
"Kingsport,TN","sep_25"
"Knox,TN","sep_25"
"Knoxville,TN","sep_25"
"Kyle,TX","sep_25"
"La Crosse,WI","sep_25"
"La Mesa,CA","sep_25"
"Laguna Niguel,CA","sep_25"
"Lake Charles,LA","sep_25"
"Lake Havasu City,AZ","sep_25"
"Lakeville,MN","sep_25"
"Lancaster,PA","sep_25"
"Lancaster,SC","sep_25"
"Laredo,TX","sep_25"
"Las Vegas,NV","sep_25"
"Lawrence,MA","sep_25"
"Layton,UT","sep_25"
"League City,TX","sep_25"
"Leander,TX","sep_25"
"Lee's Summit,MO","sep_25"
"Lenexa,KS","sep_25"
"Lewisville,TX","sep_25"
"Lexington,KY","sep_25"
"Lexington,SC","sep_25"
"Lincoln,NE","sep_25"
"Little Elm,TX","sep_25"
"Little Rock,AR","sep_25"
"Livermore,CA","sep_25"
"Livingston,LA","sep_25"
"Livonia,MI","sep_25"
"Logan,UT","sep_25"
"Long Beach,CA","sep_25"
"Longview,TX","sep_25"
"Lorain,OH","sep_25"
"Los Angeles,CA","sep_25"
"Los Angeles,CA","sep_25"
"Loudoun,VA","sep_25"
"Louisville,KY","sep_25"
"Loveland,CO","sep_25"
"Lower Merion,PA","sep_25"
"Lower Paxton,PA","sep_25"
"Lubbock,TX","sep_25"
"Lynn,MA","sep_25"
"Madera,CA","sep_25"
"Malden,MA","sep_25"
"Manchester,CT","sep_25"
"Manchester,NH","sep_25"
"Mansfield,TX","sep_25"
"Manteca,CA","sep_25"
"Maple Grove,MN","sep_25"
"Marana,AZ","sep_25"
"Maricopa,AZ","sep_25"
"McAllen,TX","sep_25"
"Mckinney,TX","sep_25"
"Medford,OR","sep_25"
"Memphis,TN","sep_25"
"Merced,CA","sep_25"
"Meridian,ID","sep_25"
"Mesquite,TX","sep_25"
"Miami Beach,FL","sep_25"
"Miami,FL","sep_25"
"Midwest City,OK","sep_25"
"Milford,CT","sep_25"
"Millcreek,PA","sep_25"
"Milpitas,CA","sep_25"
"Minneapolis,MN","sep_25"
"Minnetonka,MN","sep_25"
"Missoula,MT","sep_25"
"Missouri City,TX","sep_25"
"Mobile,AL","sep_25"
