"city_state_id","city_state","Agency Name","State","date","Agency_Type"
"Abilene,TX,City","Abilene,TX","Abilene","TX","apr_26","City"
"Abington,PA,City","Abington,PA","Abington","PA","apr_26","City"
"Ada,ID,County","Ada,ID","Ada","ID","apr_26","County"
"Adams,CO,County","Adams,CO","Adams","CO","apr_26","County"
"Aiken,SC,County","Aiken,SC","Aiken","SC","apr_26","County"
"Akron,OH,City","Akron,OH","Akron","OH","apr_26","City"
"Alameda,CA,City","Alameda,CA","Alameda","CA","apr_26","City"
"Alameda,CA,County","Alameda,CA","Alameda","CA","apr_26","County"
"Albany,GA,City","Albany,GA","Albany","GA","apr_26","City"
"Albany,NY,City","Albany,NY","Albany","NY","apr_26","City"
"Albemarle,VA,County","Albemarle,VA","Albemarle","VA","apr_26","County"
"Albuquerque,NM,City","Albuquerque,NM","Albuquerque","NM","apr_26","City"
"Alexandria,VA,City","Alexandria,VA","Alexandria","VA","apr_26","City"
"Aliso Viejo,CA,City","Aliso Viejo,CA","Aliso Viejo","CA","apr_26","City"
"Allen,TX,City","Allen,TX","Allen","TX","apr_26","City"
"Allentown,PA,City","Allentown,PA","Allentown","PA","apr_26","City"
"Alpharetta,GA,City","Alpharetta,GA","Alpharetta","GA","apr_26","City"
"Ames,IA,City","Ames,IA","Ames","IA","apr_26","City"
"Anaheim,CA,City","Anaheim,CA","Anaheim","CA","apr_26","City"
"Anderson,SC,County","Anderson,SC","Anderson","SC","apr_26","County"
"Ankeny,IA,City","Ankeny,IA","Ankeny","IA","apr_26","City"
"Ann Arbor,MI,City","Ann Arbor,MI","Ann Arbor","MI","apr_26","City"
"Antioch,CA,City","Antioch,CA","Antioch","CA","apr_26","City"
"Apex,NC,City","Apex,NC","Apex","NC","apr_26","City"
"Apple Valley,MN,City","Apple Valley,MN","Apple Valley","MN","apr_26","City"
"Appleton,WI,City","Appleton,WI","Appleton","WI","apr_26","City"
"Arapahoe,CO,County","Arapahoe,CO","Arapahoe","CO","apr_26","County"
"Arcadia,CA,City","Arcadia,CA","Arcadia","CA","apr_26","City"
"Arlington Heights,IL,City","Arlington Heights,IL","Arlington Heights","IL","apr_26","City"
"Arlington,TX,City","Arlington,TX","Arlington","TX","apr_26","City"
"Arlington,VA,County","Arlington,VA","Arlington","VA","apr_26","County"
"Arvada,CO,City","Arvada,CO","Arvada","CO","apr_26","City"
"Asheville,NC,City","Asheville,NC","Asheville","NC","apr_26","City"
"Atlanta,GA,City","Atlanta,GA","Atlanta","GA","apr_26","City"
"Aurora,CO,City","Aurora,CO","Aurora","CO","apr_26","City"
"Austin,TX,City","Austin,TX","Austin","TX","apr_26","City"
"Avondale,AZ,City","Avondale,AZ","Avondale","AZ","apr_26","City"
"Bakersfield,CA,City","Bakersfield,CA","Bakersfield","CA","apr_26","City"
"Baldwin Park,CA,City","Baldwin Park,CA","Baldwin Park","CA","apr_26","City"
"Baltimore,MD,City","Baltimore,MD","Baltimore","MD","apr_26","City"
"Baltimore,MD,County","Baltimore,MD","Baltimore","MD","apr_26","County"
"Bartlett,TN,City","Bartlett,TN","Bartlett","TN","apr_26","City"
