"","Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year"
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.1","Flagstaff PD","1","7","2","21","22","98","11","1","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.2","Avondale PD","0","2","16","15","45","270","17","6","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.3","Buckeye PD","0","1","0","6","14","103","15","1","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.4","Chandler PD","2","9","5","22","29","426","49","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.5","Gilbert PD","1","4","4","20","30","221","20","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.6","Glendale PD","1","10","23","78","100","471","90","2","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.7","Goodyear PD","0","2","2","16","25","171","18","1","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.8","Mesa PD","2","25","34","125","109","665","99","1","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.9","Queen Creek Police Department","0","0","0","3","1","48","3","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.10","Peoria PD","2","4","12","22","46","194","32","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.11","Phoenix PD","13","115","262","588","549",NA,"728","26","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Arizona\Formatted Data.12","Scottsdale PD","2","7","4","27","55","429","34","2","1",2022
