"","pds","Total","Note"
"1","Newark",10,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"2","Springfield",10,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"3","Nationwide Count",9,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Robbery_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"4","AZ, Full Sample",8,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"5","MO, Full Sample",8,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"6","NV, Full Sample",8,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"7","CO, Full Sample",7,"Rape_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"8","Glendale",7,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"9","Meriden",7,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"10","NE, Full Sample",7,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Theft_pri1 | MVT_pri1"
"11","PA, Full Sample",7,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Rape_pri1 | Robbery_pri1 | Burglary_pri1 | MVT_pri1"
"12","TX, Full Sample",7,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Theft_pri1 | MVT_pri1"
"13","Dallas",6,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"14","Indianapolis",6,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1"
"15","LA, Full Sample",6,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"16","New Orleans",6,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"17","OR, Full Sample",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"18","Philadelphia",6,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Robbery_pri1 | Burglary_pri1 | MVT_pri1"
"19","Portland",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"20","Reno",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"21","Wichita Falls",6,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1"
"22","Amarillo",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | Theft_pri1"
"23","CA, Full Sample",5,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"24","CT, Full Sample",5,"Robbery_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"25","Hamden",5,"Agg.Assault_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"26","Houston",5,"Robbery_pri8 | Theft_pri8 | Robbery_pri1 | Theft_pri1 | MVT_pri1"
"27","IN, Full Sample",5,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Robbery_pri1 | Agg.Assault_pri1"
"28","Norwalk",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"29","Parma",5,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"30","Phoenix",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | MVT_pri1"
"31","San Antonio",5,"Rape_pri8 | Agg.Assault_pri8 | Rape_pri1 | Theft_pri1 | MVT_pri1"
"32","San Francisco",5,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"33","Vallejo",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"34","Chattanooga",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"35","Cicero",4,"Robbery_pri8 | Theft_pri8 | Robbery_pri1 | Theft_pri1"
"36","DC, Full Sample",4,"Theft_pri8 | Robbery_pri1 | Theft_pri1 | MVT_pri1"
"37","East Hartford",4,"Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"38","Hartford",4,"Agg.Assault_pri8 | Theft_pri8 | Agg.Assault_pri1 | MVT_pri1"
"39","HI, Full Sample",4,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1"
"40","Joplin",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"41","Kansas City",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"42","Lubbock",4,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | MVT_pri1"
"43","Memphis",4,"Burglary_pri8 | Robbery_pri1 | Burglary_pri1 | MVT_pri1"
"44","Mesa",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"45","Middletown",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"46","Midland",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"47","MN, Full Sample",4,"Rape_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri1"
"48","NC, Full Sample",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"49","North Las Vegas",4,"Robbery_pri8 | Agg.Assault_pri8 | Agg.Assault_pri1 | MVT_pri1"
"50","OH, Full Sample",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"51","Omaha",4,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | MVT_pri1"
"52","Seattle",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"53","St Peters",4,"Agg.Assault_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1"
"54","Stockton",4,"Agg.Assault_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"55","Tempe",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"56","Toledo",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"57","VA, Full Sample",4,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1"
"58","WA, Full Sample",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"59","Washington",4,"Theft_pri8 | Robbery_pri1 | Theft_pri1 | MVT_pri1"
"60","Allentown",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"61","Austin",3,"Burglary_pri8 | Theft_pri8 | MVT_pri1"
"62","Boise",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
