"ORI.Number","ORI.9.Digit","State","Agency.Name","Population","Year","Month","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","City_viz","State_viz","City","samp","state_name","ucr_agency_name","state_ucr_link","Date"
NA,NA,"arizona","Flagstaff PD",NA,2022,1,1,7,2,21,22,98,11,1,"Flagstaff","Arizona","flagstaff",1,"Arizona","FLAGSTAFF","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Avondale PD",NA,2022,1,0,2,16,15,45,270,17,6,"Avondale","Arizona","avondale",1,"Arizona","AVONDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Buckeye PD",NA,2022,1,0,1,0,6,14,103,15,1,"Buckeye","Arizona","buckeye",1,"Arizona","BUCKEYE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Chandler PD",NA,2022,1,2,9,5,22,29,426,49,0,"Chandler","Arizona","chandler",1,"Arizona","CHANDLER","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Gilbert PD",NA,2022,1,1,4,4,20,30,221,20,0,"Gilbert","Arizona","gilbert",1,"Arizona","GILBERT","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Glendale PD",NA,2022,1,1,10,23,78,100,471,90,2,"Glendale","Arizona","glendale",1,"Arizona","GLENDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Goodyear PD",NA,2022,1,0,2,2,16,25,171,18,1,"Goodyear","Arizona","goodyear",1,"Arizona","GOODYEAR","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Mesa PD",NA,2022,1,2,25,34,125,109,665,99,1,"Mesa","Arizona","mesa",1,"Arizona","MESA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Queen Creek Police Department",NA,2022,1,0,0,0,3,1,48,3,0,"Queen creek","Arizona","queen creek",1,"Arizona","QUEEN CREEK","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
NA,NA,"arizona","Peoria PD",NA,2022,1,2,4,12,22,46,194,32,0,"Peoria","Arizona","peoria",1,"Arizona","PEORIA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-01-01
