"city_state_id","city_state","Agency Name","State","date","Agency_Type"
"Abington,PA,City","Abington,PA","Abington","PA","jul_25","City"
"Ada,ID,County","Ada,ID","Ada","ID","jul_25","County"
"Aiken,SC,County","Aiken,SC","Aiken","SC","jul_25","County"
"Alameda,CA,City","Alameda,CA","Alameda","CA","jul_25","City"
"Alameda,CA,County","Alameda,CA","Alameda","CA","jul_25","County"
"Albany,GA,City","Albany,GA","Albany","GA","jul_25","City"
"Albany,NY,City","Albany,NY","Albany","NY","jul_25","City"
"Albemarle,VA,County","Albemarle,VA","Albemarle","VA","jul_25","County"
"Albuquerque,NM,City","Albuquerque,NM","Albuquerque","NM","jul_25","City"
"Aliso Viejo,CA,City","Aliso Viejo,CA","Aliso Viejo","CA","jul_25","City"
"Allen,TX,City","Allen,TX","Allen","TX","jul_25","City"
"Allentown,PA,City","Allentown,PA","Allentown","PA","jul_25","City"
"Amarillo,TX,City","Amarillo,TX","Amarillo","TX","jul_25","City"
"Ames,IA,City","Ames,IA","Ames","IA","jul_25","City"
"Anaheim,CA,City","Anaheim,CA","Anaheim","CA","jul_25","City"
"Ankeny,IA,City","Ankeny,IA","Ankeny","IA","jul_25","City"
"Ann Arbor,MI,City","Ann Arbor,MI","Ann Arbor","MI","jul_25","City"
"Antioch,CA,City","Antioch,CA","Antioch","CA","jul_25","City"
"Apple Valley,MN,City","Apple Valley,MN","Apple Valley","MN","jul_25","City"
"Arapahoe,CO,County","Arapahoe,CO","Arapahoe","CO","jul_25","County"
"Arcadia,CA,City","Arcadia,CA","Arcadia","CA","jul_25","City"
"Arlington Heights,IL,City","Arlington Heights,IL","Arlington Heights","IL","jul_25","City"
"Arlington,TX,City","Arlington,TX","Arlington","TX","jul_25","City"
"Arlington,VA,County","Arlington,VA","Arlington","VA","jul_25","County"
"Arvada,CO,City","Arvada,CO","Arvada","CO","jul_25","City"
"Asheville,NC,City","Asheville,NC","Asheville","NC","jul_25","City"
"Atlanta,GA,City","Atlanta,GA","Atlanta","GA","jul_25","City"
