"Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year","State"
"Flagstaff PD",1,7,2,21,22,98,11,1,1,2022,"Arizona"
"Avondale PD",0,2,16,15,45,270,17,6,1,2022,"Arizona"
"Buckeye PD",0,1,0,6,14,103,15,1,1,2022,"Arizona"
"Chandler PD",2,9,5,22,29,426,49,0,1,2022,"Arizona"
"Gilbert PD",1,4,4,20,30,221,20,0,1,2022,"Arizona"
"Glendale PD",1,10,23,78,100,471,90,2,1,2022,"Arizona"
"Goodyear PD",0,2,2,16,25,171,18,1,1,2022,"Arizona"
"Mesa PD",2,25,34,125,109,665,99,1,1,2022,"Arizona"
"Queen Creek Police Department",0,0,0,3,1,48,3,0,1,2022,"Arizona"
"Peoria PD",2,4,12,22,46,194,32,0,1,2022,"Arizona"
"Phoenix PD",13,115,262,588,549,NA,728,26,1,2022,"Arizona"
"Scottsdale PD",2,7,4,27,55,429,34,2,1,2022,"Arizona"
"Surprise PD",0,3,5,14,10,146,7,1,1,2022,"Arizona"
"Tempe PD",0,16,21,65,83,568,63,7,1,2022,"Arizona"
"Lake Havasu City PD",0,2,0,10,7,55,14,0,1,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,1,2022,"Arizona"
"Marana PD",0,0,4,0,5,97,8,0,1,2022,"Arizona"
"Casa Grande PD",0,7,3,15,11,111,17,1,1,2022,"Arizona"
"Maricopa PD",0,1,0,10,2,31,3,0,1,2022,"Arizona"
"Yuma PD",0,4,7,39,38,115,14,1,1,2022,"Arizona"
"Flagstaff PD",0,9,3,24,13,85,7,2,2,2022,"Arizona"
"Avondale PD",1,3,4,33,19,219,23,1,2,2022,"Arizona"
"Buckeye PD",0,5,0,6,11,89,6,0,2,2022,"Arizona"
"Chandler PD",0,11,5,27,33,364,41,1,2,2022,"Arizona"
"Gilbert PD",0,8,1,10,20,203,12,1,2,2022,"Arizona"
"Glendale PD",2,9,14,86,75,485,87,5,2,2022,"Arizona"
"Goodyear PD",0,1,3,16,16,161,17,0,2,2022,"Arizona"
"Mesa PD",1,10,24,97,71,660,87,5,2,2022,"Arizona"
"Queen Creek Police Department",0,3,0,6,5,50,1,0,2,2022,"Arizona"
"Peoria PD",0,3,5,21,36,196,22,0,2,2022,"Arizona"
"Phoenix PD",22,75,232,661,505,NA,594,20,2,2022,"Arizona"
"Scottsdale PD",1,6,4,24,58,411,40,0,2,2022,"Arizona"
"Surprise PD",0,1,4,20,22,147,18,1,2,2022,"Arizona"
"Tempe PD",0,11,13,66,57,490,53,10,2,2022,"Arizona"
"Lake Havasu City PD",0,3,0,6,6,50,4,0,2,2022,"Arizona"
"Tucson PD",6,25,102,184,243,NA,171,25,2,2022,"Arizona"
"Marana PD",1,1,1,4,7,89,2,0,2,2022,"Arizona"
"Casa Grande PD",0,4,4,15,11,138,16,3,2,2022,"Arizona"
"Maricopa PD",0,0,0,5,5,43,7,1,2,2022,"Arizona"
"Yuma PD",0,2,2,55,31,99,15,0,2,2022,"Arizona"
"Flagstaff PD",1,5,4,33,13,113,7,2,3,2022,"Arizona"
"Avondale PD",0,5,7,28,27,268,25,2,3,2022,"Arizona"
"Buckeye PD",1,4,0,9,20,64,12,1,3,2022,"Arizona"
"Chandler PD",1,6,6,37,47,365,38,1,3,2022,"Arizona"
"Gilbert PD",0,7,5,6,21,187,16,1,3,2022,"Arizona"
"Glendale PD",3,15,15,103,79,525,84,4,3,2022,"Arizona"
"Goodyear PD",0,1,5,15,30,117,12,0,3,2022,"Arizona"
"Mesa PD",1,26,22,110,110,727,95,2,3,2022,"Arizona"
"Queen Creek Police Department",0,0,0,6,9,52,1,0,3,2022,"Arizona"
"Peoria PD",0,8,7,16,43,219,19,1,3,2022,"Arizona"
"Phoenix PD",12,77,249,792,576,NA,759,23,3,2022,"Arizona"
"Scottsdale PD",0,7,8,21,48,458,33,0,3,2022,"Arizona"
"Surprise PD",0,4,2,22,24,157,16,0,3,2022,"Arizona"
"Tempe PD",3,15,19,65,69,553,69,1,3,2022,"Arizona"
"Lake Havasu City PD",0,2,0,10,12,58,2,1,3,2022,"Arizona"
"Tucson PD",4,28,95,184,208,NA,197,27,3,2022,"Arizona"
"Marana PD",0,1,3,3,1,111,2,1,3,2022,"Arizona"
"Casa Grande PD",1,2,0,26,18,129,12,2,3,2022,"Arizona"
"Maricopa PD",0,0,0,15,2,33,2,0,3,2022,"Arizona"
