"agency_name","state_name","crime_type","ytd_month_range","two_years_prior_full","previous_year_full","two_years_prior_previous_year_full_pct_change","two_years_prior_ytd","previous_year_ytd","current_year_ytd","two_years_prior_current_year_ytd_pct_change","previous_year_current_year_ytd_pct_change","population","number_of_agencies","last_updated"
"Abilene","Texas","aggravated_assault","Jan - Nov 2025",390,395,1.28205128205128,359,365,306,-14.7632311977716,-16.1643835616438,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","burglary","Jan - Nov 2025",409,417,1.9559902200489,385,394,296,-23.1168831168831,-24.8730964467005,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","motor_vehicle_theft","Jan - Nov 2025",157,180,14.6496815286624,148,165,128,-13.5135135135135,-22.4242424242424,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","murder","Jan - Nov 2025",7,7,0,7,7,6,-14.2857142857143,-14.2857142857143,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","property_crime","Jan - Nov 2025",2226,2297,3.1895777178796,2048,2097,1750,-14.55078125,-16.5474487362899,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","rape","Jan - Nov 2025",113,93,-17.6991150442478,102,81,73,-28.4313725490196,-9.87654320987654,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","robbery","Jan - Nov 2025",62,60,-3.2258064516129,59,55,35,-40.6779661016949,-36.3636363636364,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","theft","Jan - Nov 2025",1660,1700,2.40963855421687,1515,1538,1326,-12.4752475247525,-13.7841352405722,128387,1,"2026-01-19 09:07:50 EST"
"Abilene","Texas","violent_crime","Jan - Nov 2025",572,555,-2.97202797202797,527,508,420,-20.303605313093,-17.3228346456693,128387,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","aggravated_assault","Jan - Nov 2025",23,36,56.5217391304348,23,33,20,-13.0434782608696,-39.3939393939394,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","burglary","Jan - Nov 2025",68,28,-58.8235294117647,62,25,21,-66.1290322580645,-16,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","motor_vehicle_theft","Jan - Nov 2025",81,74,-8.64197530864197,77,67,54,-29.8701298701299,-19.4029850746269,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","murder","Jan - Nov 2025",2,0,-100,2,0,1,-50,Inf,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","property_crime","Jan - Nov 2025",1366,1208,-11.5666178623719,1238,1088,913,-26.2520193861066,-16.0845588235294,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","rape","Jan - Nov 2025",6,8,33.3333333333333,6,7,6,0,-14.2857142857143,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","robbery","Jan - Nov 2025",21,29,38.0952380952381,18,26,9,-50,-65.3846153846154,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","theft","Jan - Nov 2025",1217,1106,-9.12078882497946,1099,996,838,-23.7488626023658,-15.863453815261,58433,1,"2026-01-19 09:07:50 EST"
"Abington","Pennsylvania","violent_crime","Jan - Nov 2025",52,73,40.3846153846154,49,66,36,-26.530612244898,-45.4545454545455,58433,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","aggravated_assault","Jan - Nov 2025",197,147,-25.3807106598985,183,134,139,-24.0437158469945,3.73134328358209,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","burglary","Jan - Nov 2025",97,78,-19.5876288659794,90,74,62,-31.1111111111111,-16.2162162162162,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","motor_vehicle_theft","Jan - Nov 2025",46,62,34.7826086956522,42,60,34,-19.047619047619,-43.3333333333333,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","murder","Jan - Nov 2025",2,2,0,2,2,1,-50,-50,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","property_crime","Jan - Nov 2025",506,561,10.8695652173913,469,539,430,-8.31556503198294,-20.2226345083488,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","rape","Jan - Nov 2025",82,61,-25.609756097561,78,57,50,-35.8974358974359,-12.280701754386,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","robbery","Jan - Nov 2025",6,6,0,6,6,2,-66.6666666666667,-66.6666666666667,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","theft","Jan - Nov 2025",363,421,15.9779614325069,337,405,334,-0.890207715133531,-17.5308641975309,138487,1,"2026-01-19 09:07:50 EST"
"Ada County","Idaho","violent_crime","Jan - Nov 2025",287,216,-24.7386759581882,269,199,192,-28.6245353159851,-3.51758793969849,138487,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","aggravated_assault","Jan - Nov 2025",450,328,-27.1111111111111,421,307,157,-62.70783847981,-48.8599348534202,100798,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","burglary","Jan - Nov 2025",262,231,-11.8320610687023,245,207,190,-22.4489795918367,-8.21256038647343,100798,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","motor_vehicle_theft","Jan - Nov 2025",930,764,-17.8494623655914,865,710,526,-39.1907514450867,-25.9154929577465,100798,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","murder","Jan - Nov 2025",2,6,200,2,6,2,0,-66.6666666666667,100798,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","property_crime","Jan - Nov 2025",2596,2181,-15.9861325115562,2425,1986,1781,-26.5567010309278,-10.3222557905337,100798,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","rape","Jan - Nov 2025",55,54,-1.81818181818182,52,53,34,-34.6153846153846,-35.8490566037736,100798,1,"2026-01-19 09:07:50 EST"
