"date","agency_name","state_name","agency_full","agency_abbr","location_full","region","population","source_link","agency_num","source_type","source_method","most_recent_month","in_national_sample","Last Updated"
2025-03-01,"Abilene","Texas","Abilene, Texas","Abilene, TX","Abilene, Texas","South",128387,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","March 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Abington","Pennsylvania","Abington, Pennsylvania","Abington, PA","Abington, Pennsylvania","Northeast",58433,"https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Ada County","Idaho","Ada County, Idaho","Ada County, ID","Ada County, Idaho","West",138487,"https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Adams County","Colorado","Adams County, Colorado","Adams County, CO","Adams County, Colorado","West",100798,"https://coloradocrimestats.state.co.us/public/View/dispview.aspx",1,"State UCR","Open Source","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Aiken County","South Carolina","Aiken County, South Carolina","Aiken County, SC","Aiken County, South Carolina","South",110756,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Akron","Ohio","Akron, Ohio","Akron, OH","Akron, Ohio","Midwest",187705,"https://ocjs.ohio.gov/",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Alameda","California","Alameda, California","Alameda, CA","Alameda, California","West",75061,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Alameda County","California","Alameda County, California","Alameda County, CA","Alameda County, California","West",148466,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Albany","Georgia","Albany, Georgia","Albany, GA","Albany, Georgia","South",66281,"https://www.albanyga.gov/crime-statistics",1,"Agency Aggregated","Open Source","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Albany","Oregon","Albany, Oregon","Albany, OR","Albany, Oregon","West",57002,"https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx",1,"State UCR","Open Source","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Albany","New York","Albany, New York","Albany, NY","Albany, New York","Northeast",101930,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Albemarle County","Virginia","Albemarle County, Virginia","Albemarle County, VA","Albemarle County, Virginia","South",115659,"From VA",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Albuquerque","New Mexico","Albuquerque, New Mexico","Albuquerque, NM","Albuquerque, New Mexico","West",559094,"https://www.cabq.gov/police/crime-statistics",1,"Agency Aggregated","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Alexandria","Virginia","Alexandria, Virginia","Alexandria, VA","Alexandria, Virginia","South",153897,"https://vsp.virginia.gov/",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Alhambra","California","Alhambra, California","Alhambra, CA","Alhambra, California","West",79087,"https://www.cityofalhambra.org/271/Crime-Statistics",1,"Agency Aggregated","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Aliso Viejo","California","Aliso Viejo, California","Aliso Viejo, CA","Aliso Viejo, California","West",50736,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Allen","Texas","Allen, Texas","Allen, TX","Allen, Texas","South",114696,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Allentown","Pennsylvania","Allentown, Pennsylvania","Allentown, PA","Allentown, Pennsylvania","Northeast",124782,"https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Alpharetta","Georgia","Alpharetta, Georgia","Alpharetta, GA","Alpharetta, Georgia","South",68139,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
