"agency_name","state_name","is_county","address","lat","long"
"Abilene","Texas",FALSE,"Abilene, Texas",32.44645,-99.7475905
"Abington","Pennsylvania",FALSE,"Abington, Pennsylvania",40.1142201,-75.1302299768566
"Ada County","Idaho",TRUE,"Ada County, Idaho",43.4136539,-116.2367421
"Adams County","Colorado",TRUE,"Adams County, Colorado",39.8714085,-104.2701374
"Aguadilla","Puerto Rico",FALSE,"Aguadilla, Puerto Rico",18.44965515,-67.1184764350823
"Akron","Ohio",FALSE,"Akron, Ohio",41.083064,-81.518485
"Albany","Georgia",FALSE,"Albany, Georgia",31.5782062,-84.1556809
"Albany","Oregon",FALSE,"Albany, Oregon",44.6365071,-123.1059324
"Albemarle County","Virginia",TRUE,"Albemarle County, Virginia",38.0085107,-78.6086754
"Albuquerque","New Mexico",FALSE,"Albuquerque, New Mexico",35.0841034,-106.650985
"Alexandria","Virginia",FALSE,"Alexandria, Virginia",38.8051095,-77.0470229
"Alhambra","California",FALSE,"Alhambra, California",34.093042,-118.12706
"Allen","Texas",FALSE,"Allen, Texas",33.1031744,-96.6705503
"Allentown","Pennsylvania",FALSE,"Allentown, Pennsylvania",40.6022059,-75.4712794
"Amarillo","Texas",FALSE,"Amarillo, Texas",35.20729,-101.8371192
"Ann Arbor","Michigan",FALSE,"Ann Arbor, Michigan",42.2813722,-83.7484616
"Antioch","California",FALSE,"Antioch, California",38.0093296,-121.8106925
"Apple Valley","Minnesota",FALSE,"Apple Valley, Minnesota",44.7319094,-93.21772
"Arapahoe County","Colorado",TRUE,"Arapahoe County, Colorado",39.6416781,-104.3628567
"Arecibo","Puerto Rico",FALSE,"Arecibo, Puerto Rico",18.40474985,-66.681035294432
"Arlington Heights","Illinois",FALSE,"Arlington Heights, Illinois",42.0811563,-87.9802164
"Arlington","Texas",FALSE,"Arlington, Texas",32.7355816,-97.1071186
"Arlington County","Virginia",TRUE,"Arlington County, Virginia",38.8769326,-77.0893094
"Arvada","Colorado",FALSE,"Arvada, Colorado",39.8005505,-105.0811573
"Asheville","North Carolina",FALSE,"Asheville, North Carolina",35.595363,-82.5508407
"Atlanta","Georgia",FALSE,"Atlanta, Georgia",33.7489924,-84.3902644
"Aurora","Colorado",FALSE,"Aurora, Colorado",39.7405111,-104.830994
"Austin","Texas",FALSE,"Austin, Texas",30.2711286,-97.7436995
"Avondale","Arizona",FALSE,"Avondale, Arizona",33.4355977,-112.349602
"Bakersfield","California",FALSE,"Bakersfield, California",35.3738712,-119.019463
"Baltimore","Maryland",FALSE,"Baltimore, Maryland",39.2908816,-76.610759
"Baltimore County","Maryland",TRUE,"Baltimore County, Maryland",39.4445243,-76.6483482
"Barnstable","Massachusetts",FALSE,"Barnstable, Massachusetts",41.7016936,-70.3036163
"Baton Rouge","Louisiana",FALSE,"Baton Rouge, Louisiana",30.4494155,-91.1869659
"Battle Creek","Michigan",FALSE,"Battle Creek, Michigan",42.3192548,-85.1824269
"Baytown","Texas",FALSE,"Baytown, Texas",29.7355047,-94.9774274
"Beaumont","Texas",FALSE,"Beaumont, Texas",30.0829344,-94.0984277
"Beaverton","Oregon",FALSE,"Beaverton, Oregon",45.4871723,-122.80378
"Bellevue","Nebraska",FALSE,"Bellevue, Nebraska",41.1365122,-95.8937398
"Bellingham","Washington",FALSE,"Bellingham, Washington",48.7544012,-122.478836
"Bend","Oregon",FALSE,"Bend, Oregon",44.0581728,-121.3153096
"Bensalem","Pennsylvania",FALSE,"Bensalem, Pennsylvania",40.1045549,-74.951279
"Bethlehem","Pennsylvania",FALSE,"Bethlehem, Pennsylvania",40.6178915,-75.3786521
"Bexar County","Texas",TRUE,"Bexar County, Texas",29.4263987,-98.5104781
"Bismarck","North Dakota",FALSE,"Bismarck, North Dakota",46.808327,-100.783739
"Blaine","Minnesota",FALSE,"Blaine, Minnesota",45.1607987,-93.2349489
"Bloomington","Minnesota",FALSE,"Bloomington, Minnesota",44.8322405,-93.3204872
"Blue Springs","Missouri",FALSE,"Blue Springs, Missouri",39.017316,-94.282265
"Boise","Idaho",FALSE,"Boise, Idaho",43.6166163,-116.200886
"Bolingbrook","Illinois",FALSE,"Bolingbrook, Illinois",41.7003302,-88.0717708
"Boston","Massachusetts",FALSE,"Boston, Massachusetts",42.3554334,-71.060511
"Boulder","Colorado",FALSE,"Boulder, Colorado",40.0149856,-105.270545
"Brazoria County","Texas",TRUE,"Brazoria County, Texas",29.18161,-95.4993375
"Bridgeport","Connecticut",FALSE,"Bridgeport, Connecticut",41.1792695,-73.1887863
"Bristol","Connecticut",FALSE,"Bristol, Connecticut",41.6735209,-72.9464859
"Brockton","Massachusetts",FALSE,"Brockton, Massachusetts",42.0834335,-71.0183787
"Brookline","Massachusetts",FALSE,"Brookline, Massachusetts",42.3329021,-71.1187421
"Brooklyn Park","Minnesota",FALSE,"Brooklyn Park, Minnesota",45.1004807,-93.3443585
"Broomfield","Colorado",FALSE,"Broomfield, Colorado",39.9403995,-105.05208
"Brownsville","Texas",FALSE,"Brownsville, Texas",25.9024289,-97.4981698
"Buckeye","Arizona",FALSE,"Buckeye, Arizona",33.3703197,-112.583776
"Buffalo","New York",FALSE,"Buffalo, New York",42.8867166,-78.8783922
"Burbank","California",FALSE,"Burbank, California",34.1812089,-118.307201
"Burleson","Texas",FALSE,"Burleson, Texas",30.4764878,-96.6353488
"Burnsville","Minnesota",FALSE,"Burnsville, Minnesota",44.7670567,-93.2773887
"Caguas","Puerto Rico",FALSE,"Caguas, Puerto Rico",18.2129421,-66.055884356262
"Caldwell","Idaho",FALSE,"Caldwell, Idaho",43.6678736,-116.689415
"Cambridge","Massachusetts",FALSE,"Cambridge, Massachusetts",42.3786343,-71.1317379902184
"Canton Township","Michigan",FALSE,"Canton Township, Michigan",42.3076547,-83.4868961
"Canton","Ohio",FALSE,"Canton, Ohio",40.7985464,-81.3749508
"Carlsbad","California",FALSE,"Carlsbad, California",33.1580933,-117.3505966
"Carolina","Puerto Rico",FALSE,"Carolina, Puerto Rico",18.36402775,-65.9526468608154
"Carrollton","Texas",FALSE,"Carrollton, Texas",32.9537349,-96.8902816
"Casa Grande","Arizona",FALSE,"Casa Grande, Arizona",32.8772834,-111.7536818
"Castle Rock","Colorado",FALSE,"Castle Rock, Colorado",39.3722552,-104.858682
"Cedar Park","Texas",FALSE,"Cedar Park, Texas",30.5217116,-97.827833
"Centennial","Colorado",FALSE,"Centennial, Colorado",39.579155,-104.8769227
"Champaign","Illinois",FALSE,"Champaign, Illinois",40.1164841,-88.2430932
"Chandler","Arizona",FALSE,"Chandler, Arizona",33.3062031,-111.841185
"Charlotte","North Carolina",FALSE,"Charlotte, North Carolina",35.2272086,-80.8430827
"Chattanooga","Tennessee",FALSE,"Chattanooga, Tennessee",35.0457219,-85.3094883
"Chesapeake","Virginia",FALSE,"Chesapeake, Virginia",36.7168315,-76.2494453
"Chesterfield County","Virginia",TRUE,"Chesterfield County, Virginia",37.3859982,-77.578509
"Cheyenne","Wyoming",FALSE,"Cheyenne, Wyoming",41.139981,-104.820246
"Chicago","Illinois",FALSE,"Chicago, Illinois",41.8755616,-87.6244212
"Chicopee","Massachusetts",FALSE,"Chicopee, Massachusetts",42.1487691,-72.6071119
"Chula Vista","California",FALSE,"Chula Vista, California",32.6400541,-117.084195
"Cicero","Illinois",FALSE,"Cicero, Illinois",41.8455398,-87.7540199
"Cincinnati","Ohio",FALSE,"Cincinnati, Ohio",39.1014537,-84.5124602
"Clackamas County","Oregon",TRUE,"Clackamas County, Oregon",45.1608821,-122.2305038
"Cleveland","Ohio",FALSE,"Cleveland, Ohio",41.4996574,-81.6936772
"Clinton Township","Michigan",FALSE,"Clinton Township, Michigan",42.05548745,-83.9478910567844
"Coeur D Alene","Idaho",FALSE,"Coeur D Alene, Idaho",47.6742994,-116.7811531
"Colerain Township","Ohio",FALSE,"Colerain Township, Ohio",39.2584995,-84.6329261679476
