"state","ori","name","type","pop","scraper","url","source_type","source_method","exclude","exclusion_reason","notes","last_reviewed","last_reviewed_by","clearance_url","clearance_source_type","clearance_source_method","clearance_exclude","clearance_exclusion_reason","clearance_notes","clearance_last_reviewed","clearance_last_reviewed_by"
"AR","AR0600200","Little Rock Police Department","City","204247","AR0600200","https://littlerock.gov/government/mayors-office/initiatives/crime-reduction-strategy/crime-stats/","Agency Aggregated","Open Source","No","N/A","","1/5/2026","KS","https://dps.arkansas.gov/crime-info-support/arkansas-crime-information-center/crime-statistics/","State UCR","Open Source","Yes","Not up to date","no data for 2024 on","5/1/2025","DH"
"AZ","AZ0030100","Flagstaff Police Department","City","76433","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0070100","Avondale Police Department","City","94911","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0070300","Buckeye Police Department","City","114513","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0070500","Chandler Police Department","City","281117","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0071100","Gilbert Police Department","City","277527","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0071300","Glendale Police Department","City","255512","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0071500","Goodyear Police Department","City","116892","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0071700","Mesa Police Department","City","513585","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
"AZ","AZ0072100","Peoria Police Department","City","201056","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source","No","N/A","","2/18/2025","KS","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx","State UCR","Open Source","No","N/A","Orion adapt scrapers","5/1/2025","DH"
