"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Population","pop23","Violent Crime","Property Crime","agency_num"
"1","Abilene, TX","Abilene",1,2,5,35,29,138,13,2024,3,"TX",125186,"128387",43,180,1
"2","Abington, PA","Abington",0,2,5,2,1,60,1,2022,2,"PA",58432,"58433",9,62,1
"3","Albany, GA","Albany",0,2,14,78,58,170,18,2019,2,"GA",68613,"66281",94,246,1
"4","Allen, TX","Allen",0,4,0,8,7,69,6,2018,2,"TX",108135,"114696",12,82,1
"5","Allentown, PA","Allentown",0,3,18,26,46,170,20,2017,2,"PA",125917,"124782",47,236,1
"6","Antioch, CA","Antioch",0,3,16,33,35,94,40,2021,12,"CA",114338,"115271",52,169,1
"7","Apple Valley, MN","Apple Valley",0,1,1,7,4,76,5,2023,3,"MN",55145,"54995",9,85,1
"8","Arlington Heights, IL","Arlington Heights",0,0,0,1,13,31,10,2024,3,"IL",74094,"74094",1,54,1
"9","Arlington, TX","Arlington",3,33,39,123,162,828,115,2017,5,"TX",391591,"394799",198,1105,1
"10","Arvada, CO","Arvada",0,2,4,13,42,203,45,2020,4,"CO",122403,"120200",19,290,1
"11","Asheville, NC","Asheville",1,NA,15,19,27,246,33,2018,5,"NC",93729,"93471",35,306,1
"12","Atlanta, GA","Atlanta",17,NA,114,261,171,1367,379,2020,10,"GA",495707,"500212",392,1917,1
"13","Aurora, CO","Aurora",2,28,81,181,154,716,498,2021,2,"CO",392134,"396976",292,1368,1
"14","Austin, TX","Austin",1,52,73,158,356,1906,150,2017,2,"TX",965234,"978816",284,2412,1
"15","Baltimore, MD","Baltimore",20,13,303,539,215,1252,548,2023,3,"MD",570546,"565192",875,2015,1
"16","Baytown, TX","Baytown",0,4,5,16,26,139,37,2019,3,"TX",81477,"83809",25,202,1
"17","Beaumont, TX","Beaumont",3,12,12,72,64,193,16,2024,3,"TX",110898,"110671",99,273,1
"18","Beaverton, OR","Beaverton",0,3,5,6,20,109,18,2017,1,"OR",98991,"96840",14,147,1
"19","Bellevue, NE","Bellevue",1,3,1,1,7,68,9,2019,12,"NE",63178,"62372",6,84,1
"20","Bellingham, WA","Bellingham",1,NA,16,NA,NA,293,62,2022,2,"WA",93014,"94968",17,355,1
