"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","agency_type_name","population","State_ref"
"1","Abilene, TX","Abilene",0,10,1,33,37,130,21,2024,1,"TX",44,188,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",125186,128387,NA,NA,"","Abilene","TX","South","West South Central","City",128387,"TX"
"2","Abington, PA","Abington",0,0,2,5,3,75,3,2024,1,"PA",7,81,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58432,58433,NA,NA,"","Abington Township, Montgomery County","PA","Northeast","Middle Atlantic","City",58433,"PA"
"3","Akron, OH","Akron",0,10,10,70,49,266,51,2024,1,"OH",90,366,"Akron","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",188534,187705,NA,NA,"","Akron","OH","Midwest","East North Central","City",187705,"OH"
"4","Albany, GA","Albany",2,2,16,44,103,192,10,2017,1,"GA",64,305,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",68613,66281,NA,NA,"","Albany","GA","South","South Atlantic","City",66281,"GA"
"5","Albuquerque, NM","Albuquerque",6,NA,NA,NA,NA,NA,NA,2017,1,"NM",6,0,"Albuquerque","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",NA,559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","Albuquerque","NM","West","Mountain","City",559094,"NM"
"6","Alexandria, VA","Alexandria",0,1,13,21,18,287,32,2024,1,"VA",35,337,"Alexandria","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",150957,153897,NA,NA,"","Alexandria","VA","South","South Atlantic","City",153897,"VA"
"7","Allen, TX","Allen",0,3,1,10,5,62,15,2024,1,"TX",14,82,"Allen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",108135,114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","Allen","TX","South","West South Central","City",114696,"TX"
"8","Allentown, PA","Allentown",0,1,4,13,9,153,17,2023,2,"PA",18,179,"Allentown","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",125917,124782,NA,NA,"","Allentown","PA","Northeast","Middle Atlantic","City",124782,"PA"
"9","Amarillo, TX","Amarillo",3,13,14,58,76,359,54,2024,1,"TX",88,489,"Amarillo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201572,201684,NA,NA,"","Amarillo","TX","South","West South Central","City",201684,"TX"
"10","Ann Arbor, MI","Ann Arbor",0,6,4,11,14,155,10,2024,1,"MI",21,179,"Ann Arbor","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,118072,NA,NA,"","Ann Arbor","MI","Midwest","East North Central","City",118072,"MI"
