"city_state","Agency_Type"
"Albemarle,VA","County"
"Alexandria,VA","City"
"Alhambra,CA","City"
"Ann Arbor,MI","City"
"Arlington,VA","County"
"Barnstable,MA","City"
"Baton Rouge,LA","City"
"Battle Creek,MI","City"
"Boston,MA","City"
"Brockton,MA","City"
"Brookline,MA","City"
"Cambridge,MA","City"
"Canton Township,MI","City"
"Chesapeake,VA","City"
"Chesterfield,VA","County"
"Chicopee,MA","City"
"Clinton Township,MI","City"
"Dearborn Heights,MI","City"
"Dearborn,MI","City"
"Everett,MA","City"
"Fairfax,VA","County"
"Fall River,MA","City"
"Farmington Hills,MI","City"
"Flint,MI","City"
"Fort Wayne,IN","City"
"Framingham,MA","City"
"Hamilton,TN","County"
"Hampton,VA","City"
"Hanover,VA","County"
"Harrisonburg,VA","City"
"Haverford,PA","City"
"Haverhill,MA","City"
"Henrico,VA","County"
"Kalamazoo,MI","City"
"Kalamazoo,MI","County"
"Kent,MI","County"
"Kentwood,MI","City"
"Knox,TN","County"
"Lansing,MI","City"
"Lawrence,MA","City"
"Livonia,MI","City"
"Loudoun,VA","County"
"Lowell,MA","City"
"Lynchburg,VA","City"
"Lynn,MA","City"
"Macomb,MI","County"
"Malden,MA","City"
"Medford,MA","City"
"Methuen,MA","City"
"Millcreek,PA","City"
"New Bedford,MA","City"
"Newport News,VA","City"
"Newton,MA","City"
"Norfolk,VA","City"
"Novi,MI","City"
"Ottawa,MI","County"
"Peabody,MA","City"
"Plymouth,MA","City"
"Portsmouth,VA","City"
"Prince William,VA","County"
"Quincy,MA","City"
"Revere,MA","City"
"Riverside,CA","City"
"Roanoke,VA","City"
"Royal Oak,MI","City"
"Rutherford,TN","County"
"San Bernardino,CA","City"
"Shelby Township,MI","City"
"Shelby,TN","County"
"Somerville,MA","City"
"Southfield,MI","City"
"Spotsylvania,VA","County"
"Springfield,MA","City"
"St. Clair Shores,MI","City"
"Stafford,VA","County"
"Sterling Heights,MI","City"
"Suffolk,VA","City"
"Taunton,MA","City"
"Taylor,MI","City"
"Troy,MI","City"
"Virginia Beach,VA","City"
"Waltham,MA","City"
"Warren,MI","City"
"Washtenaw,MI","County"
"Waterford Township,MI","City"
"West Bloomfield Township,MI","City"
"Westland,MI","City"
"Westminster,CA","City"
"Weymouth,MA","City"
"Worcester,MA","City"
"Wyoming,MI","City"
"Adams,CO","County"
"Akron,OH","City"
"Albany,OR","City"
"Arvada,CO","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Boise,ID","City"
"Boulder,CO","City"
"Caldwell,ID","City"
"Cranston,RI","City"
"Cuyahoga Falls,OH","City"
"Denton,TX","City"
"Fairfield,CT","City"
"Flagstaff,AZ","City"
"Gilbert,AZ","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Hartford,CT","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Loveland,CO","City"
"Meriden,CT","City"
"Middletown,OH","City"
"Midland,TX","City"
"Milford,CT","City"
"Mission,TX","City"
"Nampa,ID","City"
"Nashua,NH","City"
"New Haven,CT","City"
"Normal,IL","City"
"North Las Vegas,NV","City"
"North Richland Hills,TX","City"
"Norwalk,CT","City"
"Odessa,TX","City"
"Parma,OH","City"
"Peoria,AZ","City"
"Springfield,IL","City"
"St Charles,MO","County"
"St Louis,MO","County"
"State College,PA","City"
"Temple,TX","City"
"Toledo,OH","City"
"Westminster,CO","City"
"Wylie,TX","City"
"Kettering,OH","City"
"Youngstown,OH","City"
