"city_state","Agency_Type"
"Albany,OR","City"
"Alhambra,CA","City"
"Amarillo,TX","City"
"Anderson,IN","City"
"Barnstable,MA","City"
"Beaverton,OR","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Billings,MT","City"
"Bloomington,IN","City"
"Boise,ID","City"
"Boulder,CO","City"
"Bridgeport,CT","City"
"Brookhaven,GA","City"
"Brookline,MA","City"
"Cary,NC","City"
"Castle Rock,CO","City"
"Chesterfield,VA","County"
"Clackamas,OR","County"
"Cleveland,OH","City"
"Colonie Town,NY","City"
"Commerce City,CO","City"
"Concord,CA","City"
"Corpus Christi,TX","City"
"Corvallis,OR","City"
"Danbury,CT","City"
"Des Plaines,IL","City"
"East Baton Rouge,LA","County"
"El Dorado,CA","County"
"Enid,OK","City"
"Evansville,IN","City"
"Fall River,MA","City"
"Fayetteville,NC","City"
"Flagstaff,AZ","City"
"Florissant,MO","City"
"Fontana,CA","City"
"Fort Wayne,IN","City"
"Framingham,MA","City"
"Fremont,CA","City"
"Glendale,AZ","City"
"Grand Prairie,TX","City"
"Greeley,CO","City"
"Greensboro,NC","City"
"Greenwich,CT","City"
"Guilford,NC","County"
"Hamden,CT","City"
"Hamilton Township,NJ","City"
"Hamilton,OH","County"
"Hammond,IN","City"
"Harris,TX","County"
"Hartford,CT","City"
"Hempstead Village,NY","City"
"Henry,GA","County"
"Jeffersonville,IN","City"
"Jonesboro,AR","City"
"Kentwood,MI","City"
"Killeen,TX","City"
"Kokomo,IN","City"
"Lake Havasu City,AZ","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Lawrence,MA","City"
"Livermore,CA","City"
"Livingston,MI","County"
"Longmont,CO","City"
"Loveland,CO","City"
"Lowell,MA","City"
"Lubbock,TX","City"
"Malden,MA","City"
"Marana,AZ","City"
"Marietta,GA","City"
"Medford,MA","City"
"Meriden,CT","City"
"Milford,CT","City"
"Montgomery,TX","County"
"Mount Vernon,NY","City"
"Nampa,ID","City"
"Nashua,NH","City"
"Nassau,NY","County"
"New Britain,CT","City"
"New Haven,CT","City"
"Newark,OH","City"
"Newport News,VA","City"
"Newton,MA","City"
"Norfolk,VA","City"
"Norman,OK","City"
"North Las Vegas,NV","City"
"Norwalk,CT","City"
"Ottawa,MI","County"
"Owensboro,KY","City"
"Parker,CO","City"
"Parma,OH","City"
"Peabody,MA","City"
"Peoria,AZ","City"
"Pinal,AZ","County"
"Pittsfield,MA","City"
"Plymouth,MA","City"
"Prescott Valley,AZ","City"
"Providence,RI","City"
"Provo,UT","City"
"Pueblo,CO","City"
"Rapid City,SD","City"
"Redlands,CA","City"
"Reno,NV","City"
"Salem,OR","City"
"San Bernardino,CA","City"
"San Mateo,CA","County"
"Sandy,UT","City"
"Somerville,MA","City"
"South San Francisco,CA","City"
"Sparks,NV","City"
"Spotsylvania,VA","County"
"Springfield,MA","City"
"Springfield,OH","City"
"Springfield,OR","City"
"Stamford,CT","City"
"State College,PA","City"
"Stockton,CA","City"
"Stratford,CT","City"
"Suffolk,VA","City"
"Surprise,AZ","City"
"Temple,TX","City"
"Terre Haute,IN","City"
"Tinley Park,IL","City"
"Toledo,OH","City"
"Tracy,CA","City"
"Tulsa,OK","City"
"Union,NC","County"
"Warner Robins,GA","City"
"Warren,OH","County"
"Washoe,NV","County"
"Waterbury,CT","City"
"West Haven,CT","City"
"West Jordan,UT","City"
"Westminster,CA","City"
"Winston-Salem,NC","City"
"Worcester,MA","City"
"Wylie,TX","City"
"Yavapai,AZ","County"
"Youngstown,OH","City"
"Sunnyvale,CA","City"
"Eagan,MN","City"
"Lee's Summit,MO","City"
"St Charles,MO","County"
"Davidson,NC","County"
"Jacksonville,NC","City"
"Cuyahoga Falls,OH","City"
"Delaware,OH","County"
"Kettering,OH","City"
"Middletown,OH","City"
"Sioux Falls,SD","City"
"Mission,TX","City"
