"city_state","Agency_Type"
"Aguadilla,PR","City"
"Arecibo,PR","City"
"Baton Rouge,LA","City"
"Caguas,PR","City"
"Carolina,PR","City"
"Fremont,CA","City"
"Guaynabo,PR","City"
"Nashua,NH","City"
"Nassau,NY","County"
"Ponce,PR","City"
"San Bernardino,CA","City"
"San Juan,PR","City"
"St Joseph,IN","County"
"Toa Alta,PR","City"
"Toa Baja,PR","City"
"Trujillo Alto,PR","City"
"Vega Baja,PR","City"
"Albany,NY","City"
"Albany,OR","City"
"Anaheim,CA","City"
"Anderson,IN","City"
"Apex,NC","City"
"Barnstable,MA","City"
"Bartlett,TN","City"
"Beaufort,SC","County"
"Bexar,TX","County"
"Bloomington,IN","City"
"Boise,ID","City"
"Brookline,MA","City"
"Burlington,VT","City"
"Chattanooga,TN","City"
"Chesapeake,VA","City"
"Cicero,IL","City"
"Clackamas,OR","County"
"Clarksville,TN","City"
"Cleveland,OH","City"
"Corvallis,OR","City"
"Davis,CA","City"
"Des Moines,IA","City"
"Desoto,TX","City"
"East Baton Rouge,LA","County"
"Elizabeth,NJ","City"
"Elkhart,IN","City"
"Eugene,OR","City"
"Evanston,IL","City"
"Evansville,IN","City"
"Fairfax,VA","County"
"Flagstaff,AZ","City"
"Florissant,MO","City"
"Fontana,CA","City"
"Fort Smith,AR","City"
"Grand Forks,ND","City"
"Grapevine,TX","City"
"Great Falls,MT","City"
"Greeley,CO","City"
"Greensboro,NC","City"
"Greenwich,CT","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Hamilton,TN","County"
"Hammond,IN","City"
"Harris,TX","County"
"Haverford,PA","City"
"Hempstead Village,NY","City"
"Henry,GA","County"
"Horry,SC","County"
"Howard,MD","County"
"Jeffersonville,IN","City"
"Johnson City,TN","City"
"Joplin,MO","City"
"Kentwood,MI","City"
"Kyle,TX","City"
"Lakewood,CO","City"
"Lansing,MI","City"
"Livonia,MI","City"
"Longmont,CO","City"
"Marietta,GA","City"
"Medford,MA","City"
"Medford,OR","City"
"Meriden,CT","City"
"Middletown,OH","City"
"Midland,TX","City"
"Missouri City,TX","City"
"Montgomery,TX","County"
"Muncie,IN","City"
"Murfreesboro,TN","City"
"Nampa,ID","City"
"New Haven,CT","City"
"New Rochelle,NY","City"
"Normal,IL","City"
"Omaha,NE","City"
"Ottawa,MI","County"
"Parker,CO","City"
"Paterson,NJ","City"
"Peabody,MA","City"
"Peoria,AZ","City"
"Pflugerville,TX","City"
"Pocatello,ID","City"
"Portsmouth,VA","City"
"Prince William,VA","County"
"Provo,UT","City"
"Pueblo,CO","City"
"Reno,NV","City"
"Roanoke,VA","City"
"Roswell,GA","City"
"Salem,OR","City"
"Sandy,UT","City"
"Shelby,TN","County"
"Sioux City,IA","City"
"Spokane Valley,WA","City"
"Spotsylvania,VA","County"
"Springfield,MA","City"
"Springfield,MO","City"
"St Charles,MO","County"
"St. George,UT","City"
"St. Mary's,MD","County"
"Stratford,CT","City"
"Suffolk,VA","City"
"Surprise,AZ","City"
"Temple,TX","City"
"Terre Haute,IN","City"
"Toledo,OH","City"
"Tulsa,OK","City"
"Tustin,CA","City"
"Ventura,CA","City"
"Virginia Beach,VA","City"
"Washoe,NV","County"
"West Valley,UT","City"
"Westfield,IN","City"
"Winston-Salem,NC","City"
"Worcester,MA","City"
"Yakima,WA","City"
"Youngstown,OH","City"
"Novato,CA","City"
"Lowell,MA","City"
"Davidson,NC","County"
"Jacksonville,NC","City"
"Cuyahoga Falls,OH","City"
"Kettering,OH","City"
"Mission,TX","City"
