"city_state","Agency_Type"
"Alhambra,CA","City"
"Baton Rouge,LA","City"
"Fort Wayne,IN","City"
"Hamilton,TN","County"
"Knox,TN","County"
"Rutherford,TN","County"
"San Bernardino,CA","City"
"Shelby,TN","County"
"Westminster,CA","City"
"Adams,CO","County"
"Akron,OH","City"
"Albany,OR","City"
"Alexandria,VA","City"
"Arvada,CO","City"
"Barnstable,MA","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Boise,ID","City"
"Boulder,CO","City"
"Brookline,MA","City"
"Caldwell,ID","City"
"Clinton Township,MI","City"
"Cranston,RI","City"
"Cuyahoga Falls,OH","City"
"Denton,TX","City"
"Everett,MA","City"
"Fairfield,CT","City"
"Fall River,MA","City"
"Flagstaff,AZ","City"
"Framingham,MA","City"
"Gilbert,AZ","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Hartford,CT","City"
"Kalamazoo,MI","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Loudoun,VA","County"
"Loveland,CO","City"
"Lowell,MA","City"
"Medford,MA","City"
"Meriden,CT","City"
"Methuen,MA","City"
"Middletown,OH","City"
"Midland,TX","City"
"Milford,CT","City"
"Mission,TX","City"
"Nampa,ID","City"
"Nashua,NH","City"
"New Haven,CT","City"
"Newton,MA","City"
"Normal,IL","City"
"North Las Vegas,NV","City"
"North Richland Hills,TX","City"
"Norwalk,CT","City"
"Odessa,TX","City"
"Ottawa,MI","County"
"Parma,OH","City"
"Peabody,MA","City"
"Peoria,AZ","City"
"Plymouth,MA","City"
"Quincy,MA","City"
"Roanoke,VA","City"
"Springfield,IL","City"
"Springfield,MA","City"
"St Charles,MO","County"
"St Louis,MO","County"
"State College,PA","City"
"Temple,TX","City"
"Toledo,OH","City"
"Westminster,CO","City"
"Worcester,MA","City"
"Wylie,TX","City"
"Kettering,OH","City"
"Youngstown,OH","City"
