"city_state","Agency_Type"
"Adams, CO","County"
"Akron, OH","City"
"Albany, OR","City"
"Albuquerque, NM","City"
"Ann Arbor, MI","City"
"Arapahoe, CO","County"
"Arvada, CO","City"
"Aurora, CO","City"
"Bakersfield, CA","City"
"Barnstable, MA","City"
"Baton Rouge, LA","City"
"Battle Creek, MI","City"
"Beaverton, OR","City"
"Bend, OR","City"
"Boston, MA","City"
"Boulder, CO","City"
"Brockton, MA","City"
"Brookline, MA","City"
"Broomfield, CO","City"
"Cambridge, MA","City"
"Canton Township, MI","City"
"Canton, OH","City"
"Castle Rock, CO","City"
"Centennial, CO","City"
"Chicopee, MA","City"
"Cincinnati, OH","City"
"Clackamas, OR","County"
"Cleveland, OH","City"
"Clinton Township, MI","City"
"Colerain Township, OH","City"
"Colorado Springs, CO","City"
"Commerce City, CO","City"
"Corvallis, OR","City"
"Cuyahoga Falls, OH","City"
"Dayton, OH","City"
"Dearborn Heights, MI","City"
"Dearborn, MI","City"
"Denver, CO","City"
"Douglas, CO","County"
"Dublin, OH","City"
"El Paso, CO","County"
"Elyria, OH","City"
"Euclid, OH","City"
"Eugene, OR","City"
"Everett, MA","City"
"Fall River, MA","City"
"Farmington Hills, MI","City"
"Flint, MI","City"
"Fort Collins, CO","City"
"Fort Wayne, IN","City"
"Framingham, MA","City"
"Grand Junction, CO","City"
"Greeley, CO","City"
"Green Township, OH","City"
"Gresham, OR","City"
"Hamilton, OH","City"
"Hamilton, TN","County"
"Haverhill, MA","City"
"Hillsboro, OR","City"
"Jefferson, CO","County"
"Kalamazoo, MI","City"
"Kent, MI","County"
"Kentwood, MI","City"
"Kettering, OH","City"
"Knox, TN","County"
"Lakewood, CO","City"
"Lakewood, OH","City"
"Lansing, MI","City"
"Lawrence, MA","City"
"Livonia, MI","City"
"Longmont, CO","City"
"Lorain, OH","City"
"Loudoun, VA","County"
"Loveland, CO","City"
"Lowell, MA","City"
"Lynn, MA","City"
"Macomb, MI","County"
"Malden, MA","City"
"Manchester, NH","City"
"Medford, MA","City"
"Medford, OR","City"
"Methuen, MA","City"
"Middletown, OH","City"
"Milpitas, CA","City"
"Mount Vernon, NY","City"
"New Bedford, MA","City"
"Newark, NJ","City"
"Newark, OH","City"
"Newton, MA","City"
"Novi, MI","City"
"Ottawa, MI","County"
"Parker, CO","City"
"Parma, OH","City"
"Peabody, MA","City"
"Plymouth, MA","City"
"Pueblo, CO","City"
"Quincy, MA","City"
"Revere, MA","City"
"Royal Oak, MI","City"
"Rutherford, TN","County"
"Salem, OR","City"
"San Bernardino, CA","City"
"Shelby Township, MI","City"
"Shelby, TN","County"
"Somerville, MA","City"
"Southfield, MI","City"
"Spokane, WA","City"
"Springfield, MA","City"
"Springfield, OH","City"
"Springfield, OR","City"
"St. Clair Shores, MI","City"
"Sterling Heights, MI","City"
"Taunton, MA","City"
"Taylor, MI","City"
"Thornton, CO","City"
"Tigard, OR","City"
"Toledo, OH","City"
"Troy, MI","City"
"Waltham, MA","City"
"Warren, MI","City"
"Washington, OR","County"
"Washtenaw, MI","County"
"Waterford Township, MI","City"
"West Bloomfield Township, MI","City"
"West Chester Township, OH","City"
"Westland, MI","City"
"Westminster, CO","City"
"Weymouth, MA","City"
"Worcester, MA","City"
"Wyoming, MI","City"
"Youngstown, OH","City"
"Bexar, TX","County"
"Boise, ID","City"
"Des Plaines, IL","City"
"Fairfield, CT","City"
"Flagstaff, AZ","City"
"Florissant, MO","City"
"Hamden, CT","City"
"Leander, TX","City"
"Loudon, VA","County"
"Lubbock, TX","City"
"Maricopa, AZ","City"
"Meriden, CT","City"
"Milford, CT","City"
"Nampa, ID","City"
"New Haven, CT","City"
"Normal, IL","City"
"North Richland Hills, TX","City"
"Norwalk, CT","City"
"O'Fallon, MO","City"
"Peoria, AZ","City"
"Pinal, AZ","County"
"Prescott Valley, AZ","City"
"Rapid City, SD","City"
"St Louis, MO","City"
"Stamford, CT","City"
"Washoe, NV","County"
"York, PA","City"
