"city_state","Agency_Type"
"Abilene,TX","City"
"Abington,PA","City"
"Ada,ID","County"
"Adams,CO","County"
"Aiken,SC","County"
"Akron,OH","City"
"Alameda,CA","City"
"Alameda,CA","County"
"Albany,GA","City"
"Albany,NY","City"
"Albany,OR","City"
"Albemarle,VA","County"
"Albuquerque,NM","City"
"Alexandria,VA","City"
"Alhambra,CA","City"
"Aliso Viejo,CA","City"
"Allen,TX","City"
"Allentown,PA","City"
"Alpharetta,GA","City"
"Amarillo,TX","City"
"Ames,IA","City"
"Anaheim,CA","City"
"Anderson,IN","City"
"Ankeny,IA","City"
"Ann Arbor,MI","City"
"Antioch,CA","City"
"Apex,NC","City"
"Apple Valley,MN","City"
"Appleton,WI","City"
"Arapahoe,CO","County"
"Arcadia,CA","City"
"Arlington Heights,IL","City"
"Arlington,TX","City"
"Arlington,VA","County"
"Arvada,CO","City"
"Asheville,NC","City"
"Atlanta,GA","City"
"Aurora,CO","City"
"Austin,TX","City"
"Avondale,AZ","City"
"Bakersfield,CA","City"
"Baldwin Park,CA","City"
"Baltimore,MD","City"
"Baltimore,MD","County"
"Barnstable,MA","City"
"Bartlett,TN","City"
"Baton Rouge,LA","City"
"Battle Creek,MI","City"
"Baytown,TX","City"
"Beaufort,SC","County"
"Beaumont,CA","City"
"Beaumont,TX","City"
"Beaverton,OR","City"
"Bellevue,NE","City"
"Bellingham,WA","City"
"Bend,OR","City"
"Bensalem,PA","City"
"Bentonville,AR","City"
"Berkeley,CA","City"
"Berkeley,SC","County"
"Bethlehem,PA","City"
"Bexar,TX","County"
"Birmingham,AL","City"
"Bismarck,ND","City"
"Blaine,MN","City"
"Bloomfield,NJ","City"
"Bloomington,IN","City"
"Bloomington,MN","City"
"Blue Springs,MO","City"
"Boise,ID","City"
"Bolingbrook,IL","City"
"Boone,KY","County"
"Bossier City,LA","City"
"Boston,MA","City"
"Boulder,CO","City"
"Bowie,MD","City"
"Bowling Green,KY","City"
"Bozeman,MT","City"
"Brazoria,TX","County"
"Brentwood,CA","City"
"Bridgeport,CT","City"
"Bristol,CT","City"
"Brockton,MA","City"
"Broken Arrow,OK","City"
"Brookhaven,GA","City"
"Brookline,MA","City"
"Brooklyn Park,MN","City"
"Broomfield,CO","City"
"Brownsville,TX","City"
"Buckeye,AZ","City"
"Buena Park,CA","City"
"Buffalo,NY","City"
"Buncombe,NC","County"
"Burbank,CA","City"
"Burleson,TX","City"
"Burlington,NC","City"
"Burlington,VT","City"
"Burnsville,MN","City"
"Caldwell,ID","City"
"Camarillo,CA","City"
