"city_state","Agency_Type"
"Albany,GA","City"
"Anderson,IN","City"
"Bloomington,IN","City"
"Concord,CA","City"
"Elkhart,IN","City"
"Evansville,IN","City"
"Fishers,IN","City"
"Fort Wayne,IN","City"
"Fremont,CA","City"
"Grand Rapids,MI","City"
"Hammond,IN","City"
"Jeffersonville,IN","City"
"Kokomo,IN","City"
"Little Rock,AR","City"
"Milpitas,CA","City"
"Muncie,IN","City"
"Nashua,NH","City"
"Nassau,NY","County"
"Noblesville,IN","City"
"Norman,OK","City"
"North Bergen Township,NJ","City"
"San Bernardino,CA","City"
"St Joseph,IN","County"
"Terre Haute,IN","City"
"Washington,MD","County"
"Washoe,NV","County"
"Westfield,IN","City"
"Abilene,TX","City"
"Adams,CO","County"
"Albany,OR","City"
"Apex,NC","City"
"Appleton,WI","City"
"Arapahoe,CO","County"
"Barnstable,MA","City"
"Baton Rouge,LA","City"
"Bend,OR","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Boise,ID","City"
"Brookline,MA","City"
"Caldwell,ID","City"
"Centennial,CO","City"
"Clackamas,OR","County"
"Cleveland,OH","City"
"Clinton Township,MI","City"
"Corvallis,OR","City"
"Council Bluffs,IA","City"
"Davidson,NC","County"
"Des Plaines,IL","City"
"Evanston,IL","City"
"Fairfax,VA","County"
"Fall River,MA","City"
"Flagstaff,AZ","City"
"Flint,MI","City"
"Florissant,MO","City"
"Framingham,MA","City"
"Green Bay,WI","City"
"Greenwich,CT","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Hamilton,TN","County"
"Harris,TX","County"
"Jacksonville,NC","City"
"Janesville,WI","City"
"Kalamazoo,MI","City"
"Kalamazoo,MI","County"
"Kenosha,WI","City"
"Kentwood,MI","City"
"Kettering,OH","City"
"La Crosse,WI","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Lansing,MI","City"
"Lawrence,MA","City"
"Longmont,CO","City"
"Lowell,MA","City"
"Lubbock,TX","City"
"Lynn,MA","City"
"Macomb,MI","County"
"Madison,WI","City"
"Maricopa,AZ","City"
"Medford,OR","City"
"Meriden,CT","City"
"Mesquite,TX","City"
"Methuen,MA","City"
"Milwaukee,WI","City"
"Mission,TX","City"
"Nampa,ID","City"
"New Haven,CT","City"
"Normal,IL","City"
"Norwalk,CT","City"
"Oshkosh,WI","City"
"Ottawa,MI","County"
"Parma,OH","City"
"Pasadena,TX","City"
"Peabody,MA","City"
"Peoria,AZ","City"
"Pinal,AZ","County"
"Provo,UT","City"
"Pueblo,CO","City"
"Racine,WI","City"
"Rapid City,SD","City"
"Rochester,MN","City"
"Rocky Mount,NC","City"
"Sandy,UT","City"
"Springfield,MA","City"
"Springfield,MO","City"
"Springfield,OR","City"
"St Charles,MO","County"
"St George,UT","City"
"Temple,TX","City"
"Texas City,TX","City"
"Toledo,OH","City"
"Union,NC","County"
"West Allis,WI","City"
"Westminster,CO","City"
"Worcester,MA","City"
"Youngstown,OH","City"
"Burbank,CA","City"
"Malden,MA","City"
"Somerville,MA","City"
"Cuyahoga Falls,OH","City"
"Midland,TX","City"
