"city_state","Agency_Type"
"Ames,IA","City"
"Anderson,IN","City"
"Ankeny,IA","City"
"Bloomington,IN","City"
"Burbank,CA","City"
"Carmel,IN","City"
"Cedar Rapids,IA","City"
"Council Bluffs,IA","City"
"Cranston,RI","City"
"Davenport,IA","City"
"Des Moines,IA","City"
"Dubuque,IA","City"
"Elkhart,IN","City"
"Evansville,IN","City"
"Fishers,IN","City"
"Fremont,CA","City"
"Greenwood,IN","City"
"Hammond,IN","City"
"Iowa City,IA","City"
"Jeffersonville,IN","City"
"Kokomo,IN","City"
"Lexington,KY","City"
"Muncie,IN","City"
"Nashua,NH","City"
"Newark,NJ","City"
"Noblesville,IN","City"
"Norman,OK","City"
"Pawtucket,RI","City"
"Providence,RI","City"
"San Bernardino,CA","City"
"Santa Monica,CA","City"
"Sarasota,FL","County"
"Sioux City,IA","City"
"St Joseph,IN","County"
"Terre Haute,IN","City"
"Vallejo,CA","City"
"Warwick,RI","City"
"Washington,MD","County"
"Waterloo,IA","City"
"West Des Moines,IA","City"
"Westfield,IN","City"
"Westminster,CA","City"
"Yakima,WA","City"
"Abilene,TX","City"
"Adams,CO","County"
"Albany,OR","City"
"Alexandria,VA","City"
"Apex,NC","City"
"Barnstable,MA","City"
"Baton Rouge,LA","City"
"Bend,OR","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Boise,ID","City"
"Brockton,MA","City"
"Brookline,MA","City"
"Caldwell,ID","City"
"Clackamas,OR","County"
"Cleveland,OH","City"
"Clinton Township,MI","City"
"Corvallis,OR","City"
"Davidson,NC","County"
"Des Plaines,IL","City"
"Everett,MA","City"
"Fall River,MA","City"
"Fayetteville,NC","City"
"Flagstaff,AZ","City"
"Flint,MI","City"
"Florissant,MO","City"
"Framingham,MA","City"
"Green Bay,WI","City"
"Greenwich,CT","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Hamilton,TN","County"
"Howard,MD","County"
"Jacksonville,NC","City"
"Janesville,WI","City"
"Kalamazoo,MI","City"
"Kalamazoo,MI","County"
"Kentwood,MI","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Lansing,MI","City"
"Lawrence,MA","City"
"Longmont,CO","City"
"Lowell,MA","City"
"Lubbock,TX","City"
"Lynn,MA","City"
"Macomb,MI","County"
"Madison,WI","City"
"Malden,MA","City"
"Manchester,CT","City"
"Medford,OR","City"
"Mesquite,TX","City"
"Methuen,MA","City"
"Midland,TX","City"
"Mission,TX","City"
"Nampa,ID","City"
"Nassau,NY","County"
"New Haven,CT","City"
"Newton,MA","City"
"Normal,IL","City"
"Norwalk,CT","City"
"Odessa,TX","City"
"Onslow,NC","County"
"Ottawa,MI","County"
"Peabody,MA","City"
"Peoria,AZ","City"
"Pinal,AZ","County"
"Pueblo,CO","City"
"Rochester,MN","City"
"Rocky Mount,NC","City"
"Sandy,UT","City"
"Somerville,MA","City"
"Springfield,MA","City"
"Springfield,MO","City"
"Springfield,OR","City"
"St Charles,MO","City"
"St Charles,MO","County"
"Sugar Land,TX","City"
"Taunton,MA","City"
"Temple,TX","City"
"Texas City,TX","City"
"Toledo,OH","City"
"Twin Falls,ID","City"
"Union,NC","County"
"West Allis,WI","City"
"West Chester Township,OH","City"
"Westminster,CO","City"
"Worcester,MA","City"
"Youngstown,OH","City"
"Cuyahoga Falls,OH","City"
"Kettering,OH","City"
