"city_state","Agency_Type"
"Baton Rouge,LA","City"
"Cheyenne,WY","City"
"Fremont,CA","City"
"Howard,MD","County"
"Nashua,NH","City"
"Nassau,NY","County"
"Norman,OK","City"
"Phoenix,AZ","City"
"Pittsfield,MA","City"
"Rapid City,SD","City"
"San Bernardino,CA","City"
"San Jose,CA","City"
"Santa Monica,CA","City"
"St Joseph,IN","County"
"Westminster,CA","City"
"Adams,CO","County"
"Albany,OR","City"
"Amarillo,TX","City"
"Anderson,IN","City"
"Apex,NC","City"
"Avondale,AZ","City"
"Barnstable,MA","City"
"Bartlett,TN","City"
"Beaufort,SC","County"
"Beaumont,CA","City"
"Beaverton,OR","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Bloomington,IN","City"
"Boise,ID","City"
"Boulder,CO","City"
"Brookhaven,GA","City"
"Brookline,MA","City"
"Caldwell,ID","City"
"Canton,OH","City"
"Chandler,AZ","City"
"Chesterfield,VA","County"
"Clarksville,TN","City"
"Collierville,TN","City"
"Corvallis,OR","City"
"Douglas,CO","County"
"Evanston,IL","City"
"Fairfax,VA","County"
"Fayetteville,NC","City"
"Flagstaff,AZ","City"
"Florissant,MO","City"
"Fort Collins,CO","City"
"Fort Smith,AR","City"
"Framingham,MA","City"
"Glendale,AZ","City"
"Greeley,CO","City"
"Greensboro,NC","City"
"Greenville,SC","City"
"Greenwich,CT","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Hammond,IN","City"
"Haverford,PA","City"
"Hempstead Village,NY","City"
"Henrico,VA","County"
"Henry,GA","County"
"Horry,SC","County"
"Idaho Falls,ID","City"
"Jeffersonville,IN","City"
"Jonesboro,AR","City"
"Kalamazoo,MI","City"
"Kentwood,MI","City"
"Kokomo,IN","City"
"Laguna Niguel,CA","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Lansing,MI","City"
"Longmont,CO","City"
"Lowell,MA","City"
"Manchester,CT","City"
"Marana,AZ","City"
"Maricopa,AZ","City"
"Marietta,GA","City"
"Medford,OR","City"
"Memphis,TN","City"
"Meriden,CT","City"
"Middletown,OH","City"
"Milford,CT","City"
"Mission Viejo,CA","City"
"Missoula,MT","City"
"Missouri City,TX","City"
"Mobile,AL","City"
"Montgomery,TX","County"
"Nampa,ID","City"
"New Haven,CT","City"
"New Rochelle,NY","City"
"Newton,MA","City"
"Norfolk,VA","City"
"Normal,IL","City"
"Novato,CA","City"
"O'Fallon,MO","City"
"Onslow,NC","County"
"Ottawa,MI","County"
"Parma,OH","City"
"Peabody,MA","City"
"Peoria,AZ","City"
"Plymouth,MA","City"
"Port Arthur,TX","City"
"Prince William,VA","County"
"Provo,UT","City"
"Pueblo,CO","City"
"Roanoke,VA","City"
"Rochester,MN","City"
"Rocky Mount,NC","City"
"Salem,OR","City"
"Sandy,UT","City"
"Santa Rosa,CA","City"
"Saratoga Springs,UT","City"
"Saratoga,NY","County"
"Scottsdale,AZ","City"
"Shelby,TN","County"
"Springfield,MA","City"
"Springfield,MO","City"
"St. George,UT","City"
"St. Mary's,MD","County"
"Stamford,CT","City"
"Surprise,AZ","City"
"Temple,TX","City"
"Terre Haute,IN","City"
"Toledo,OH","City"
"Tulare,CA","City"
"Tustin,CA","City"
"Union,NC","County"
"Vacaville,CA","City"
"Virginia Beach,VA","City"
"Wake Forest,NC","City"
"Warner Robins,GA","City"
"Washoe,NV","County"
"Winston-Salem,NC","City"
"Worcester,MA","City"
"Wylie,TX","City"
"Yakima,WA","City"
"Youngstown,OH","City"
"Muncie,IN","City"
"Jacksonville,NC","City"
"Cuyahoga Falls,OH","City"
"Kettering,OH","City"
"Springfield,OR","City"
"Midland,TX","City"
"Mission,TX","City"
"Davidson,NC","County"
