"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Abilene",NA,NA,NA,NA,NA,NA,NA,2025,4,"TX","Abilene,TX","City","Abilene,TX,City"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,4,"CO","Adams,CO","County","Adams,CO,County"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Albany,OR","City","Albany,OR,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,4,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,4,"NC","Apex,NC","City","Apex,NC,City"
"Arvada",NA,NA,NA,NA,NA,NA,NA,2025,4,"CO","Arvada,CO","City","Arvada,CO,City"
"Beaverton",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Beaverton,OR","City","Beaverton,OR,City"
"Bend",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Bend,OR","City","Bend,OR,City"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,4,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,4,"TX","Bexar,TX","County","Bexar,TX,County"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,4,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Cleveland",NA,NA,NA,NA,NA,NA,NA,2025,4,"OH","Cleveland,OH","City","Cleveland,OH,City"
"Corvallis",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Corvallis,OR","City","Corvallis,OR,City"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,4,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,4,"MO","Florissant,MO","City","Florissant,MO,City"
"Glendale",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","Glendale,AZ","City","Glendale,AZ,City"
"Greenwich",NA,NA,NA,NA,NA,NA,NA,2025,4,"CT","Greenwich,CT","City","Greenwich,CT,City"
