"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Abilene",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Abilene,TX","City","Abilene,TX,City"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,8,"CO","Adams,CO","County","Adams,CO,County"
"Akron",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Akron,OH","City","Akron,OH,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Albany,NY","City","Albany,NY,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,8,"OR","Albany,OR","City","Albany,OR,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,8,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Anderson,IN","City","Anderson,IN,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Apex,NC","City","Apex,NC,City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Beaufort",NA,NA,NA,NA,NA,NA,NA,2025,8,"SC","Beaufort,SC","County","Beaufort,SC,County"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,8,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Berkeley",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","Berkeley,CA","City","Berkeley,CA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Bexar,TX","County","Bexar,TX,County"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Boise",NA,NA,NA,NA,NA,NA,NA,2025,8,"ID","Boise,ID","City","Boise,ID,City"
"Bossier City",NA,NA,NA,NA,NA,NA,NA,2025,8,"LA","Bossier City,LA","City","Bossier City,LA,City"
"Bowling Green",NA,NA,NA,NA,NA,NA,NA,2025,8,"KY","Bowling Green,KY","City","Bowling Green,KY,City"
"Bridgeport",NA,NA,NA,NA,NA,NA,NA,2025,8,"CT","Bridgeport,CT","City","Bridgeport,CT,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Brookline,MA","City","Brookline,MA,City"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,8,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Casa Grande",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Casa Grande,AZ","City","Casa Grande,AZ,City"
"Chapel Hill",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Chapel Hill,NC","City","Chapel Hill,NC,City"
"Cleveland",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Cleveland,OH","City","Cleveland,OH,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Colonie Town",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Colonie Town,NY","City","Colonie Town,NY,City"
"Corvallis",NA,NA,NA,NA,NA,NA,NA,2025,8,"OR","Corvallis,OR","City","Corvallis,OR,City"
"Daly City",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","Daly City,CA","City","Daly City,CA,City"
"Danbury",NA,NA,NA,NA,NA,NA,NA,2025,8,"CT","Danbury,CT","City","Danbury,CT,City"
"Davidson",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Davidson,NC","County","Davidson,NC,County"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,8,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Dublin",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Dublin,OH","City","Dublin,OH,City"
"Durham",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Durham,NC","City","Durham,NC,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Evanston",NA,NA,NA,NA,NA,NA,NA,2025,8,"IL","Evanston,IL","City","Evanston,IL,City"
"Evansville",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Evansville,IN","City","Evansville,IN,City"
"Fairfax",NA,NA,NA,NA,NA,NA,NA,2025,8,"VA","Fairfax,VA","County","Fairfax,VA,County"
"Fall River",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Fall River,MA","City","Fall River,MA,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,8,"MO","Florissant,MO","City","Florissant,MO,City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Framingham,MA","City","Framingham,MA,City"
"Glendale",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Glendale,AZ","City","Glendale,AZ,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,8,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Hamilton,OH","City","Hamilton,OH,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Hammond,IN","City","Hammond,IN,City"
"Haverford",NA,NA,NA,NA,NA,NA,NA,2025,8,"PA","Haverford,PA","City","Haverford,PA,City"
"Hempstead Village",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Hempstead Village,NY","City","Hempstead Village,NY,City"
"Jacksonville",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Jacksonville,NC","City","Jacksonville,NC,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jonesboro",NA,NA,NA,NA,NA,NA,NA,2025,8,"AR","Jonesboro,AR","City","Jonesboro,AR,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Kalamazoo,MI","County","Kalamazoo,MI,County"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,8,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Lakewood,OH","City","Lakewood,OH,City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Lansing,MI","City","Lansing,MI,City"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2025,8,"CO","Longmont,CO","City","Longmont,CO,City"
"Loudoun",NA,NA,NA,NA,NA,NA,NA,2025,8,"VA","Loudoun,VA","County","Loudoun,VA,County"
"Loveland",NA,NA,NA,NA,NA,NA,NA,2025,8,"CO","Loveland,CO","City","Loveland,CO,City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Lowell,MA","City","Lowell,MA,City"
"Lubbock",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Lubbock,TX","City","Lubbock,TX,City"
"Macomb",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Macomb,MI","County","Macomb,MI,County"
"Manchester",NA,NA,NA,NA,NA,NA,NA,2025,8,"CT","Manchester,CT","City","Manchester,CT,City"
"Marietta",NA,NA,NA,NA,NA,NA,NA,2025,8,"GA","Marietta,GA","City","Marietta,GA,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Medford,MA","City","Medford,MA,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,8,"OR","Medford,OR","City","Medford,OR,City"
"Methuen",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Methuen,MA","City","Methuen,MA,City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Middletown,OH","City","Middletown,OH,City"
"Mooresville",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Mooresville,NC","City","Mooresville,NC,City"
"Mount Prospect",NA,NA,NA,NA,NA,NA,NA,2025,8,"IL","Mount Prospect,IL","City","Mount Prospect,IL,City"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2025,8,"CT","New Haven,CT","City","New Haven,CT,City"
"New Rochelle",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","New Rochelle,NY","City","New Rochelle,NY,City"
"Newark",NA,NA,NA,NA,NA,NA,NA,2025,8,"NJ","Newark,NJ","City","Newark,NJ,City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Newton,MA","City","Newton,MA,City"
"Normal",NA,NA,NA,NA,NA,NA,NA,2025,8,"IL","Normal,IL","City","Normal,IL,City"
"Norwalk",NA,NA,NA,NA,NA,NA,NA,2025,8,"CT","Norwalk,CT","City","Norwalk,CT,City"
"Onslow",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Onslow,NC","County","Onslow,NC,County"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Ottawa,MI","County","Ottawa,MI,County"
"Owensboro",NA,NA,NA,NA,NA,NA,NA,2025,8,"KY","Owensboro,KY","City","Owensboro,KY,City"
"Parma",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Parma,OH","City","Parma,OH,City"
"Pasadena",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Pasadena,TX","City","Pasadena,TX,City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Peabody,MA","City","Peabody,MA,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Plymouth,MA","City","Plymouth,MA,City"
"Prince William",NA,NA,NA,NA,NA,NA,NA,2025,8,"VA","Prince William,VA","County","Prince William,VA,County"
"Provo",NA,NA,NA,NA,NA,NA,NA,2025,8,"UT","Provo,UT","City","Provo,UT,City"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2025,8,"CO","Pueblo,CO","City","Pueblo,CO,City"
"Rapid City",NA,NA,NA,NA,NA,NA,NA,2025,8,"SD","Rapid City,SD","City","Rapid City,SD,City"
"Redmond",NA,NA,NA,NA,NA,NA,NA,2025,8,"WA","Redmond,WA","City","Redmond,WA,City"
"Rochester",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Rochester,MI","City","Rochester,MI,City"
"Rochester",NA,NA,NA,NA,NA,NA,NA,2025,8,"MN","Rochester,MN","City","Rochester,MN,City"
"Rocky Mount",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Rocky Mount,NC","City","Rocky Mount,NC,City"
"Sacramento",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","Sacramento,CA","County","Sacramento,CA,County"
"Salem",NA,NA,NA,NA,NA,NA,NA,2025,8,"OR","Salem,OR","City","Salem,OR,City"
"Sandy",NA,NA,NA,NA,NA,NA,NA,2025,8,"UT","Sandy,UT","City","Sandy,UT,City"
"Saratoga Springs",NA,NA,NA,NA,NA,NA,NA,2025,8,"UT","Saratoga Springs,UT","City","Saratoga Springs,UT,City"
"Saratoga",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Saratoga,NY","County","Saratoga,NY,County"
"Schenectady",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Schenectady,NY","City","Schenectady,NY,City"
"Spokane Valley",NA,NA,NA,NA,NA,NA,NA,2025,8,"WA","Spokane Valley,WA","City","Spokane Valley,WA,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Springfield,MA","City","Springfield,MA,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,8,"MO","Springfield,MO","City","Springfield,MO,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,8,"OR","Springfield,OR","City","Springfield,OR,City"
"St. Mary's",NA,NA,NA,NA,NA,NA,NA,2025,8,"MD","St. Mary's,MD","County","St. Mary's,MD,County"
"St. Paul",NA,NA,NA,NA,NA,NA,NA,2025,8,"MN","St. Paul,MN","City","St. Paul,MN,City"
"Stafford",NA,NA,NA,NA,NA,NA,NA,2025,8,"VA","Stafford,VA","County","Stafford,VA,County"
"Temple",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Temple,TX","City","Temple,TX,City"
"Terre Haute",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Terre Haute,IN","City","Terre Haute,IN,City"
"Texas City",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Texas City,TX","City","Texas City,TX,City"
"Toledo",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Toledo,OH","City","Toledo,OH,City"
"Union",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Union,NC","County","Union,NC,County"
"Utica",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Utica,NY","City","Utica,NY,City"
"West Chester Township",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","West Chester Township,OH","City","West Chester Township,OH,City"
"Westfield",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Westfield,IN","City","Westfield,IN,City"
"Winston-Salem",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Winston-Salem,NC","City","Winston-Salem,NC,City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","Worcester,MA","City","Worcester,MA,City"
"Yakima",NA,NA,NA,NA,NA,NA,NA,2025,8,"WA","Yakima,WA","City","Yakima,WA,City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Youngstown,OH","City","Youngstown,OH,City"
