"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,2,"CO","Adams,CO","County","Adams,CO,County"
"Akron",NA,NA,NA,NA,NA,NA,NA,2025,2,"OH","Akron,OH","City","Akron,OH,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,2,"OR","Albany,OR","City","Albany,OR,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,2,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Arvada",NA,NA,NA,NA,NA,NA,NA,2025,2,"CO","Arvada,CO","City","Arvada,CO,City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,2,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,2,"TX","Bexar,TX","County","Bexar,TX,County"
"Boise",NA,NA,NA,NA,NA,NA,NA,2025,2,"ID","Boise,ID","City","Boise,ID,City"
"Boulder",NA,NA,NA,NA,NA,NA,NA,2025,2,"CO","Boulder,CO","City","Boulder,CO,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Brookline,MA","City","Brookline,MA,City"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,2,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,2,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Cranston",NA,NA,NA,NA,NA,NA,NA,2025,2,"RI","Cranston,RI","City","Cranston,RI,City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2025,2,"OH","Cuyahoga Falls,OH","City","Cuyahoga Falls,OH,City"
"Denton",NA,NA,NA,NA,NA,NA,NA,2025,2,"TX","Denton,TX","City","Denton,TX,City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Everett,MA","City","Everett,MA,City"
"Fairfield",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Fairfield,CT","City","Fairfield,CT,City"
"Fall River",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Fall River,MA","City","Fall River,MA,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Framingham,MA","City","Framingham,MA,City"
"Gilbert",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Gilbert,AZ","City","Gilbert,AZ,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,2,"OH","Hamilton,OH","City","Hamilton,OH,City"
"Hartford",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Hartford,CT","City","Hartford,CT,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,2,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,2,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,2,"OH","Lakewood,OH","City","Lakewood,OH,City"
"Loudoun",NA,NA,NA,NA,NA,NA,NA,2025,2,"VA","Loudoun,VA","County","Loudoun,VA,County"
"Loveland",NA,NA,NA,NA,NA,NA,NA,2025,2,"CO","Loveland,CO","City","Loveland,CO,City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Lowell,MA","City","Lowell,MA,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Medford,MA","City","Medford,MA,City"
"Meriden",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Meriden,CT","City","Meriden,CT,City"
"Methuen",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Methuen,MA","City","Methuen,MA,City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2025,2,"OH","Middletown,OH","City","Middletown,OH,City"
"Midland",NA,NA,NA,NA,NA,NA,NA,2025,2,"TX","Midland,TX","City","Midland,TX,City"
