"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"SC0020000","Aiken",NA,NA,NA,NA,NA,NA,NA,2026,2,"SC","County","Aiken,SC","Aiken,SC,County","County"
"OH0770100","Akron",NA,NA,NA,NA,NA,NA,NA,2026,2,"OH","City","Akron,OH","Akron,OH,City","City"
"NY0010100","Albany",NA,NA,NA,NA,NA,NA,NA,2026,2,"NY","City","Albany,NY","Albany,NY,City","City"
"VA0020300","Albemarle",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","County","Albemarle,VA","Albemarle,VA,County","County"
"VA0990000","Alexandria",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Alexandria,VA","Alexandria,VA,City","City"
"CA0190100","Alhambra",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Alhambra,CA","Alhambra,CA,City","City"
"GA0600400","Alpharetta",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","City","Alpharetta,GA","Alpharetta,GA,City","City"
"TX1880100","Amarillo",NA,NA,NA,NA,NA,NA,NA,2026,2,"TX","City","Amarillo,TX","Amarillo,TX,City","City"
"IN0480200","Anderson",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Anderson,IN","Anderson,IN,City","City"
"CO0030000","Arapahoe",NA,NA,NA,NA,NA,NA,NA,2026,2,"CO","County","Arapahoe,CO","Arapahoe,CO,County","County"
"VA0070100","Arlington",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","County","Arlington,VA","Arlington,VA,County","County"
"MA0010100","Barnstable",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Barnstable,MA","Barnstable,MA,City","City"
"CA0330200","Beaumont",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Beaumont,CA","Beaumont,CA,City","City"
"NB0770100","Bellevue",NA,NA,NA,NA,NA,NA,NA,2026,2,"NE","City","Bellevue,NE","Bellevue,NE,City","City"
"AR0040100","Bentonville",NA,NA,NA,NA,NA,NA,NA,2026,2,"AR","City","Bentonville,AR","Bentonville,AR,City","City"
"CA0010300","Berkeley",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Berkeley,CA","Berkeley,CA,City","City"
"MT0560100","Billings",NA,NA,NA,NA,NA,NA,NA,2026,2,"MT","City","Billings,MT","Billings,MT,City","City"
