"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"PA0460100","Abington",NA,NA,NA,NA,NA,NA,NA,2026,1,"PA","City","Abington,PA","Abington,PA,City","City"
"NY0010100","Albany",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","City","Albany,NY","Albany,NY,City","City"
"OR0220100","Albany",NA,NA,NA,NA,NA,NA,NA,2026,1,"OR","City","Albany,OR","Albany,OR,City","City"
"VA0020300","Albemarle",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Albemarle,VA","Albemarle,VA,County","County"
"VA0990000","Alexandria",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","City","Alexandria,VA","Alexandria,VA,City","City"
"TX1880100","Amarillo",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","City","Amarillo,TX","Amarillo,TX,City","City"
"IN0480200","Anderson",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Anderson,IN","Anderson,IN,City","City"
"CO0030000","Arapahoe",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","County","Arapahoe,CO","Arapahoe,CO,County","County"
"VA0070100","Arlington",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Arlington,VA","Arlington,VA,County","County"
"MA0010100","Barnstable",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Barnstable,MA","Barnstable,MA,City","City"
"TN0790600","Bartlett",NA,NA,NA,NA,NA,NA,NA,2026,1,"TN","City","Bartlett,TN","Bartlett,TN,City","City"
"LA0170200","Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2026,1,"LA","City","Baton Rouge,LA","Baton Rouge,LA,City","City"
"NB0770100","Bellevue",NA,NA,NA,NA,NA,NA,NA,2026,1,"NE","City","Bellevue,NE","Bellevue,NE,City","City"
"PA0090100","Bensalem",NA,NA,NA,NA,NA,NA,NA,2026,1,"PA","City","Bensalem,PA","Bensalem,PA,City","City"
"TX0150000","Bexar",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","County","Bexar,TX","Bexar,TX,County","County"
"IN0530100","Bloomington",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Bloomington,IN","Bloomington,IN,City","City"
"ID0010100","Boise",NA,NA,NA,NA,NA,NA,NA,2026,1,"ID","City","Boise,ID","Boise,ID,City","City"
"KY0080000","Boone",NA,NA,NA,NA,NA,NA,NA,2026,1,"KY","County","Boone,KY","Boone,KY,County","County"
"CO0070100","Boulder",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","City","Boulder,CO","Boulder,CO,City","City"
"MD0174100","Bowie",NA,NA,NA,NA,NA,NA,NA,2026,1,"MD","City","Bowie,MD","Bowie,MD,City","City"
"KY1140100","Bowling Green",NA,NA,NA,NA,NA,NA,NA,2026,1,"KY","City","Bowling Green,KY","Bowling Green,KY,City","City"
"MT0160100","Bozeman",NA,NA,NA,NA,NA,NA,NA,2026,1,"MT","City","Bozeman,MT","Bozeman,MT,City","City"
"OK0720100","Broken Arrow",NA,NA,NA,NA,NA,NA,NA,2026,1,"OK","City","Broken Arrow,OK","Broken Arrow,OK,City","City"
"GA0447200","Brookhaven",NA,NA,NA,NA,NA,NA,NA,2026,1,"GA","City","Brookhaven,GA","Brookhaven,GA,City","City"
"MA0110400","Brookline",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Brookline,MA","Brookline,MA,City","City"
"AZ0070300","Buckeye",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Buckeye,AZ","Buckeye,AZ,City","City"
"ID0140100","Caldwell",NA,NA,NA,NA,NA,NA,NA,2026,1,"ID","City","Caldwell,ID","Caldwell,ID,City","City"
"MA0091100","Cambridge",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Cambridge,MA","Cambridge,MA,City","City"
"TX0310000","Cameron",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","County","Cameron,TX","Cameron,TX,County","County"
"MI8290800","Canton Township",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","City","Canton Township,MI","Canton Township,MI,City","City"
"OH0760400","Canton",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Canton,OH","Canton,OH,City","City"
"AZ0110100","Casa Grande",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Casa Grande,AZ","Casa Grande,AZ,City","City"
"CO0180100","Castle Rock",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","City","Castle Rock,CO","Castle Rock,CO,City","City"
"CO0031100","Centennial",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","City","Centennial,CO","Centennial,CO,City","City"
"VA0210100","Chesterfield",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Chesterfield,VA","Chesterfield,VA,County","County"
"WY0110100","Cheyenne",NA,NA,NA,NA,NA,NA,NA,2026,1,"WY","City","Cheyenne,WY","Cheyenne,WY,City","City"
"OHCLP0000","Cleveland",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Cleveland,OH","Cleveland,OH,City","City"
"MI5084900","Clinton Township",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","City","Clinton Township,MI","Clinton Township,MI,City","City"
"ID0280100","Coeur D Alene",NA,NA,NA,NA,NA,NA,NA,2026,1,"ID","City","Coeur D Alene,ID","Coeur D Alene,ID,City","City"
"NY0015300","Colonie Town",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","City","Colonie Town,NY","Colonie Town,NY,City","City"
"OHCOP0000","Columbus",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Columbus,OH","Columbus,OH,City","City"
"MN0020500","Coon Rapids",NA,NA,NA,NA,NA,NA,NA,2026,1,"MN","City","Coon Rapids,MN","Coon Rapids,MN,City","City"
"TX1780200","Corpus Christi",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","City","Corpus Christi,TX","Corpus Christi,TX,City","City"
"OR0020100","Corvallis",NA,NA,NA,NA,NA,NA,NA,2026,1,"OR","City","Corvallis,OR","Corvallis,OR,City","City"
"OH0770300","Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Cuyahoga Falls,OH","Cuyahoga Falls,OH,City","City"
"CA0410600","Daly City",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","Daly City,CA","Daly City,CA,City","City"
"CT0003400","Danbury",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Danbury,CT","Danbury,CT,City","City"
"NB0280000","Douglas",NA,NA,NA,NA,NA,NA,NA,2026,1,"NE","County","Douglas,NE","Douglas,NE,County","County"
"MN0690600","Duluth",NA,NA,NA,NA,NA,NA,NA,2026,1,"MN","City","Duluth,MN","Duluth,MN,City","City"
"CO0210000","El Paso",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","County","El Paso,CO","El Paso,CO,County","County"
"IN0200100","Elkhart",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Elkhart,IN","Elkhart,IN,City","City"
"OH0470400","Elyria",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Elyria,OH","Elyria,OH,City","City"
"OK0240100","Enid",NA,NA,NA,NA,NA,NA,NA,2026,1,"OK","City","Enid,OK","Enid,OK,City","City"
"OR0200200","Eugene",NA,NA,NA,NA,NA,NA,NA,2026,1,"OR","City","Eugene,OR","Eugene,OR,City","City"
"IL0163200","Evanston",NA,NA,NA,NA,NA,NA,NA,2026,1,"IL","City","Evanston,IL","Evanston,IL,City","City"
"IN0820100","Evansville",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Evansville,IN","Evansville,IN,City","City"
"MA0091700","Everett",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Everett,MA","Everett,MA,City","City"
"VA0290100","Fairfax",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Fairfax,VA","Fairfax,VA,County","County"
"MA0030800","Fall River",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Fall River,MA","Fall River,MA,City","City"
"NC0260100","Fayetteville",NA,NA,NA,NA,NA,NA,NA,2026,1,"NC","City","Fayetteville,NC","Fayetteville,NC,City","City"
"IN0290700","Fishers",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Fishers,IN","Fishers,IN,City","City"
"AZ0030100","Flagstaff",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Flagstaff,AZ","Flagstaff,AZ,City","City"
"AR0660100","Fort Smith",NA,NA,NA,NA,NA,NA,NA,2026,1,"AR","City","Fort Smith,AR","Fort Smith,AR,City","City"
"MA0091800","Framingham",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Framingham,MA","Framingham,MA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","Fremont,CA","Fremont,CA,City","City"
"AZ0071500","Goodyear",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Goodyear,AZ","Goodyear,AZ,City","City"
"ND0180100","Grand Forks",NA,NA,NA,NA,NA,NA,NA,2026,1,"ND","City","Grand Forks,ND","Grand Forks,ND,City","City"
"NB0400100","Grand Island",NA,NA,NA,NA,NA,NA,NA,2026,1,"NE","City","Grand Island,NE","Grand Island,NE,City","City"
"TX2201300","Grapevine",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","City","Grapevine,TX","Grapevine,TX,City","City"
"CO0620200","Greeley",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","City","Greeley,CO","Greeley,CO,City","City"
"NC0410200","Greensboro",NA,NA,NA,NA,NA,NA,NA,2026,1,"NC","City","Greensboro,NC","Greensboro,NC,City","City"
"NC0740300","Greenville",NA,NA,NA,NA,NA,NA,NA,2026,1,"NC","City","Greenville,NC","Greenville,NC,City","City"
"SC0230200","Greenville",NA,NA,NA,NA,NA,NA,NA,2026,1,"SC","City","Greenville,SC","Greenville,SC,City","City"
"CT0005700","Greenwich",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Greenwich,CT","Greenwich,CT,City","City"
"CT0006200","Hamden",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Hamden,CT","Hamden,CT,City","City"
"NJ0011200","Hamilton Township",NA,NA,NA,NA,NA,NA,NA,2026,1,"NJ","City","Hamilton Township,NJ","Hamilton Township,NJ,City","City"
"OH0310000","Hamilton",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","County","Hamilton,OH","Hamilton,OH,County","County"
"IN0450700","Hammond",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Hammond,IN","Hammond,IN,City","City"
"VA1110000","Hampton",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","City","Hampton,VA","Hampton,VA,City","City"
"VA0420000","Hanover",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Hanover,VA","Hanover,VA,County","County"
"PA0231400","Haverford",NA,NA,NA,NA,NA,NA,NA,2026,1,"PA","City","Haverford,PA","Haverford,PA,City","City"
"CA0010600","Hayward",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","Hayward,CA","Hayward,CA,City","City"
"NY0290600","Hempstead Village",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","City","Hempstead Village,NY","Hempstead Village,NY,City","City"
"NV0020300","Henderson",NA,NA,NA,NA,NA,NA,NA,2026,1,"NV","City","Henderson,NV","Henderson,NV,City","City"
"VA0430100","Henrico",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Henrico,VA","Henrico,VA,County","County"
"NJ0090500","Hoboken",NA,NA,NA,NA,NA,NA,NA,2026,1,"NJ","City","Hoboken,NJ","Hoboken,NJ,City","City"
"IN0494900","Indianapolis",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Indianapolis,IN","Indianapolis,IN,City","City"
"CA0302600","Irvine",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","Irvine,CA","Irvine,CA,City","City"
"NC0670100","Jacksonville",NA,NA,NA,NA,NA,NA,NA,2026,1,"NC","City","Jacksonville,NC","Jacksonville,NC,City","City"
"IN0100300","Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Jeffersonville,IN","Jeffersonville,IN,City","City"
"TN0900100","Johnson City",NA,NA,NA,NA,NA,NA,NA,2026,1,"TN","City","Johnson City,TN","Johnson City,TN,City","City"
"AR0160100","Jonesboro",NA,NA,NA,NA,NA,NA,NA,2026,1,"AR","City","Jonesboro,AR","Jonesboro,AR,City","City"
"MI3949900","Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","City","Kalamazoo,MI","Kalamazoo,MI,City","City"
"MI3913900","Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","County","Kalamazoo,MI","Kalamazoo,MI,County","County"
"MI4185000","Kentwood",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","City","Kentwood,MI","Kentwood,MI,City","City"
"OH0570500","Kettering",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Kettering,OH","Kettering,OH,City","City"
"TN0470000","Knox",NA,NA,NA,NA,NA,NA,NA,2026,1,"TN","County","Knox,TN","Knox,TN,County","County"
"IN0340100","Kokomo",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Kokomo,IN","Kokomo,IN,City","City"
"TX1050700","Kyle",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","City","Kyle,TX","Kyle,TX,City","City"
"AZ0080400","Lake Havasu City",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Lake Havasu City,AZ","Lake Havasu City,AZ,City","City"
"CO0300400","Lakewood",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","City","Lakewood,CO","Lakewood,CO,City","City"
"OH0182600","Lakewood",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Lakewood,OH","Lakewood,OH,City","City"
"MI3351900","Lansing",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","City","Lansing,MI","Lansing,MI,City","City"
"KY0340200","Lexington",NA,NA,NA,NA,NA,NA,NA,2026,1,"KY","City","Lexington,KY","Lexington,KY,City","City"
"MI4714700","Livingston",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","County","Livingston,MI","Livingston,MI,County","County"
"CO0070400","Longmont",NA,NA,NA,NA,NA,NA,NA,2026,1,"CO","City","Longmont,CO","Longmont,CO,City","City"
"OH0470500","Lorain",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Lorain,OH","Lorain,OH,City","City"
"VA0530000","Loudoun",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Loudoun,VA","Loudoun,VA,County","County"
"MA0092600","Lowell",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Lowell,MA","Lowell,MA,City","City"
"PA0461400","Lower Merion",NA,NA,NA,NA,NA,NA,NA,2026,1,"PA","City","Lower Merion,PA","Lower Merion,PA,City","City"
"PA0220400","Lower Paxton",NA,NA,NA,NA,NA,NA,NA,2026,1,"PA","City","Lower Paxton,PA","Lower Paxton,PA,City","City"
"VA1140000","Lynchburg",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","City","Lynchburg,VA","Lynchburg,VA,City","City"
"MI5015000","Macomb",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","County","Macomb,MI","Macomb,MI,County","County"
"MA0092700","Malden",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Malden,MA","Malden,MA,City","City"
"CT0007700","Manchester",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Manchester,CT","Manchester,CT,City","City"
"MN0272700","Maple Grove",NA,NA,NA,NA,NA,NA,NA,2026,1,"MN","City","Maple Grove,MN","Maple Grove,MN,City","City"
"AZ0100900","Marana",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Marana,AZ","Marana,AZ,City","City"
"GA0330300","Marietta",NA,NA,NA,NA,NA,NA,NA,2026,1,"GA","City","Marietta,GA","Marietta,GA,City","City"
"MA0093000","Medford",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Medford,MA","Medford,MA,City","City"
"CT0008000","Meriden",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Meriden,CT","Meriden,CT,City","City"
"FL0130600","Miami",NA,NA,NA,NA,NA,NA,NA,2026,1,"FL","City","Miami,FL","Miami,FL,City","City"
"OH0090300","Middletown",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Middletown,OH","Middletown,OH,City","City"
"CT0008400","Milford",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Milford,CT","Milford,CT,City","City"
"PA0250300","Millcreek",NA,NA,NA,NA,NA,NA,NA,2026,1,"PA","City","Millcreek,PA","Millcreek,PA,City","City"
"OK0140100","Moore",NA,NA,NA,NA,NA,NA,NA,2026,1,"OK","City","Moore,OK","Moore,OK,City","City"
"NY0590300","Mount Vernon",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","City","Mount Vernon,NY","Mount Vernon,NY,City","City"
"ID0140200","Nampa",NA,NA,NA,NA,NA,NA,NA,2026,1,"ID","City","Nampa,ID","Nampa,ID,City","City"
"NH0064600","Nashua",NA,NA,NA,NA,NA,NA,NA,2026,1,"NH","City","Nashua,NH","Nashua,NH,City","City"
"NY0290000","Nassau",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","County","Nassau,NY","Nassau,NY,County","County"
"CT0008900","New Britain",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","New Britain,CT","New Britain,CT,City","City"
"CT0009300","New Haven",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","New Haven,CT","New Haven,CT,City","City"
"NY0590400","New Rochelle",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","City","New Rochelle,NY","New Rochelle,NY,City","City"
"OH0450100","Newark",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Newark,OH","Newark,OH,City","City"
"VA1160000","Newport News",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","City","Newport News,VA","Newport News,VA,City","City"
"MA0093300","Newton",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Newton,MA","Newton,MA,City","City"
"VA1170000","Norfolk",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","City","Norfolk,VA","Norfolk,VA,City","City"
"IL0570200","Normal",NA,NA,NA,NA,NA,NA,NA,2026,1,"IL","City","Normal,IL","Normal,IL,City","City"
"OK0140200","Norman",NA,NA,NA,NA,NA,NA,NA,2026,1,"OK","City","Norman,OK","Norman,OK,City","City"
"NJ0090800","North Bergen Township",NA,NA,NA,NA,NA,NA,NA,2026,1,"NJ","City","North Bergen Township,NJ","North Bergen Township,NJ,City","City"
"NV0020200","North Las Vegas",NA,NA,NA,NA,NA,NA,NA,2026,1,"NV","City","North Las Vegas,NV","North Las Vegas,NV,City","City"
"CT0010300","Norwalk",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Norwalk,CT","Norwalk,CT,City","City"
"MI7017000","Ottawa",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","County","Ottawa,MI","Ottawa,MI,County","County"
"KY0300100","Owensboro",NA,NA,NA,NA,NA,NA,NA,2026,1,"KY","City","Owensboro,KY","Owensboro,KY,City","City"
"CA0560400","Oxnard",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","Oxnard,CA","Oxnard,CA,City","City"
"OH0184200","Parma",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Parma,OH","Parma,OH,City","City"
"NJ0160800","Paterson",NA,NA,NA,NA,NA,NA,NA,2026,1,"NJ","City","Paterson,NJ","Paterson,NJ,City","City"
"GA1100000","Paulding",NA,NA,NA,NA,NA,NA,NA,2026,1,"GA","County","Paulding,GA","Paulding,GA,County","County"
"MA0052500","Peabody",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Peabody,MA","Peabody,MA,City","City"
