"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Abilene",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Abilene,TX","City","Abilene,TX,City"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,7,"CO","Adams,CO","County","Adams,CO,County"
"Akron",NA,NA,NA,NA,NA,NA,NA,2025,7,"OH","Akron,OH","City","Akron,OH,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Albany,OR","City","Albany,OR,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Alpharetta",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Alpharetta,GA","City","Alpharetta,GA,City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Anderson,IN","City","Anderson,IN,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,7,"NC","Apex,NC","City","Apex,NC,City"
"Appleton",NA,NA,NA,NA,NA,NA,NA,2025,7,"WI","Appleton,WI","City","Appleton,WI,City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Beaufort",NA,NA,NA,NA,NA,NA,NA,2025,7,"SC","Beaufort,SC","County","Beaufort,SC,County"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,7,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Bethlehem",NA,NA,NA,NA,NA,NA,NA,2025,7,"PA","Bethlehem,PA","City","Bethlehem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Bexar,TX","County","Bexar,TX,County"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Boise",NA,NA,NA,NA,NA,NA,NA,2025,7,"ID","Boise,ID","City","Boise,ID,City"
"Bozeman",NA,NA,NA,NA,NA,NA,NA,2025,7,"MT","Bozeman,MT","City","Bozeman,MT,City"
"Brookhaven",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Brookhaven,GA","City","Brookhaven,GA,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Brookline,MA","City","Brookline,MA,City"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,7,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Chandler",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Chandler,AZ","City","Chandler,AZ,City"
"Cicero",NA,NA,NA,NA,NA,NA,NA,2025,7,"IL","Cicero,IL","City","Cicero,IL,City"
"Clackamas",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Clackamas,OR","County","Clackamas,OR,County"
"Clarksville",NA,NA,NA,NA,NA,NA,NA,2025,7,"TN","Clarksville,TN","City","Clarksville,TN,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Colonie Town",NA,NA,NA,NA,NA,NA,NA,2025,7,"NY","Colonie Town,NY","City","Colonie Town,NY,City"
"Corvallis",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Corvallis,OR","City","Corvallis,OR,City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2025,7,"OH","Cuyahoga Falls,OH","City","Cuyahoga Falls,OH,City"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,7,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Evanston",NA,NA,NA,NA,NA,NA,NA,2025,7,"IL","Evanston,IL","City","Evanston,IL,City"
"Evansville",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Evansville,IN","City","Evansville,IN,City"
"Fairfax",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Fairfax,VA","County","Fairfax,VA,County"
"Fall River",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Fall River,MA","City","Fall River,MA,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,7,"MO","Florissant,MO","City","Florissant,MO,City"
"Forsyth",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Forsyth,GA","County","Forsyth,GA,County"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Framingham,MA","City","Framingham,MA,City"
"Glendale",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Glendale,AZ","City","Glendale,AZ,City"
"Greenwich",NA,NA,NA,NA,NA,NA,NA,2025,7,"CT","Greenwich,CT","City","Greenwich,CT,City"
"Gresham",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Gresham,OR","City","Gresham,OR,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,7,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,7,"OH","Hamilton,OH","City","Hamilton,OH,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Hammond,IN","City","Hammond,IN,City"
"Haverford",NA,NA,NA,NA,NA,NA,NA,2025,7,"PA","Haverford,PA","City","Haverford,PA,City"
"Henrico",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Henrico,VA","County","Henrico,VA,County"
"Henry",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Henry,GA","County","Henry,GA,County"
"Jacksonville",NA,NA,NA,NA,NA,NA,NA,2025,7,"NC","Jacksonville,NC","City","Jacksonville,NC,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Johns Creek",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Johns Creek,GA","City","Johns Creek,GA,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Kalamazoo,MI","County","Kalamazoo,MI,County"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2025,7,"OH","Kettering,OH","City","Kettering,OH,City"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,7,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,7,"OH","Lakewood,OH","City","Lakewood,OH,City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Lansing,MI","City","Lansing,MI,City"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2025,7,"CO","Longmont,CO","City","Longmont,CO,City"
"Loudoun",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Loudoun,VA","County","Loudoun,VA,County"
"Loveland",NA,NA,NA,NA,NA,NA,NA,2025,7,"CO","Loveland,CO","City","Loveland,CO,City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Lowell,MA","City","Lowell,MA,City"
"Lubbock",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Lubbock,TX","City","Lubbock,TX,City"
"Macomb",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Macomb,MI","County","Macomb,MI,County"
"Madison",NA,NA,NA,NA,NA,NA,NA,2025,7,"WI","Madison,WI","City","Madison,WI,City"
"Malden",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Malden,MA","City","Malden,MA,City"
"Marana",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Marana,AZ","City","Marana,AZ,City"
"Maricopa",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Maricopa,AZ","City","Maricopa,AZ,City"
"Marietta",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Marietta,GA","City","Marietta,GA,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Medford,MA","City","Medford,MA,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Medford,OR","City","Medford,OR,City"
"Mesquite",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Mesquite,TX","City","Mesquite,TX,City"
"Methuen",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Methuen,MA","City","Methuen,MA,City"
"Mission",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Mission,TX","City","Mission,TX,City"
"Mount Prospect",NA,NA,NA,NA,NA,NA,NA,2025,7,"IL","Mount Prospect,IL","City","Mount Prospect,IL,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Muncie,IN","City","Muncie,IN,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,7,"ID","Nampa,ID","City","Nampa,ID,City"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2025,7,"CT","New Haven,CT","City","New Haven,CT,City"
"Newport News",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Newport News,VA","City","Newport News,VA,City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Newton,MA","City","Newton,MA,City"
"Normal",NA,NA,NA,NA,NA,NA,NA,2025,7,"IL","Normal,IL","City","Normal,IL,City"
"North Las Vegas",NA,NA,NA,NA,NA,NA,NA,2025,7,"NV","North Las Vegas,NV","City","North Las Vegas,NV,City"
"Norwalk",NA,NA,NA,NA,NA,NA,NA,2025,7,"CT","Norwalk,CT","City","Norwalk,CT,City"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Ottawa,MI","County","Ottawa,MI,County"
"Pasadena",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Pasadena,TX","City","Pasadena,TX,City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Peabody,MA","City","Peabody,MA,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","Plymouth,MA","City","Plymouth,MA,City"
"Prince William",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Prince William,VA","County","Prince William,VA,County"
"Providence",NA,NA,NA,NA,NA,NA,NA,2025,7,"RI","Providence,RI","City","Providence,RI,City"
"Provo",NA,NA,NA,NA,NA,NA,NA,2025,7,"UT","Provo,UT","City","Provo,UT,City"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2025,7,"CO","Pueblo,CO","City","Pueblo,CO,City"
"Racine",NA,NA,NA,NA,NA,NA,NA,2025,7,"WI","Racine,WI","City","Racine,WI,City"
"Rapid City",NA,NA,NA,NA,NA,NA,NA,2025,7,"SD","Rapid City,SD","City","Rapid City,SD,City"
"Reno",NA,NA,NA,NA,NA,NA,NA,2025,7,"NV","Reno,NV","City","Reno,NV,City"
"Roanoke",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Roanoke,VA","City","Roanoke,VA,City"
"Rochester",NA,NA,NA,NA,NA,NA,NA,2025,7,"MN","Rochester,MN","City","Rochester,MN,City"
"Rocky Mount",NA,NA,NA,NA,NA,NA,NA,2025,7,"NC","Rocky Mount,NC","City","Rocky Mount,NC,City"
"Salem",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Salem,OR","City","Salem,OR,City"
"Sandy",NA,NA,NA,NA,NA,NA,NA,2025,7,"UT","Sandy,UT","City","Sandy,UT,City"
"Schenectady",NA,NA,NA,NA,NA,NA,NA,2025,7,"NY","Schenectady,NY","City","Schenectady,NY,City"
"Shreveport",NA,NA,NA,NA,NA,NA,NA,2025,7,"LA","Shreveport,LA","City","Shreveport,LA,City"
"Sparks",NA,NA,NA,NA,NA,NA,NA,2025,7,"NV","Sparks,NV","City","Sparks,NV,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,7,"IL","Springfield,IL","City","Springfield,IL,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,7,"MO","Springfield,MO","City","Springfield,MO,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Springfield,OR","City","Springfield,OR,City"
