"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Adams,CO","County","Adams,CO,County"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Albany,OR","City","Albany,OR,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,3,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,3,"NC","Apex,NC","City","Apex,NC,City"
"Arvada",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Arvada,CO","City","Arvada,CO,City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Beaverton",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Beaverton,OR","City","Beaverton,OR,City"
"Bend",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Bend,OR","City","Bend,OR,City"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,3,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Bexar,TX","County","Bexar,TX,County"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Brookline,MA","City","Brookline,MA,City"
"Canton",NA,NA,NA,NA,NA,NA,NA,2025,3,"OH","Canton,OH","City","Canton,OH,City"
"Cleveland",NA,NA,NA,NA,NA,NA,NA,2025,3,"OH","Cleveland,OH","City","Cleveland,OH,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Corvallis",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Corvallis,OR","City","Corvallis,OR,City"
"Cranston",NA,NA,NA,NA,NA,NA,NA,2025,3,"RI","Cranston,RI","City","Cranston,RI,City"
"Davidson",NA,NA,NA,NA,NA,NA,NA,2025,3,"NC","Davidson,NC","County","Davidson,NC,County"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,3,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Everett,MA","City","Everett,MA,City"
"Fall River",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Fall River,MA","City","Fall River,MA,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flint",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Flint,MI","City","Flint,MI,City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Framingham,MA","City","Framingham,MA,City"
"Fremont",NA,NA,NA,NA,NA,NA,NA,2025,3,"CA","Fremont,CA","City","Fremont,CA,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,3,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,3,"OH","Hamilton,OH","City","Hamilton,OH,City"
"Harris",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Harris,TX","County","Harris,TX,County"
"Jacksonville",NA,NA,NA,NA,NA,NA,NA,2025,3,"NC","Jacksonville,NC","City","Jacksonville,NC,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,3,"OH","Lakewood,OH","City","Lakewood,OH,City"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Longmont,CO","City","Longmont,CO,City"
"Loudoun",NA,NA,NA,NA,NA,NA,NA,2025,3,"VA","Loudoun,VA","County","Loudoun,VA,County"
"Loveland",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Loveland,CO","City","Loveland,CO,City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Lowell,MA","City","Lowell,MA,City"
"Lubbock",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Lubbock,TX","City","Lubbock,TX,City"
"Malden",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Malden,MA","City","Malden,MA,City"
"Mckinney",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Mckinney,TX","City","Mckinney,TX,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Medford,OR","City","Medford,OR,City"
"Meriden",NA,NA,NA,NA,NA,NA,NA,2025,3,"CT","Meriden,CT","City","Meriden,CT,City"
"Midland",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Midland,TX","City","Midland,TX,City"
"Milford",NA,NA,NA,NA,NA,NA,NA,2025,3,"CT","Milford,CT","City","Milford,CT,City"
"Mission",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Mission,TX","City","Mission,TX,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,3,"ID","Nampa,ID","City","Nampa,ID,City"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2025,3,"CT","New Haven,CT","City","New Haven,CT,City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Newton,MA","City","Newton,MA,City"
"North Las Vegas",NA,NA,NA,NA,NA,NA,NA,2025,3,"NV","North Las Vegas,NV","City","North Las Vegas,NV,City"
"North Richland Hills",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","North Richland Hills,TX","City","North Richland Hills,TX,City"
"Parma",NA,NA,NA,NA,NA,NA,NA,2025,3,"OH","Parma,OH","City","Parma,OH,City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Peabody,MA","City","Peabody,MA,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","Peoria,AZ","City","Peoria,AZ,City"
