"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Abilene",NA,NA,NA,NA,NA,NA,NA,2025,5,"TX","Abilene,TX","City","Abilene,TX,City"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,5,"CO","Adams,CO","County","Adams,CO,County"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,5,"OR","Albany,OR","City","Albany,OR,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,5,"NC","Apex,NC","City","Apex,NC,City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,5,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Bend",NA,NA,NA,NA,NA,NA,NA,2025,5,"OR","Bend,OR","City","Bend,OR,City"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,5,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,5,"TX","Bexar,TX","County","Bexar,TX,County"
"Boise",NA,NA,NA,NA,NA,NA,NA,2025,5,"ID","Boise,ID","City","Boise,ID,City"
"Bristol",NA,NA,NA,NA,NA,NA,NA,2025,5,"CT","Bristol,CT","City","Bristol,CT,City"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,5,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Clackamas",NA,NA,NA,NA,NA,NA,NA,2025,5,"OR","Clackamas,OR","County","Clackamas,OR,County"
"Corvallis",NA,NA,NA,NA,NA,NA,NA,2025,5,"OR","Corvallis,OR","City","Corvallis,OR,City"
"Davidson",NA,NA,NA,NA,NA,NA,NA,2025,5,"NC","Davidson,NC","County","Davidson,NC,County"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,5,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Fayetteville",NA,NA,NA,NA,NA,NA,NA,2025,5,"NC","Fayetteville,NC","City","Fayetteville,NC,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,5,"MO","Florissant,MO","City","Florissant,MO,City"
"Glendale",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Glendale,AZ","City","Glendale,AZ,City"
"Green Bay",NA,NA,NA,NA,NA,NA,NA,2025,5,"WI","Green Bay,WI","City","Green Bay,WI,City"
"Greenwich",NA,NA,NA,NA,NA,NA,NA,2025,5,"CT","Greenwich,CT","City","Greenwich,CT,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,5,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,5,"TN","Hamilton,TN","County","Hamilton,TN,County"
"Jacksonville",NA,NA,NA,NA,NA,NA,NA,2025,5,"NC","Jacksonville,NC","City","Jacksonville,NC,City"
"Janesville",NA,NA,NA,NA,NA,NA,NA,2025,5,"WI","Janesville,WI","City","Janesville,WI,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,5,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2025,5,"CO","Longmont,CO","City","Longmont,CO,City"
"Lubbock",NA,NA,NA,NA,NA,NA,NA,2025,5,"TX","Lubbock,TX","City","Lubbock,TX,City"
"Madison",NA,NA,NA,NA,NA,NA,NA,2025,5,"WI","Madison,WI","City","Madison,WI,City"
"Manchester",NA,NA,NA,NA,NA,NA,NA,2025,5,"CT","Manchester,CT","City","Manchester,CT,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,5,"OR","Medford,OR","City","Medford,OR,City"
"Mesquite",NA,NA,NA,NA,NA,NA,NA,2025,5,"TX","Mesquite,TX","City","Mesquite,TX,City"
"Midland",NA,NA,NA,NA,NA,NA,NA,2025,5,"TX","Midland,TX","City","Midland,TX,City"
"Mission",NA,NA,NA,NA,NA,NA,NA,2025,5,"TX","Mission,TX","City","Mission,TX,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,5,"ID","Nampa,ID","City","Nampa,ID,City"
"Nassau",NA,NA,NA,NA,NA,NA,NA,2025,5,"NY","Nassau,NY","County","Nassau,NY,County"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2025,5,"CT","New Haven,CT","City","New Haven,CT,City"
"Normal",NA,NA,NA,NA,NA,NA,NA,2025,5,"IL","Normal,IL","City","Normal,IL,City"
"North Las Vegas",NA,NA,NA,NA,NA,NA,NA,2025,5,"NV","North Las Vegas,NV","City","North Las Vegas,NV,City"
"Norwalk",NA,NA,NA,NA,NA,NA,NA,2025,5,"CT","Norwalk,CT","City","Norwalk,CT,City"
"Odessa",NA,NA,NA,NA,NA,NA,NA,2025,5,"TX","Odessa,TX","City","Odessa,TX,City"
"Onslow",NA,NA,NA,NA,NA,NA,NA,2025,5,"NC","Onslow,NC","County","Onslow,NC,County"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Pinal",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Pinal,AZ","County","Pinal,AZ,County"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2025,5,"CO","Pueblo,CO","City","Pueblo,CO,City"
"Rochester",NA,NA,NA,NA,NA,NA,NA,2025,5,"MN","Rochester,MN","City","Rochester,MN,City"
"Rocky Mount",NA,NA,NA,NA,NA,NA,NA,2025,5,"NC","Rocky Mount,NC","City","Rocky Mount,NC,City"
"Scottsdale",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Scottsdale,AZ","City","Scottsdale,AZ,City"
"Sparks",NA,NA,NA,NA,NA,NA,NA,2025,5,"NV","Sparks,NV","City","Sparks,NV,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,5,"IL","Springfield,IL","City","Springfield,IL,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,5,"MO","Springfield,MO","City","Springfield,MO,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,5,"OR","Springfield,OR","City","Springfield,OR,City"
