"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Barnstable, MA","City"
"Boise",NA,NA,NA,NA,NA,NA,NA,2024,11,"ID","Boise, ID","City"
"Casa Grande",NA,NA,NA,NA,NA,NA,NA,2024,11,"AZ","Casa Grande, AZ","City"
"Cleveland",NA,NA,NA,NA,NA,NA,NA,2024,11,"OH","Cleveland, OH","City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2024,11,"MI","Clinton Township, MI","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2024,11,"OH","Cuyahoga Falls, OH","City"
"Danbury",NA,NA,NA,NA,NA,NA,NA,2024,11,"CT","Danbury, CT","City"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2024,11,"IL","Des Plaines, IL","City"
"El Paso",NA,NA,NA,NA,NA,NA,NA,2024,11,"TX","El Paso, TX","City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Everett, MA","City"
"Fall River",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Fall River, MA","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2024,11,"AZ","Flagstaff, AZ","City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Framingham, MA","City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2024,11,"MI","Kalamazoo, MI","City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2024,11,"OH","Lakewood, OH","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Lowell, MA","City"
"Lubbock",NA,NA,NA,NA,NA,NA,NA,2024,11,"TX","Lubbock, TX","City"
"Manchester",NA,NA,NA,NA,NA,NA,NA,2024,11,"CT","Manchester, CT","City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Medford, MA","City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2024,11,"OR","Medford, OR","City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2024,11,"OH","Middletown, OH","City"
"Millcreek",NA,NA,NA,NA,NA,NA,NA,2024,11,"PA","Millcreek, PA","City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2024,11,"ID","Nampa, ID","City"
"New Bedford",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","New Bedford, MA","City"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2024,11,"CT","New Haven, CT","City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Newton, MA","City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Peabody, MA","City"
"Providence",NA,NA,NA,NA,NA,NA,NA,2024,11,"RI","Providence, RI","City"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2024,11,"CO","Pueblo, CO","City"
"Reno",NA,NA,NA,NA,NA,NA,NA,2024,11,"NV","Reno, NV","City"
"Shelby Township",NA,NA,NA,NA,NA,NA,NA,2024,11,"MI","Shelby Township, MI","City"
"Sioux Falls",NA,NA,NA,NA,NA,NA,NA,2024,11,"SD","Sioux Falls, SD","City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Springfield, MA","City"
"Toledo",NA,NA,NA,NA,NA,NA,NA,2024,11,"OH","Toledo, OH","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,11,"MA","Worcester, MA","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2024,11,"OH","Youngstown, OH","City"
