"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,10,"CO","Adams,CO","County","Adams,CO,County"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,10,"OR","Albany,OR","City","Albany,OR,City"
"Amarillo",NA,NA,NA,NA,NA,NA,NA,2025,10,"TX","Amarillo,TX","City","Amarillo,TX,City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","Anderson,IN","City","Anderson,IN,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,10,"NC","Apex,NC","City","Apex,NC,City"
"Avondale",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Avondale,AZ","City","Avondale,AZ,City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Bartlett",NA,NA,NA,NA,NA,NA,NA,2025,10,"TN","Bartlett,TN","City","Bartlett,TN,City"
"Beaufort",NA,NA,NA,NA,NA,NA,NA,2025,10,"SC","Beaufort,SC","County","Beaufort,SC,County"
"Beaumont",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","Beaumont,CA","City","Beaumont,CA,City"
"Beaverton",NA,NA,NA,NA,NA,NA,NA,2025,10,"OR","Beaverton,OR","City","Beaverton,OR,City"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,10,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,10,"TX","Bexar,TX","County","Bexar,TX,County"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Boise",NA,NA,NA,NA,NA,NA,NA,2025,10,"ID","Boise,ID","City","Boise,ID,City"
"Boulder",NA,NA,NA,NA,NA,NA,NA,2025,10,"CO","Boulder,CO","City","Boulder,CO,City"
"Brookhaven",NA,NA,NA,NA,NA,NA,NA,2025,10,"GA","Brookhaven,GA","City","Brookhaven,GA,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Brookline,MA","City","Brookline,MA,City"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,10,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Canton",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","Canton,OH","City","Canton,OH,City"
"Chandler",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Chandler,AZ","City","Chandler,AZ,City"
"Chesterfield",NA,NA,NA,NA,NA,NA,NA,2025,10,"VA","Chesterfield,VA","County","Chesterfield,VA,County"
"Clarksville",NA,NA,NA,NA,NA,NA,NA,2025,10,"TN","Clarksville,TN","City","Clarksville,TN,City"
"Collierville",NA,NA,NA,NA,NA,NA,NA,2025,10,"TN","Collierville,TN","City","Collierville,TN,City"
"Corvallis",NA,NA,NA,NA,NA,NA,NA,2025,10,"OR","Corvallis,OR","City","Corvallis,OR,City"
"Douglas",NA,NA,NA,NA,NA,NA,NA,2025,10,"CO","Douglas,CO","County","Douglas,CO,County"
"Evanston",NA,NA,NA,NA,NA,NA,NA,2025,10,"IL","Evanston,IL","City","Evanston,IL,City"
"Fairfax",NA,NA,NA,NA,NA,NA,NA,2025,10,"VA","Fairfax,VA","County","Fairfax,VA,County"
"Fayetteville",NA,NA,NA,NA,NA,NA,NA,2025,10,"NC","Fayetteville,NC","City","Fayetteville,NC,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,10,"MO","Florissant,MO","City","Florissant,MO,City"
"Fort Collins",NA,NA,NA,NA,NA,NA,NA,2025,10,"CO","Fort Collins,CO","City","Fort Collins,CO,City"
"Fort Smith",NA,NA,NA,NA,NA,NA,NA,2025,10,"AR","Fort Smith,AR","City","Fort Smith,AR,City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Framingham,MA","City","Framingham,MA,City"
"Glendale",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Glendale,AZ","City","Glendale,AZ,City"
