"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"AR0160100","Jonesboro",NA,NA,NA,NA,NA,NA,NA,2026,3,"AR","City","Jonesboro,AR","Jonesboro,AR,City","City"
"AZ0030100","Flagstaff",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Flagstaff,AZ","Flagstaff,AZ,City","City"
"AZ0030100","Flagstaff",NA,NA,NA,NA,NA,NA,NA,2026,2,"AZ","City","Flagstaff,AZ","Flagstaff,AZ,City","City"
"AZ0030100","Flagstaff",NA,NA,NA,NA,NA,NA,NA,2026,3,"AZ","City","Flagstaff,AZ","Flagstaff,AZ,City","City"
"AZ0080400","Lake Havasu City",NA,NA,NA,NA,NA,NA,NA,2026,2,"AZ","City","Lake Havasu City,AZ","Lake Havasu City,AZ,City","City"
"AZ0072100","Peoria",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Peoria,AZ","Peoria,AZ,City","City"
"AZ0072100","Peoria",NA,NA,NA,NA,NA,NA,NA,2026,2,"AZ","City","Peoria,AZ","Peoria,AZ,City","City"
"AZ0072100","Peoria",NA,NA,NA,NA,NA,NA,NA,2026,3,"AZ","City","Peoria,AZ","Peoria,AZ,City","City"
"AZ0130000","Yavapai",NA,NA,NA,NA,NA,NA,NA,2026,3,"AZ","County","Yavapai,AZ","Yavapai,AZ,County","County"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,2,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,3,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,4,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,5,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,6,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,7,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,9,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,11,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2025,12,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2026,3,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0360800","Redlands",NA,NA,NA,NA,NA,NA,NA,2026,3,"CA","City","Redlands,CA","Redlands,CA,City","City"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2025,6,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2025,7,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2025,9,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
