"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Casa Grande",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Casa Grande,AZ","City","Casa Grande,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,6,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Glendale",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Glendale,AZ","City","Glendale,AZ,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,5,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,6,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Albany,NY","City","Albany,NY,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,8,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Anderson,IN","City","Anderson,IN,City"
"Berkeley",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","Berkeley,CA","City","Berkeley,CA,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bossier City",NA,NA,NA,NA,NA,NA,NA,2025,8,"LA","Bossier City,LA","City","Bossier City,LA,City"
"Bowling Green",NA,NA,NA,NA,NA,NA,NA,2025,8,"KY","Bowling Green,KY","City","Bowling Green,KY,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Colonie Town",NA,NA,NA,NA,NA,NA,NA,2025,7,"NY","Colonie Town,NY","City","Colonie Town,NY,City"
"Colonie Town",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Colonie Town,NY","City","Colonie Town,NY,City"
"Daly City",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","Daly City,CA","City","Daly City,CA,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,1,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,2,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Evansville",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Evansville,IN","City","Evansville,IN,City"
"Evansville",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Evansville,IN","City","Evansville,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Hammond,IN","City","Hammond,IN,City"
"Hempstead Village",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Hempstead Village,NY","City","Hempstead Village,NY,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jonesboro",NA,NA,NA,NA,NA,NA,NA,2025,8,"AR","Jonesboro,AR","City","Jonesboro,AR,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,4,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,5,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,6,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
