"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","Source","city_state","city_state_id","Agency_Type"
"Fort Smith",NA,NA,NA,NA,NA,NA,NA,2025,11,"AR","City","CDE","Fort Smith,AR","Fort Smith,AR,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,6,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,9,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,11,"AZ","City","Scrape","Flagstaff,AZ","Flagstaff,AZ,City","City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","City","Scrape","Peoria,AZ","Peoria,AZ,City","City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,11,"AZ","City","Scrape","Peoria,AZ","Peoria,AZ,City","City"
"Surprise",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","City","Scrape","Surprise,AZ","Surprise,AZ,City","City"
"Surprise",NA,NA,NA,NA,NA,NA,NA,2025,11,"AZ","City","Scrape","Surprise,AZ","Surprise,AZ,City","City"
