"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Chandler",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Chandler,AZ","City","Chandler,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,6,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Glendale",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Glendale,AZ","City","Glendale,AZ,City"
"Marana",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Marana,AZ","City","Marana,AZ,City"
"Maricopa",NA,NA,NA,NA,NA,NA,NA,2025,6,"AZ","Maricopa,AZ","City","Maricopa,AZ,City"
"Maricopa",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Maricopa,AZ","City","Maricopa,AZ,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,6,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,5,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,6,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Tustin",NA,NA,NA,NA,NA,NA,NA,2025,7,"CA","Tustin,CA","City","Tustin,CA,City"
"Alpharetta",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Alpharetta,GA","City","Alpharetta,GA,City"
"Brookhaven",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Brookhaven,GA","City","Brookhaven,GA,City"
"Johns Creek",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Johns Creek,GA","City","Johns Creek,GA,City"
"Marietta",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Marietta,GA","City","Marietta,GA,City"
"Shreveport",NA,NA,NA,NA,NA,NA,NA,2025,7,"LA","Shreveport,LA","City","Shreveport,LA,City"
"Bozeman",NA,NA,NA,NA,NA,NA,NA,2025,7,"MT","Bozeman,MT","City","Bozeman,MT,City"
"Colonie Town",NA,NA,NA,NA,NA,NA,NA,2025,7,"NY","Colonie Town,NY","City","Colonie Town,NY,City"
"Schenectady",NA,NA,NA,NA,NA,NA,NA,2025,7,"NY","Schenectady,NY","City","Schenectady,NY,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,4,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,5,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,6,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,4,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,5,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,6,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,4,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,5,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,6,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,5,"MI","Lansing,MI","City","Lansing,MI,City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,6,"MI","Lansing,MI","City","Lansing,MI,City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","Lansing,MI","City","Lansing,MI,City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Anderson,IN","City","Anderson,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Bloomington,IN","City","Bloomington,IN,City"
