"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,1,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Arvada",NA,NA,NA,NA,NA,NA,NA,2025,2,"CO","Arvada,CO","City","Arvada,CO,City"
"Loveland",NA,NA,NA,NA,NA,NA,NA,2025,2,"CO","Loveland,CO","City","Loveland,CO,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,1,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Hamden,CT","City","Hamden,CT,City"
"Meriden",NA,NA,NA,NA,NA,NA,NA,2024,12,"CT","Meriden,CT","City","Meriden,CT,City"
"Meriden",NA,NA,NA,NA,NA,NA,NA,2025,1,"CT","Meriden,CT","City","Meriden,CT,City"
"Meriden",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Meriden,CT","City","Meriden,CT,City"
"Milford",NA,NA,NA,NA,NA,NA,NA,2025,1,"CT","Milford,CT","City","Milford,CT,City"
"Milford",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Milford,CT","City","Milford,CT,City"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","New Haven,CT","City","New Haven,CT,City"
"Fremont",NA,NA,NA,NA,NA,NA,NA,2025,2,"CA","Fremont,CA","City","Fremont,CA,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,1,"ID","Nampa,ID","City","Nampa,ID,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,2,"ID","Nampa,ID","City","Nampa,ID,City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Barnstable,MA","City","Barnstable,MA,City"
