"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,2,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,4,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Longmont,CO","City","Longmont,CO,City"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2025,4,"CO","Longmont,CO","City","Longmont,CO,City"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Pueblo,CO","City","Pueblo,CO,City"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2025,4,"CO","Pueblo,CO","City","Pueblo,CO,City"
"Greenwich",NA,NA,NA,NA,NA,NA,NA,2025,4,"CT","Greenwich,CT","City","Greenwich,CT,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,2,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,3,"CT","Hamden,CT","City","Hamden,CT,City"
"Hamden",NA,NA,NA,NA,NA,NA,NA,2025,4,"CT","Hamden,CT","City","Hamden,CT,City"
"Norwalk",NA,NA,NA,NA,NA,NA,NA,2025,4,"CT","Norwalk,CT","City","Norwalk,CT,City"
"Fremont",NA,NA,NA,NA,NA,NA,NA,2025,2,"CA","Fremont,CA","City","Fremont,CA,City"
"Fremont",NA,NA,NA,NA,NA,NA,NA,2025,3,"CA","Fremont,CA","City","Fremont,CA,City"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,4,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,1,"ID","Nampa,ID","City","Nampa,ID,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,2,"ID","Nampa,ID","City","Nampa,ID,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,3,"ID","Nampa,ID","City","Nampa,ID,City"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,4,"ID","Nampa,ID","City","Nampa,ID,City"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,3,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Des Plaines",NA,NA,NA,NA,NA,NA,NA,2025,4,"IL","Des Plaines,IL","City","Des Plaines,IL,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,1,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,2,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,1,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,2,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,2,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Hammond,IN","City","Hammond,IN,City"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,1,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,2,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2024,9,"IN","Muncie,IN","City","Muncie,IN,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2024,10,"IN","Muncie,IN","City","Muncie,IN,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2024,11,"IN","Muncie,IN","City","Muncie,IN,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2024,12,"IN","Muncie,IN","City","Muncie,IN,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2025,1,"IN","Muncie,IN","City","Muncie,IN,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2025,2,"IN","Muncie,IN","City","Muncie,IN,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Muncie,IN","City","Muncie,IN,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Brookline,MA","City","Brookline,MA,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Brookline,MA","City","Brookline,MA,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Brookline,MA","City","Brookline,MA,City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2025,1,"MA","Everett,MA","City","Everett,MA,City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Everett,MA","City","Everett,MA,City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Everett,MA","City","Everett,MA,City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Everett,MA","City","Everett,MA,City"
"Fall River",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Fall River,MA","City","Fall River,MA,City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","Framingham,MA","City","Framingham,MA,City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Framingham,MA","City","Framingham,MA,City"
