"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type"
"Casa Grande",NA,NA,NA,NA,NA,NA,NA,2024,10,"AZ","Casa Grande, AZ","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2024,9,"AZ","Flagstaff, AZ","City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2024,10,"AZ","Flagstaff, AZ","City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2024,9,"MA","Barnstable, MA","City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2024,10,"MA","Barnstable, MA","City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2024,10,"MA","Everett, MA","City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2024,8,"MA","Framingham, MA","City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2024,9,"MA","Framingham, MA","City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2024,10,"MA","Framingham, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,1,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,2,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,3,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,4,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,5,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,7,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,8,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,9,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,10,"MA","Lowell, MA","City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2024,9,"MA","Medford, MA","City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2024,10,"MA","Medford, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,1,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,2,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,3,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,4,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,5,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,7,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,8,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,9,"MA","Worcester, MA","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,10,"MA","Worcester, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2023,3,"MA","Lowell, MA","City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2023,10,"MA","Lowell, MA","City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2024,9,"MI","Clinton Township, MI","City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2024,10,"MI","Clinton Township, MI","City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2024,10,"MI","Kalamazoo, MI","City"
"Shelby Township",NA,NA,NA,NA,NA,NA,NA,2024,10,"MI","Shelby Township, MI","City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2024,7,"OH","Lakewood, OH","City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2024,8,"OH","Lakewood, OH","City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2024,9,"OH","Lakewood, OH","City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2024,10,"OH","Lakewood, OH","City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2024,9,"OH","Middletown, OH","City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2024,10,"OH","Middletown, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,1,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,2,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,3,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,4,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,5,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,6,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,7,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,8,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,9,"OH","Cuyahoga Falls, OH","City"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2021,10,"OH","Cuyahoga Falls, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,1,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,2,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,3,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,4,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,5,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,6,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,7,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,8,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,9,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2021,10,"OH","Kettering, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,3,"OH","Hamilton, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,4,"OH","Hamilton, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,5,"OH","Hamilton, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,6,"OH","Hamilton, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,7,"OH","Hamilton, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,8,"OH","Hamilton, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,9,"OH","Hamilton, OH","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2020,10,"OH","Hamilton, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,3,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,4,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,5,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,6,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,7,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,8,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,9,"OH","Kettering, OH","City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2020,10,"OH","Kettering, OH","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2020,5,"OH","Youngstown, OH","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2020,6,"OH","Youngstown, OH","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2020,7,"OH","Youngstown, OH","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2020,8,"OH","Youngstown, OH","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2020,9,"OH","Youngstown, OH","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2020,10,"OH","Youngstown, OH","City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2024,10,"OR","Medford, OR","City"
"Carrollton",NA,NA,NA,NA,NA,NA,NA,2019,8,"TX","Carrollton, TX","City"
"Carrollton",NA,NA,NA,NA,NA,NA,NA,2019,9,"TX","Carrollton, TX","City"
"Carrollton",NA,NA,NA,NA,NA,NA,NA,2019,10,"TX","Carrollton, TX","City"
"Carrollton",NA,NA,NA,NA,NA,NA,NA,2020,1,"TX","Carrollton, TX","City"
"El Paso",NA,NA,NA,NA,NA,NA,NA,2024,6,"TX","El Paso, TX","City"
"El Paso",NA,NA,NA,NA,NA,NA,NA,2024,7,"TX","El Paso, TX","City"
"El Paso",NA,NA,NA,NA,NA,NA,NA,2024,8,"TX","El Paso, TX","City"
"El Paso",NA,NA,NA,NA,NA,NA,NA,2024,9,"TX","El Paso, TX","City"
"El Paso",NA,NA,NA,NA,NA,NA,NA,2024,10,"TX","El Paso, TX","City"
"Lubbock",NA,NA,NA,NA,NA,NA,NA,2024,9,"TX","Lubbock, TX","City"
"Lubbock",NA,NA,NA,NA,NA,NA,NA,2024,10,"TX","Lubbock, TX","City"
