"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,3,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,4,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,5,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,6,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,7,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Flagstaff",NA,NA,NA,NA,NA,NA,NA,2025,8,"AZ","Flagstaff,AZ","City","Flagstaff,AZ,City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,5,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,6,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bossier City",NA,NA,NA,NA,NA,NA,NA,2025,8,"LA","Bossier City,LA","City","Bossier City,LA,City"
"Evansville",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Evansville,IN","City","Evansville,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Hammond,IN","City","Hammond,IN,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Hammond,IN","City","Hammond,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
