"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Abilene",NA,NA,NA,NA,NA,NA,NA,2025,4,"TX","Abilene,TX","City","Abilene,TX,City"
"Abington",0,1,2,5,3,81,0,2025,4,"PA","Abington,PA","City","Abington,PA,City"
"Ada",0,2,1,9,8,33,6,2025,4,"ID","Ada,ID","County","Ada,ID,County"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,4,"CO","Adams,CO","County","Adams,CO,County"
"Akron",0,22,13,121,60,368,35,2025,4,"OH","Akron,OH","City","Akron,OH,City"
"Albany",0,5,12,55,32,164,14,2025,4,"GA","Albany,GA","City","Albany,GA,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Albany,OR","City","Albany,OR,City"
"Albemarle",0,2,0,4,8,67,2,2025,4,"VA","Albemarle,VA","County","Albemarle,VA,County"
"Albuquerque",6,NA,NA,NA,NA,NA,NA,2025,4,"NM","Albuquerque,NM","City","Albuquerque,NM,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,4,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Alhambra",0,0,4,10,17,90,21,2025,4,"CA","Alhambra,CA","City","Alhambra,CA,City"
"Allen",0,1,2,4,5,60,1,2025,4,"TX","Allen,TX","City","Allen,TX,City"
"Allentown",0,1,7,21,12,133,16,2025,4,"PA","Allentown,PA","City","Allentown,PA,City"
"Amarillo",0,26,17,69,34,364,39,2025,4,"TX","Amarillo,TX","City","Amarillo,TX,City"
"Ames",0,3,0,1,8,79,9,2025,3,"IA","Ames,IA","City","Ames,IA,City"
"Anderson",0,5,4,18,23,76,14,2025,3,"IN","Anderson,IN","City","Anderson,IN,City"
"Ankeny",0,2,0,3,3,51,6,2025,3,"IA","Ankeny,IA","City","Ankeny,IA,City"
"Ann Arbor",0,5,0,16,11,104,14,2025,3,"MI","Ann Arbor,MI","City","Ann Arbor,MI,City"
"Antioch",0,2,11,55,24,70,96,2025,4,"CA","Antioch,CA","City","Antioch,CA,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,4,"NC","Apex,NC","City","Apex,NC,City"
"Apple Valley",0,0,0,13,2,45,2,2025,4,"MN","Apple Valley,MN","City","Apple Valley,MN,City"
"Arapahoe",0,2,3,18,29,94,19,2025,4,"CO","Arapahoe,CO","County","Arapahoe,CO,County"
"Arlington Heights",0,1,3,4,7,51,1,2025,4,"IL","Arlington Heights,IL","City","Arlington Heights,IL,City"
"Arlington",2,29,11,92,70,496,112,2025,4,"TX","Arlington,TX","City","Arlington,TX,City"
"Arlington",0,0,15,37,15,270,12,2025,4,"VA","Arlington,VA","County","Arlington,VA,County"
"Arvada",NA,NA,NA,NA,NA,NA,NA,2025,4,"CO","Arvada,CO","City","Arvada,CO,City"
"Asheville",0,3,8,45,42,249,19,2025,4,"NC","Asheville,NC","City","Asheville,NC,City"
"Atlanta",7,NA,49,169,146,1126,226,2025,4,"GA","Atlanta,GA","City","Atlanta,GA,City"
"Aurora",2,18,30,201,69,433,154,2025,4,"CO","Aurora,CO","City","Aurora,CO,City"
"Austin",8,61,77,234,421,1651,372,2025,4,"TX","Austin,TX","City","Austin,TX,City"
"Avondale",0,1,6,21,21,170,27,2025,4,"AZ","Avondale,AZ","City","Avondale,AZ,City"
"Bakersfield",1,6,40,115,142,368,147,2025,4,"CA","Bakersfield,CA","City","Bakersfield,CA,City"
"Baltimore",5,25,229,413,252,1218,437,2025,4,"MD","Baltimore,MD","City","Baltimore,MD,City"
"Baltimore",4,16,56,151,97,1272,213,2025,4,"MD","Baltimore,MD","County","Baltimore,MD,County"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Baton Rouge",10,14,35,153,135,546,85,2025,4,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Battle Creek",0,8,0,40,19,75,16,2025,3,"MI","Battle Creek,MI","City","Battle Creek,MI,City"
"Baytown",0,6,7,18,7,147,13,2025,4,"TX","Baytown,TX","City","Baytown,TX,City"
"Beaumont",2,7,17,68,63,214,15,2025,4,"TX","Beaumont,TX","City","Beaumont,TX,City"
"Beaverton",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Beaverton,OR","City","Beaverton,OR,City"
"Bellevue",0,3,0,3,5,41,6,2025,4,"NE","Bellevue,NE","City","Bellevue,NE,City"
"Bellingham",0,NA,2,NA,NA,211,9,2025,4,"WA","Bellingham,WA","City","Bellingham,WA,City"
"Bend",NA,NA,NA,NA,NA,NA,NA,2025,4,"OR","Bend,OR","City","Bend,OR,City"
"Bensalem",NA,NA,NA,NA,NA,NA,NA,2025,4,"PA","Bensalem,PA","City","Bensalem,PA,City"
"Bethlehem",0,6,2,7,6,75,4,2025,4,"PA","Bethlehem,PA","City","Bethlehem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,4,"TX","Bexar,TX","County","Bexar,TX,County"
"Bismarck",0,1,2,10,17,104,12,2025,4,"ND","Bismarck,ND","City","Bismarck,ND,City"
"Blaine",0,1,1,2,3,50,5,2025,4,"MN","Blaine,MN","City","Blaine,MN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",0,3,3,17,16,140,11,2025,4,"MN","Bloomington,MN","City","Bloomington,MN,City"
"Blue Springs",0,1,0,18,3,80,12,2025,4,"MO","Blue Springs,MO","City","Blue Springs,MO,City"
"Boise",0,9,0,58,13,110,19,2025,4,"ID","Boise,ID","City","Boise,ID,City"
"Bolingbrook",1,3,0,5,10,34,7,2025,4,"IL","Bolingbrook,IL","City","Bolingbrook,IL,City"
"Boston",1,12,55,227,74,833,42,2025,4,"MA","Boston,MA","City","Boston,MA,City"
"Boulder",0,8,5,13,28,180,12,2025,4,"CO","Boulder,CO","City","Boulder,CO,City"
"Bowie",0,0,4,2,5,93,19,2025,4,"MD","Bowie,MD","City","Bowie,MD,City"
"Brazoria",2,5,2,10,7,76,6,2025,4,"TX","Brazoria,TX","County","Brazoria,TX,County"
"Bridgeport",0,3,12,14,22,86,38,2025,4,"CT","Bridgeport,CT","City","Bridgeport,CT,City"
"Bristol",0,0,1,1,1,17,11,2025,4,"CT","Bristol,CT","City","Bristol,CT,City"
"Brockton",0,7,3,37,19,62,25,2025,4,"MA","Brockton,MA","City","Brockton,MA,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Brookline,MA","City","Brookline,MA,City"
"Brooklyn Park",0,3,4,16,13,92,12,2025,4,"MN","Brooklyn Park,MN","City","Brooklyn Park,MN,City"
"Broomfield",0,4,0,4,10,83,7,2025,4,"CO","Broomfield,CO","City","Broomfield,CO,City"
"Brownsville",0,5,12,38,17,198,48,2025,4,"TX","Brownsville,TX","City","Brownsville,TX,City"
"Buckeye",0,2,0,17,16,67,4,2025,4,"AZ","Buckeye,AZ","City","Buckeye,AZ,City"
"Buffalo",2,4,29,104,96,526,119,2025,4,"NY","Buffalo,NY","City","Buffalo,NY,City"
"Buncombe",0,0,0,19,14,62,7,2025,4,"NC","Buncombe,NC","County","Buncombe,NC,County"
"Burbank",0,1,2,24,30,187,25,2025,4,"CA","Burbank,CA","City","Burbank,CA,City"
"Burleson",0,3,0,9,2,36,4,2025,4,"TX","Burleson,TX","City","Burleson,TX,City"
"Burlington",0,4,2,21,23,73,6,2025,4,"NC","Burlington,NC","City","Burlington,NC,City"
"Burnsville",0,0,2,8,5,84,8,2025,4,"MN","Burnsville,MN","City","Burnsville,MN,City"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2025,4,"ID","Caldwell,ID","City","Caldwell,ID,City"
"Cambridge",0,4,7,32,17,207,5,2025,4,"MA","Cambridge,MA","City","Cambridge,MA,City"
"Canton Township",1,3,1,9,4,73,3,2025,3,"MI","Canton Township,MI","City","Canton Township,MI,City"
"Canton",0,6,12,46,50,128,21,2025,4,"OH","Canton,OH","City","Canton,OH,City"
"Carlsbad",0,2,2,21,8,77,9,2025,4,"CA","Carlsbad,CA","City","Carlsbad,CA,City"
"Carmel",0,2,1,4,2,48,8,2025,3,"IN","Carmel,IN","City","Carmel,IN,City"
"Carrollton",0,1,1,7,14,75,8,2025,4,"TX","Carrollton,TX","City","Carrollton,TX,City"
"Cary",0,0,2,12,15,140,12,2025,4,"NC","Cary,NC","City","Cary,NC,City"
