"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Abilene",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Abilene,TX","City","Abilene,TX,City"
"Abington",0,0,1,2,2,73,1,2025,8,"PA","Abington,PA","City","Abington,PA,City"
"Ada",0,6,0,12,4,30,1,2025,8,"ID","Ada,ID","County","Ada,ID,County"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,8,"CO","Adams,CO","County","Adams,CO,County"
"Aiken",0,3,1,19,39,95,17,2025,8,"SC","Aiken,SC","County","Aiken,SC,County"
"Akron",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","Akron,OH","City","Akron,OH,City"
"Alameda",0,2,2,21,13,202,53,2025,8,"CA","Alameda,CA","City","Alameda,CA,City"
"Alameda",0,2,13,53,15,111,43,2025,8,"CA","Alameda,CA","County","Alameda,CA,County"
"Albany",1,9,2,40,51,160,18,2025,8,"GA","Albany,GA","City","Albany,GA,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,8,"NY","Albany,NY","City","Albany,NY,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,8,"OR","Albany,OR","City","Albany,OR,City"
"Albemarle",0,4,0,5,5,127,2,2025,8,"VA","Albemarle,VA","County","Albemarle,VA,County"
"Albuquerque",8,NA,NA,NA,NA,NA,NA,2025,8,"NM","Albuquerque,NM","City","Albuquerque,NM,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,8,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Alhambra",0,5,6,5,15,103,12,2025,8,"CA","Alhambra,CA","City","Alhambra,CA,City"
"Aliso Viejo",0,1,3,2,0,11,3,2025,8,"CA","Aliso Viejo,CA","City","Aliso Viejo,CA,City"
"Allen",0,2,1,9,5,63,3,2025,8,"TX","Allen,TX","City","Allen,TX,City"
"Allentown",0,5,7,13,15,104,23,2025,8,"PA","Allentown,PA","City","Allentown,PA,City"
"Alpharetta",0,1,0,8,1,55,2,2025,8,"GA","Alpharetta,GA","City","Alpharetta,GA,City"
"Amarillo",0,12,11,59,78,334,33,2025,8,"TX","Amarillo,TX","City","Amarillo,TX,City"
"Ames",0,4,0,2,5,48,3,2025,8,"IA","Ames,IA","City","Ames,IA,City"
"Anaheim",2,12,26,108,59,339,92,2025,8,"CA","Anaheim,CA","City","Anaheim,CA,City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Anderson,IN","City","Anderson,IN,City"
"Anderson",0,6,2,44,47,173,23,2025,8,"SC","Anderson,SC","County","Anderson,SC,County"
"Ankeny",0,1,1,5,7,73,1,2025,8,"IA","Ankeny,IA","City","Ankeny,IA,City"
"Ann Arbor",0,1,6,17,19,118,6,2025,8,"MI","Ann Arbor,MI","City","Ann Arbor,MI,City"
"Antioch",1,2,23,73,24,157,74,2025,8,"CA","Antioch,CA","City","Antioch,CA,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","Apex,NC","City","Apex,NC,City"
