"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","Source","city_state","city_state_id","Agency_Type"
"Aguadilla",0,3,0,6,3,11,0,2025,4,"PR","City","Manual","Aguadilla,PR","Aguadilla,PR,City","City"
"Arecibo",0,1,1,11,5,9,1,2025,4,"PR","City","Manual","Arecibo,PR","Arecibo,PR,City","City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,6,"LA","City","Scrape","Baton Rouge,LA","Baton Rouge,LA,City","City"
"Caguas",0,0,4,10,5,37,5,2025,4,"PR","City","Manual","Caguas,PR","Caguas,PR,City","City"
"Carolina",2,0,9,29,12,59,7,2025,4,"PR","City","Manual","Carolina,PR","Carolina,PR,City","City"
"Fremont",NA,NA,NA,NA,NA,NA,NA,2025,3,"CA","City","Manual","Fremont,CA","Fremont,CA,City","City"
"Guaynabo",1,0,0,2,4,8,1,2025,4,"PR","City","Manual","Guaynabo,PR","Guaynabo,PR,City","City"
"Nashua",NA,NA,NA,NA,NA,NA,NA,2025,2,"NH","City","Scrape","Nashua,NH","Nashua,NH,City","City"
"Nassau",NA,NA,NA,NA,NA,NA,NA,2025,5,"NY","County","CDE","Nassau,NY","Nassau,NY,County","County"
"Ponce",1,2,6,13,8,35,1,2025,4,"PR","City","Manual","Ponce,PR","Ponce,PR,City","City"
"San Bernardino",1,10,51,184,87,239,81,2025,5,"CA","City","Manual","San Bernardino,CA","San Bernardino,CA,City","City"
"San Juan",5,9,20,71,43,205,25,2025,4,"PR","City","Manual","San Juan,PR","San Juan,PR,City","City"
"St Joseph",0,1,0,7,6,42,3,2025,3,"IN","County","CDE","St Joseph,IN","St Joseph,IN,County","County"
"Toa Alta",0,1,0,1,1,6,0,2025,4,"PR","City","Manual","Toa Alta,PR","Toa Alta,PR,City","City"
"Toa Baja",1,3,3,5,6,15,1,2025,4,"PR","City","Manual","Toa Baja,PR","Toa Baja,PR,City","City"
"Trujillo Alto",0,1,1,8,1,8,2,2025,4,"PR","City","Manual","Trujillo Alto,PR","Trujillo Alto,PR,City","City"
"Vega Baja",0,0,1,4,8,14,0,2025,4,"PR","City","Manual","Vega Baja,PR","Vega Baja,PR,City","City"
