"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Alhambra",0,0,7,10,23,120,16,2025,1,"CA","Alhambra,CA","City","Alhambra,CA,City"
"Ann Arbor",0,4,0,10,19,95,6,2024,12,"MI","Ann Arbor,MI","City","Ann Arbor,MI,City"
"Baton Rouge",7,21,45,144,155,667,132,2024,7,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Battle Creek",0,3,2,35,21,72,13,2024,12,"MI","Battle Creek,MI","City","Battle Creek,MI,City"
"Canton Township",0,1,0,8,7,69,4,2024,12,"MI","Canton Township,MI","City","Canton Township,MI,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2024,12,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Dearborn Heights",0,2,1,10,3,18,10,2024,12,"MI","Dearborn Heights,MI","City","Dearborn Heights,MI,City"
"Dearborn",1,1,1,9,3,69,14,2024,12,"MI","Dearborn,MI","City","Dearborn,MI,City"
"Farmington Hills",0,0,2,5,7,31,4,2024,12,"MI","Farmington Hills,MI","City","Farmington Hills,MI,City"
"Flint",NA,NA,NA,NA,NA,NA,NA,2024,12,"MI","Flint,MI","City","Flint,MI,City"
"Fort Wayne",1,13,12,59,36,380,53,2024,10,"IN","Fort Wayne,IN","City","Fort Wayne,IN,City"
"Hamilton",0,1,0,24,21,67,5,2024,12,"TN","Hamilton,TN","County","Hamilton,TN,County"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2024,12,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",0,2,2,21,26,106,13,2024,11,"MI","Kalamazoo,MI","County","Kalamazoo,MI,County"
"Kent",0,12,0,22,11,159,10,2024,11,"MI","Kent,MI","County","Kent,MI,County"
"Kentwood",0,2,1,8,12,50,7,2024,12,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Knox",0,7,2,31,30,107,34,2024,12,"TN","Knox,TN","County","Knox,TN,County"
"Lansing",1,8,12,75,28,102,33,2024,12,"MI","Lansing,MI","City","Lansing,MI,City"
"Livonia",0,1,1,6,8,70,11,2024,12,"MI","Livonia,MI","City","Livonia,MI,City"
"Macomb",0,4,2,8,3,51,14,2024,11,"MI","Macomb,MI","County","Macomb,MI,County"
"Novi",0,1,0,4,4,19,3,2024,12,"MI","Novi,MI","City","Novi,MI,City"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2024,11,"MI","Ottawa,MI","County","Ottawa,MI,County"
"Riverside",0,NA,23,72,77,406,97,2025,1,"CA","Riverside,CA","City","Riverside,CA,City"
"Royal Oak",0,0,1,9,2,36,5,2024,12,"MI","Royal Oak,MI","City","Royal Oak,MI,City"
"Rutherford",0,1,0,11,6,19,2,2024,12,"TN","Rutherford,TN","County","Rutherford,TN,County"
"San Bernardino",4,7,50,84,97,315,107,2025,1,"CA","San Bernardino,CA","City","San Bernardino,CA,City"
"Shelby Township",0,0,0,4,2,24,4,2024,12,"MI","Shelby Township,MI","City","Shelby Township,MI,City"
"Shelby",1,3,5,45,21,160,53,2024,12,"TN","Shelby,TN","County","Shelby,TN,County"
"Southfield",0,2,0,21,24,110,43,2024,12,"MI","Southfield,MI","City","Southfield,MI,City"
"St. Clair Shores",0,1,1,3,6,41,9,2024,12,"MI","St. Clair Shores,MI","City","St. Clair Shores,MI,City"
"Sterling Heights",0,4,3,16,11,116,23,2024,12,"MI","Sterling Heights,MI","City","Sterling Heights,MI,City"
"Taylor",0,3,6,31,19,96,15,2024,12,"MI","Taylor,MI","City","Taylor,MI,City"
"Troy",0,3,0,7,9,93,5,2024,12,"MI","Troy,MI","City","Troy,MI,City"
"Warren",2,3,4,29,23,130,35,2024,12,"MI","Warren,MI","City","Warren,MI,City"
"Washtenaw",0,3,4,34,10,50,19,2024,11,"MI","Washtenaw,MI","County","Washtenaw,MI,County"
"Waterford Township",0,1,0,8,3,26,5,2024,12,"MI","Waterford Township,MI","City","Waterford Township,MI,City"
"West Bloomfield Township",0,0,0,1,2,43,7,2024,12,"MI","West Bloomfield Township,MI","City","West Bloomfield Township,MI,City"
"Westland",0,2,2,17,7,55,15,2024,12,"MI","Westland,MI","City","Westland,MI,City"
"Westminster",0,6,13,17,34,158,15,2024,12,"CA","Westminster,CA","City","Westminster,CA,City"
"Wyoming",0,0,2,15,4,126,13,2024,12,"MI","Wyoming,MI","City","Wyoming,MI,City"
