"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Abilene",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Abilene,TX","City","Abilene,TX,City"
"Abington",0,1,0,1,2,88,5,2025,7,"PA","Abington,PA","City","Abington,PA,City"
"Ada",0,3,0,7,4,18,2,2025,7,"ID","Ada,ID","County","Ada,ID,County"
"Adams",NA,NA,NA,NA,NA,NA,NA,2025,7,"CO","Adams,CO","County","Adams,CO,County"
"Aiken",0,1,2,23,32,92,29,2025,7,"SC","Aiken,SC","County","Aiken,SC,County"
"Akron",NA,NA,NA,NA,NA,NA,NA,2025,7,"OH","Akron,OH","City","Akron,OH,City"
"Alameda",0,0,5,14,17,173,51,2025,7,"CA","Alameda,CA","City","Alameda,CA,City"
"Alameda",0,0,9,38,16,113,27,2025,7,"CA","Alameda,CA","County","Alameda,CA,County"
"Albany",4,9,3,45,32,189,19,2025,7,"GA","Albany,GA","City","Albany,GA,City"
"Albany",1,4,9,50,18,190,17,2025,7,"NY","Albany,NY","City","Albany,NY,City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","Albany,OR","City","Albany,OR,City"
"Albemarle",0,2,0,5,5,98,12,2025,7,"VA","Albemarle,VA","County","Albemarle,VA,County"
"Albuquerque",7,NA,NA,NA,NA,NA,NA,2025,7,"NM","Albuquerque,NM","City","Albuquerque,NM,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,7,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Alhambra",0,0,6,4,12,65,6,2025,6,"CA","Alhambra,CA","City","Alhambra,CA,City"
"Aliso Viejo",0,0,0,3,1,28,3,2025,7,"CA","Aliso Viejo,CA","City","Aliso Viejo,CA,City"
"Allen",0,0,1,5,8,56,4,2025,7,"TX","Allen,TX","City","Allen,TX,City"
"Allentown",1,2,5,15,6,147,20,2025,7,"PA","Allentown,PA","City","Allentown,PA,City"
"Alpharetta",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Alpharetta,GA","City","Alpharetta,GA,City"
"Amarillo",3,14,14,91,62,315,49,2025,7,"TX","Amarillo,TX","City","Amarillo,TX,City"
"Ames",0,2,0,1,7,76,7,2025,7,"IA","Ames,IA","City","Ames,IA,City"
"Anaheim",0,7,21,132,72,300,83,2025,7,"CA","Anaheim,CA","City","Anaheim,CA,City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Anderson,IN","City","Anderson,IN,City"
"Ankeny",0,4,1,4,4,62,11,2025,7,"IA","Ankeny,IA","City","Ankeny,IA,City"
"Ann Arbor",0,5,2,27,15,156,6,2025,7,"MI","Ann Arbor,MI","City","Ann Arbor,MI,City"
"Antioch",0,5,15,52,31,167,90,2025,7,"CA","Antioch,CA","City","Antioch,CA,City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,7,"NC","Apex,NC","City","Apex,NC,City"
"Apple Valley",0,0,2,6,6,76,2,2025,7,"MN","Apple Valley,MN","City","Apple Valley,MN,City"
"Appleton",NA,NA,NA,NA,NA,NA,NA,2025,7,"WI","Appleton,WI","City","Appleton,WI,City"
"Arapahoe",1,1,1,14,23,107,22,2025,7,"CO","Arapahoe,CO","County","Arapahoe,CO,County"
"Arcadia",0,0,3,10,20,70,10,2025,7,"CA","Arcadia,CA","City","Arcadia,CA,City"
"Arlington Heights",0,1,2,2,3,30,9,2025,7,"IL","Arlington Heights,IL","City","Arlington Heights,IL,City"
"Arlington",1,17,20,119,69,543,97,2025,7,"TX","Arlington,TX","City","Arlington,TX,City"
"Arlington",0,5,14,31,7,302,15,2025,7,"VA","Arlington,VA","County","Arlington,VA,County"
"Arvada",0,4,3,27,51,163,29,2025,7,"CO","Arvada,CO","City","Arvada,CO,City"
"Asheville",0,4,9,62,61,288,30,2025,7,"NC","Asheville,NC","City","Asheville,NC,City"
"Atlanta",10,NA,60,211,151,1148,234,2025,7,"GA","Atlanta,GA","City","Atlanta,GA,City"
"Aurora",4,30,42,217,79,546,169,2025,7,"CO","Aurora,CO","City","Aurora,CO,City"
"Austin",5,64,68,220,395,1785,400,2025,7,"TX","Austin,TX","City","Austin,TX,City"
"Avondale",0,0,1,17,16,124,11,2025,7,"AZ","Avondale,AZ","City","Avondale,AZ,City"
