"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Albany",1,6,9,43,22,150,12,2025,5,"GA","Albany,GA","City","Albany,GA,City"
"Anderson",0,5,4,18,23,76,14,2025,3,"IN","Anderson,IN","City","Anderson,IN,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Concord",0,0,17,35,31,215,40,2025,5,"CA","Concord,CA","City","Concord,CA,City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Elkhart,IN","City","Elkhart,IN,City"
"Evansville",1,14,8,87,53,213,24,2025,3,"IN","Evansville,IN","City","Evansville,IN,City"
"Fishers",0,1,0,4,2,39,2,2025,3,"IN","Fishers,IN","City","Fishers,IN,City"
"Fort Wayne",2,13,11,39,59,424,36,2025,5,"IN","Fort Wayne,IN","City","Fort Wayne,IN,City"
"Fremont",NA,NA,NA,NA,NA,NA,NA,2025,3,"CA","Fremont,CA","City","Fremont,CA,City"
"Grand Rapids",1,8,19,126,28,334,61,2025,5,"MI","Grand Rapids,MI","City","Grand Rapids,MI,City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Hammond,IN","City","Hammond,IN,City"
"Jeffersonville",0,0,3,9,3,57,11,2025,3,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Little Rock",3,14,44,264,116,516,61,2025,5,"AR","Little Rock,AR","City","Little Rock,AR,City"
"Milpitas",0,NA,4,2,9,109,22,2025,5,"CA","Milpitas,CA","City","Milpitas,CA,City"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Muncie,IN","City","Muncie,IN,City"
"Nashua",NA,NA,NA,NA,NA,NA,NA,2025,2,"NH","Nashua,NH","City","Nashua,NH,City"
"Nassau",NA,NA,NA,NA,NA,NA,NA,2025,5,"NY","Nassau,NY","County","Nassau,NY,County"
"Noblesville",0,2,0,0,2,30,3,2025,3,"IN","Noblesville,IN","City","Noblesville,IN,City"
"Norman",NA,NA,NA,NA,NA,NA,NA,2025,4,"OK","Norman,OK","City","Norman,OK,City"
"North Bergen Township",0,1,1,2,1,29,3,2025,5,"NJ","North Bergen Township,NJ","City","North Bergen Township,NJ,City"
"San Bernardino",1,10,51,184,87,239,81,2025,5,"CA","San Bernardino,CA","City","San Bernardino,CA,City"
"St Joseph",0,1,0,7,6,42,3,2025,3,"IN","St Joseph,IN","County","St Joseph,IN,County"
"Terre Haute",0,2,4,16,27,101,25,2025,3,"IN","Terre Haute,IN","City","Terre Haute,IN,City"
"Washington",0,4,1,20,6,43,4,2025,3,"MD","Washington,MD","County","Washington,MD,County"
"Washoe",1,3,2,19,7,32,12,2025,5,"NV","Washoe,NV","County","Washoe,NV,County"
"Westfield",0,0,0,1,3,30,0,2025,3,"IN","Westfield,IN","City","Westfield,IN,City"
