"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Ada",0,2,1,9,8,33,6,2025,4,"ID","Ada,ID","County","Ada,ID,County"
"Akron",0,22,13,121,60,368,35,2025,4,"OH","Akron,OH","City","Akron,OH,City"
"Albemarle",0,2,0,4,8,67,2,2025,4,"VA","Albemarle,VA","County","Albemarle,VA,County"
"Albuquerque",6,NA,NA,NA,NA,NA,NA,2025,4,"NM","Albuquerque,NM","City","Albuquerque,NM,City"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2025,4,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Alhambra",0,0,4,10,17,90,21,2025,4,"CA","Alhambra,CA","City","Alhambra,CA,City"
"Ames",0,3,0,1,8,79,9,2025,3,"IA","Ames,IA","City","Ames,IA,City"
"Anderson",0,5,4,18,23,76,14,2025,3,"IN","Anderson,IN","City","Anderson,IN,City"
"Ankeny",0,2,0,3,3,51,6,2025,3,"IA","Ankeny,IA","City","Ankeny,IA,City"
"Ann Arbor",0,5,0,16,11,104,14,2025,3,"MI","Ann Arbor,MI","City","Ann Arbor,MI,City"
"Arlington",0,0,15,37,15,270,12,2025,4,"VA","Arlington,VA","County","Arlington,VA,County"
"Baltimore",4,16,56,151,97,1272,213,2025,4,"MD","Baltimore,MD","County","Baltimore,MD,County"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Battle Creek",0,8,0,40,19,75,16,2025,3,"MI","Battle Creek,MI","City","Battle Creek,MI,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Boston",1,12,55,227,74,833,42,2025,4,"MA","Boston,MA","City","Boston,MA,City"
"Brockton",0,7,3,37,19,62,25,2025,4,"MA","Brockton,MA","City","Brockton,MA,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Brookline,MA","City","Brookline,MA,City"
"Burbank",0,1,2,24,30,187,25,2025,4,"CA","Burbank,CA","City","Burbank,CA,City"
"Cambridge",0,4,7,32,17,207,5,2025,4,"MA","Cambridge,MA","City","Cambridge,MA,City"
"Canton Township",1,3,1,9,4,73,3,2025,3,"MI","Canton Township,MI","City","Canton Township,MI,City"
"Canton",0,6,12,46,50,128,21,2025,4,"OH","Canton,OH","City","Canton,OH,City"
"Carmel",0,2,1,4,2,48,8,2025,3,"IN","Carmel,IN","City","Carmel,IN,City"
"Cedar Rapids",1,0,2,18,23,72,4,2025,3,"IA","Cedar Rapids,IA","City","Cedar Rapids,IA,City"
"Chesapeake",0,10,2,55,25,264,24,2025,4,"VA","Chesapeake,VA","City","Chesapeake,VA,City"
