"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state"
"Alexandria",0,0,8,15,8,327,21,2024,10,"VA","Alexandria, VA"
"Ann Arbor",0,5,2,27,20,154,5,2024,9,"MI","Ann Arbor, MI"
"Antioch",2,6,19,42,39,144,163,2024,10,"CA","Antioch, CA"
"Atlanta",8,NA,66,198,146,1314,325,2024,10,"GA","Atlanta, GA"
"Baton Rouge",7,21,45,144,155,667,132,2024,7,"LA","Baton Rouge, LA"
"Battle Creek",0,3,5,38,22,91,7,2024,9,"MI","Battle Creek, MI"
"Canton Township",0,0,0,12,8,71,3,2024,9,"MI","Canton Township, MI"
"Chesapeake",0,6,9,65,31,295,16,2024,10,"VA","Chesapeake, VA"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2024,9,"MI","Clinton Township, MI"
"Dearborn Heights",0,0,6,16,10,42,11,2024,9,"MI","Dearborn Heights, MI"
"Dearborn",0,1,1,18,10,181,33,2024,9,"MI","Dearborn, MI"
"Farmington Hills",0,2,0,12,8,30,7,2024,9,"MI","Farmington Hills, MI"
"Flint",0,2,1,16,8,31,14,2024,9,"MI","Flint, MI"
"Fort Wayne",1,13,12,59,36,380,53,2024,10,"IN","Fort Wayne, IN"
"Hampton",0,2,5,24,24,323,22,2024,10,"VA","Hampton, VA"
"Harrisonburg",0,2,3,5,19,67,3,2024,10,"VA","Harrisonburg, VA"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2024,9,"MI","Kalamazoo, MI"
"Kentwood",0,2,0,15,8,84,11,2024,9,"MI","Kentwood, MI"
"Lansing",0,8,12,98,37,132,41,2024,9,"MI","Lansing, MI"
"Livonia",0,4,2,10,7,76,11,2024,9,"MI","Livonia, MI"
"Lynchburg",2,2,5,15,14,82,19,2024,10,"VA","Lynchburg, VA"
"Mount Vernon",1,3,9,23,13,68,12,2024,8,"NY","Mount Vernon, NY"
"Newark",1,10,37,81,43,235,194,2024,10,"NJ","Newark, NJ"
"Newport News",1,1,10,67,17,273,37,2024,10,"VA","Newport News, VA"
"Norfolk",4,6,17,81,41,577,89,2024,10,"VA","Norfolk, VA"
"Novi",0,0,0,5,1,31,4,2024,9,"MI","Novi, MI"
"Pittsburgh",6,NA,NA,NA,NA,NA,NA,2024,9,"PA","Pittsburgh, PA"
"Pittsburgh",1,NA,NA,NA,NA,NA,NA,2024,9,"PA","Pittsburgh, PA"
"Portsmouth",2,1,21,44,30,211,45,2024,10,"VA","Portsmouth, VA"
"Roanoke",0,1,2,4,23,127,7,2024,10,"VA","Roanoke, VA"
"Royal Oak",0,1,2,5,2,39,2,2024,9,"MI","Royal Oak, MI"
"San Bernardino",3,0,40,112,72,402,167,2024,10,"CA","San Bernardino, CA"
"Shelby Township",0,2,0,6,6,22,3,2024,9,"MI","Shelby Township, MI"
"Southfield",0,4,1,19,36,100,27,2024,9,"MI","Southfield, MI"
"St. Clair Shores",0,1,3,9,8,39,8,2024,9,"MI","St. Clair Shores, MI"
"Sterling Heights",0,5,2,27,6,115,15,2024,9,"MI","Sterling Heights, MI"
"Suffolk",0,3,2,24,7,117,7,2024,10,"VA","Suffolk, VA"
"Taylor",1,0,7,30,16,64,17,2024,9,"MI","Taylor, MI"
"Troy",0,1,3,4,4,93,2,2024,9,"MI","Troy, MI"
"Virginia Beach",0,4,5,5,37,606,44,2024,10,"VA","Virginia Beach, VA"
"Warren",0,10,2,35,24,132,37,2024,9,"MI","Warren, MI"
"Waterford Township",0,3,2,8,13,46,15,2024,9,"MI","Waterford Township, MI"
"West Bloomfield Township",0,1,3,4,2,22,2,2024,9,"MI","West Bloomfield Township, MI"
"Westland",0,6,1,20,18,70,26,2024,9,"MI","Westland, MI"
"Wyoming",1,6,0,24,9,128,10,2024,9,"MI","Wyoming, MI"
