"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state","Agency_Type","vio_crime","prop_crime","Agency","State.y","city_state.x","Source.Link","Source.Type","Source.Method","Population","pop23","Agency_Type.x","Latitude","Longitude","Comment","X","X.1","X.2","ori","pub_agency_name","state_abbr","city_state.y","region_name","division_name","population","Agency_Type.y","State"
"Abington,PA,City","Abington",0,0,3,0,7,85,2,2017,1,"PA","Abington,PA","City",3,94,"Abington","PA","Abington, PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58432,58433,"City",NA,NA,"","","",NA,"PA0460100","Abington","PA","Abington ,PA","Northeast","Middle Atlantic",58433,"City","Northeast"
"Ada,ID,County","Ada",0,7,0,20,6,27,2,2017,1,"ID","Ada,ID","County",27,35,"Ada","ID","Ada, ID","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,138487,"County",NA,NA,"","","",NA,"ID0010000","Ada","ID","Ada ,ID","West","Mountain",138487,"County","West"
"Albany,GA,City","Albany",1,0,4,34,46,183,6,2017,2,"GA","Albany,GA","City",39,235,"Albany","GA","Albany, GA","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",68613,66281,"City",NA,NA,"","","",NA,"GA0470100","Albany","GA","Albany ,GA","South","South Atlantic",66281,"City","South"
"Albuquerque,NM,City","Albuquerque",5,NA,NA,NA,NA,NA,NA,2018,8,"NM","Albuquerque,NM","City",5,0,"Albuquerque","NM","Albuquerque, NM","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",NA,559094,"City",NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","","",NA,"NM0010100","Albuquerque","NM","Albuquerque ,NM","West","Mountain",559094,"City","West"
"Alhambra,CA,City","Alhambra",0,2,7,6,12,78,18,2020,7,"CA","Alhambra,CA","City",15,108,"Alhambra","CA","Alhambra, CA","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79703,79087,"City",NA,NA,"","","",NA,"CA0190100","Alhambra","CA","Alhambra ,CA","West","Pacific",79087,"City","West"
"Allen,TX,City","Allen",0,5,5,5,11,67,4,2017,1,"TX","Allen,TX","City",15,82,"Allen","TX","Allen, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",108135,114696,"City",NA,NA,"Inferred Jan-Mar 2022 from annual average","","",NA,"TX0430100","Allen","TX","Allen ,TX","South","West South Central",114696,"City","South"
"Allentown,PA,City","Allentown",2,8,36,24,50,190,15,2017,1,"PA","Allentown,PA","City",70,255,"Allentown","PA","Allentown, PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",125917,124782,"City",NA,NA,"","","",NA,"PA0390100","Allentown","PA","Allentown ,PA","Northeast","Middle Atlantic",124782,"City","Northeast"
"Amarillo,TX,City","Amarillo",1,16,22,65,131,503,74,2017,1,"TX","Amarillo,TX","City",104,708,"Amarillo","TX","Amarillo, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201572,201684,"City",NA,NA,"","","",NA,"TX1880100","Amarillo","TX","Amarillo ,TX","South","West South Central",201684,"City","South"
"Antioch,CA,City","Antioch",0,1,16,36,33,154,118,2023,10,"CA","Antioch,CA","City",53,305,"Antioch","CA","Antioch, CA","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",114338,115271,"City",NA,NA,"","","",NA,"CA0070100","Antioch","CA","Antioch ,CA","West","Pacific",115271,"City","West"
"Apple Valley,MN,City","Apple Valley",0,6,4,2,5,63,3,2017,1,"MN","Apple Valley,MN","City",12,71,"Apple Valley","MN","Apple Valley, MN","https://cde.state.mn.us/","State UCR","Open Source",55145,54995,"City",NA,NA,"","","",NA,"MN0191000","Apple Valley","MN","Apple Valley ,MN","Midwest","West North Central",54995,"City","Midwest"
