"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","Source","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Abilene,TX,City","Abilene",2,10,9,20,28,114,17,2022,2,"City",NA,"Abilene,TX","City",41,159,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",128387,NA,NA,"","","TX2210100","Abilene",NA,"South","West South Central","abilene","TX",124413,"city 100,000 thru 249,999",NA,NA,NA,NA,128387,"Abilene, TX","City","TX","TX"
"Abington,PA,City","Abington",0,0,0,1,2,71,1,2020,9,"City",NA,"Abington,PA","City",1,74,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58433,NA,NA,"","","PA0460100","Abington",NA,"Northeast","Middle Atlantic","abington township","PA",58429,"city 50,000 thru 99,999",NA,NA,NA,NA,58433,"Abington, PA","City","PA","PA"
"Ada,ID,County","Ada",0,2,0,13,6,40,1,2018,4,"County",NA,"Ada,ID","County",15,47,"Ada","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","","ID0010000","Ada",NA,"West","Mountain","ada","ID",144346,"msa-county 100,000+",NA,NA,NA,NA,138487,"Ada, ID","County","ID","ID"
"Adams,CO,County","Adams",0,8,7,34,48,208,134,2021,1,"County",NA,"Adams,CO","County",49,390,"Adams","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",100798,NA,NA,"","","CO0010000","Adams",NA,"West","Mountain","adams","CO",103829,"msa-county 100,000+",NA,NA,NA,NA,100798,"Adams, CO","County","CO","CO"
"Aiken,SC,County","Aiken",2,9,4,27,35,131,27,2023,6,"County",NA,"Aiken,SC","County",42,193,"Aiken","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",110756,NA,NA,"","","SC0020000","Aiken",NA,"South","South Atlantic","aiken","SC",112764,"msa-county 100,000+",NA,NA,NA,NA,110756,"Aiken, SC","County","SC","SC"
"Alameda,CA,City","Alameda",0,0,2,6,13,128,21,2018,12,"City",NA,"Alameda,CA","City",8,162,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",75061,NA,NA,"","","CA0010100","Alameda",NA,"West","Pacific","alameda","CA",74458,"city 50,000 thru 99,999",NA,NA,NA,NA,75061,"Alameda, CA","City","CA","CA"
"Alameda,CA,County","Alameda",0,3,19,53,16,92,51,2024,3,"County",NA,"Alameda,CA","County",75,159,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",148466,NA,NA,"","","CA0010000","Alameda",NA,"West","Pacific","alameda","CA",165271,"msa-county 100,000+",NA,NA,NA,NA,148466,"Alameda, CA","County","CA","CA"
"Albany,GA,City","Albany",3,2,14,36,73,209,16,2019,8,"City",NA,"Albany,GA","City",55,298,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",66281,NA,NA,"","","GA0470100","Albany",NA,"South","South Atlantic","albany","GA",66169,"city 50,000 thru 99,999",NA,NA,NA,NA,66281,"Albany, GA","City","GA","GA"
"Albemarle,VA,County","Albemarle",0,3,2,17,9,100,9,2022,7,"County",NA,"Albemarle,VA","County",22,118,"Albemarle","From VA","State UCR","Provided by State UCR Program",115659,NA,NA,"","","VA0020300","Albemarle",NA,"South","South Atlantic","albemarle county pol dep","VA",117655,"msa-county 100,000+",NA,NA,NA,NA,115659,"Albemarle, VA","County","VA","VA"
"Albuquerque,NM,City","Albuquerque",7,NA,NA,NA,NA,NA,NA,2024,4,"City",NA,"Albuquerque,NM","City",7,0,"Albuquerque","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","","NM0010100","Albuquerque",NA,"West","Mountain","albuquerque","NM",558745,"city 500,000 thru 999,999",NA,NA,NA,NA,559094,"Albuquerque, NM","City","NM","NM"
