"city_state_id","Agency Name","Month","Year","vio_crime","prop_crime","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Agency","State","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state","Agency_Type","State_ref"
"Abilene,TX,City","Abilene",1,2017,39,345,0,4,11,24,72,255,18,"Abilene","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",128387,NA,NA,"","TX2210100","Abilene","TX","South","West South Central",128387,"Abilene,TX","City","TX"
"Abington,PA,City","Abington",1,2017,3,94,0,0,3,0,7,85,2,"Abington","Northeast","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58433,NA,NA,"","PA0460100","Abington","PA","Northeast","Middle Atlantic",58433,"Abington,PA","City","PA"
"Ada,ID,County","Ada",1,2017,27,35,0,7,0,20,6,27,2,"Ada","West","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","ID0010000","Ada","ID","West","Mountain",138487,"Ada,ID","County","ID"
"Albany,GA,City","Albany",1,2017,64,305,2,2,16,44,103,192,10,"Albany","South","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",66281,NA,NA,"","GA0470100","Albany","GA","South","South Atlantic",66281,"Albany,GA","City","GA"
"Albemarle,VA,County","Albemarle",1,2017,6,104,1,3,0,2,20,76,8,"Albemarle","South","From VA","State UCR","From VA",115659,NA,NA,"","VA0020300","Albemarle","VA","South","South Atlantic",115659,"Albemarle,VA","County","VA"
"Albuquerque,NM,City","Albuquerque",1,2017,6,0,6,NA,NA,NA,NA,NA,NA,"Albuquerque","West","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","NM0010100","Albuquerque","NM","West","Mountain",559094,"Albuquerque,NM","City","NM"
"Allen,TX,City","Allen",1,2017,15,82,0,5,5,5,11,67,4,"Allen","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","TX0430100","Allen","TX","South","West South Central",114696,"Allen,TX","City","TX"
"Allentown,PA,City","Allentown",1,2017,70,255,2,8,36,24,50,190,15,"Allentown","Northeast","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",124782,NA,NA,"","PA0390100","Allentown","PA","Northeast","Middle Atlantic",124782,"Allentown,PA","City","PA"
"Amarillo,TX,City","Amarillo",1,2017,104,708,1,16,22,65,131,503,74,"Amarillo","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201684,NA,NA,"","TX1880100","Amarillo","TX","South","West South Central",201684,"Amarillo,TX","City","TX"
"Ann Arbor,MI,City","Ann Arbor",1,2017,20,145,0,5,6,9,13,129,3,"Ann Arbor","Midwest","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",118072,NA,NA,"","MI8121800","Ann Arbor","MI","Midwest","East North Central",118072,"Ann Arbor,MI","City","MI"
"Antioch,CA,City","Antioch",1,2017,60,296,1,4,30,25,56,160,80,"Antioch","West","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",115271,NA,NA,"","CA0070100","Antioch","CA","West","Pacific",115271,"Antioch,CA","City","CA"
"Apple Valley,MN,City","Apple Valley",1,2017,12,71,0,6,4,2,5,63,3,"Apple Valley","Midwest","https://cde.state.mn.us/","State UCR","Open Source",54995,NA,NA,"","MN0191000","Apple Valley","MN","Midwest","West North Central",54995,"Apple Valley,MN","City","MN"
"Arapahoe,CO,County","Arapahoe",1,2017,19,161,0,2,6,11,36,95,30,"Arapahoe","West","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104204,NA,NA,"","CO0030000","Arapahoe","CO","West","Mountain",104204,"Arapahoe,CO","County","CO"
"Arlington Heights,IL,City","Arlington Heights",1,2017,6,67,0,1,2,3,7,58,2,"Arlington Heights","Midwest","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,NA,NA,"","IL0160200","Arlington Heights","IL","Midwest","East North Central",74094,"Arlington Heights,IL","City","IL"
"Arlington,TX,City","Arlington",1,2017,169,1020,3,43,44,79,159,755,106,"Arlington","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",394799,NA,NA,"","TX2200100","Arlington","TX","South","West South Central",394799,"Arlington,TX","City","TX"
"Arlington,VA,County","Arlington",1,2017,22,224,1,4,3,14,17,195,12,"Arlington","South","From VA","State UCR","From VA",231844,NA,NA,"","VA0070100","Arlington","VA","South","South Atlantic",231844,"Arlington,VA","County","VA"
"Asheville,NC,City","Asheville",2,2025,62,308,0,5,7,50,40,242,26,"Asheville","South","From NC","State UCR","Provided by Agency",93471,NA,NA,"","NC0110100","Asheville","NC","South","South Atlantic",93471,"Asheville,NC","City","NC"
"Atlanta,GA,City","Atlanta",1,2017,287,1808,12,NA,130,145,317,1224,267,"Atlanta","South","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",500212,NA,NA,"","GAAPD0000","Atlanta","GA","South","South Atlantic",500212,"Atlanta,GA","City","GA"
"Aurora,CO,City","Aurora",1,2017,200,987,2,47,75,76,174,635,178,"Aurora","West","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",396976,NA,NA,"","CO0010100","Aurora","CO","West","Mountain",396976,"Aurora,CO","City","CO"
"Austin,TX,City","Austin",1,2017,321,2780,1,65,74,181,433,2170,177,"Austin","South","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",978816,NA,NA,"","TX2270100","Austin","TX","South","West South Central",978816,"Austin,TX","City","TX"
"Avondale,AZ,City","Avondale",1,2017,24,275,0,4,8,12,50,208,17,"Avondale","West","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",92661,NA,NA,"","AZ0070100","Avondale","AZ","West","Mountain",92661,"Avondale,AZ","City","AZ"
"Bakersfield,CA,City","Bakersfield",1,2017,140,1536,1,4,61,74,285,967,284,"Bakersfield","West","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",413409,NA,NA,"","CA0150200","Bakersfield","CA","West","Pacific",413409,"Bakersfield,CA","City","CA"
"Baltimore,MD,City","Baltimore",1,2017,1229,2687,32,31,586,580,736,1453,498,"Baltimore","South","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",565192,NA,NA,"","MDBPD0000","Baltimore","MD","South","South Atlantic",565192,"Baltimore,MD","City","MD"
"Baltimore,MD,County","Baltimore",1,2017,390,2025,2,NA,174,214,363,1473,189,"Baltimore","South","https://opendata.baltimorecountymd.gov/pages/dash","Agency Aggregated","Open Source",845222,NA,NA,"","MD0030100","Baltimore","MD","South","South Atlantic",845222,"Baltimore,MD","County","MD"
"Battle Creek,MI,City","Battle Creek",1,2017,49,157,0,9,9,31,39,109,9,"Battle Creek","Midwest","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",60969,NA,NA,"","MI1323700","Battle Creek","MI","Midwest","East North Central",60969,"Battle Creek,MI","City","MI"
"Baytown,TX,City","Baytown",1,2017,31,233,0,3,18,10,44,160,29,"Baytown","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83809,NA,NA,"","TX1010100","Baytown","TX","South","West South Central",83809,"Baytown,TX","City","TX"
"Beaumont,TX,City","Beaumont",1,2017,109,449,2,11,38,58,132,293,24,"Beaumont","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110671,NA,NA,"","TX1230100","Beaumont","TX","South","West South Central",110671,"Beaumont,TX","City","TX"
"Beaverton,OR,City","Beaverton",1,2017,14,147,0,3,5,6,20,109,18,"Beaverton","West","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",96840,NA,NA,"","OR0340100","Beaverton","OR","West","Pacific",96840,"Beaverton,OR","City","OR"
"Bellevue,NE,City","Bellevue",1,2024,6,53,0,5,1,0,2,42,9,"Bellevue","Midwest","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",62372,NA,NA,"","NB0770100","Bellevue","NE","Midwest","West North Central",62372,"Bellevue,NE","City","NE"
"Bellingham,WA,City","Bellingham",1,2017,7,290,0,NA,7,NA,NA,273,17,"Bellingham","West","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",94968,NA,NA,"","WA0370100","Bellingham","WA","West","Pacific",94968,"Bellingham,WA","City","WA"
"Bend,OR,City","Bend",1,2017,9,110,0,2,4,3,11,93,6,"Bend","West","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",105099,NA,NA,"","OR0090100","Bend","OR","West","Pacific",105099,"Bend,OR","City","OR"
"Bethlehem,PA,City","Bethlehem",1,2017,44,111,0,1,8,35,18,90,3,"Bethlehem","Northeast","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",78606,NA,NA,"Inferred Dec 2019 from annual average","PA0480300","Bethlehem","PA","Northeast","Middle Atlantic",78606,"Bethlehem,PA","City","PA"
"Bismarck,ND,City","Bismarck",1,2017,33,179,0,4,2,27,34,119,26,"Bismarck","Midwest","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","ND0080100","Bismarck","ND","Midwest","West North Central",74802,"Bismarck,ND","City","ND"
"Blaine,MN,City","Blaine",1,2017,7,140,0,1,1,5,13,124,3,"Blaine","Midwest","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","MN0020200","Blaine","MN","Midwest","West North Central",72384,"Blaine,MN","City","MN"
"Bloomington,MN,City","Bloomington",1,2017,16,242,0,5,5,6,16,211,15,"Bloomington","Midwest","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","MN0270100","Bloomington","MN","Midwest","West North Central",86793,"Bloomington,MN","City","MN"
"Blue Springs,MO,City","Blue Springs",1,2017,9,129,0,1,0,8,13,109,7,"Blue Springs","Midwest","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","MO0480100","Blue Springs","MO","Midwest","West North Central",59896,"Blue Springs,MO","City","MO"
"Bolingbrook,IL,City","Bolingbrook",1,2017,13,73,0,0,2,11,7,56,10,"Bolingbrook","Midwest","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","IL0990200","Bolingbrook","IL","Midwest","East North Central",74138,"Bolingbrook,IL","City","IL"
"Boston,MA,City","Boston",1,2017,410,1240,5,34,152,219,169,940,131,"Boston","Northeast","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",642823,NA,NA,"","MA0130100","Boston","MA","Northeast","New England",642823,"Boston,MA","City","MA"
"Brazoria,TX,County","Brazoria",1,2017,16,100,0,4,5,7,34,53,13,"Brazoria","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",132229,NA,NA,"","TX0200000","Brazoria","TX","South","West South Central",132229,"Brazoria,TX","County","TX"
"Bridgeport,CT,City","Bridgeport",1,2017,108,291,2,9,51,46,59,162,70,"Bridgeport","Northeast","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148483,NA,NA,"","CT0001500","Bridgeport","CT","Northeast","New England",148483,"Bridgeport,CT","City","CT"
"Bristol,CT,City","Bristol",7,2020,7,62,0,0,4,3,6,43,13,"Bristol","Northeast","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",61609,NA,NA,"","CT0001700","Bristol","CT","Northeast","New England",61609,"Bristol,CT","City","CT"
"Brockton,MA,City","Brockton",1,2017,77,189,2,10,12,53,37,132,20,"Brockton","Northeast","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",108938,NA,NA,"","MA0120300","Brockton","MA","Northeast","New England",108938,"Brockton,MA","City","MA"
"Brooklyn Park,MN,City","Brooklyn Park",1,2017,24,166,0,6,5,13,21,137,8,"Brooklyn Park","Midwest","https://cde.state.mn.us/","State UCR","Open Source",81920,NA,NA,"","MN0270300","Brooklyn Park","MN","Midwest","West North Central",81920,"Brooklyn Park,MN","City","MN"
"Broomfield,CO,City","Broomfield",1,2017,6,120,0,2,1,3,8,102,10,"Broomfield","West","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",77072,NA,NA,"","CO0640100","Broomfield","CO","West","Mountain",77072,"Broomfield,CO","City","CO"
"Brownsville,TX,City","Brownsville",1,2017,26,500,1,4,9,12,58,424,18,"Brownsville","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",190590,NA,NA,"","TX0310100","Brownsville","TX","South","West South Central",190590,"Brownsville,TX","City","TX"
"Buckeye,AZ,City","Buckeye",1,2017,11,105,1,5,1,4,19,80,6,"Buckeye","West","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",112048,NA,NA,"","AZ0070300","Buckeye","AZ","West","Mountain",112048,"Buckeye,AZ","City","AZ"
"Buffalo,NY,City","Buffalo",1,2017,192,724,8,15,75,94,165,496,63,"Buffalo","Northeast","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data","Agency Aggregated","Open Source",275922,NA,NA,"","NY0140100","Buffalo","NY","Northeast","Middle Atlantic",275922,"Buffalo,NY","City","NY"
"Buncombe,NC,County","Buncombe",2,2025,21,100,0,3,2,16,29,62,9,"Buncombe","South","From NC","State UCR","Provided by Agency",158547,NA,NA,"","NC0110000","Buncombe","NC","South","South Atlantic",158547,"Buncombe,NC","County","NC"
