"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Abilene,TX,City","TX2210100","Abilene",0,4,11,24,72,255,18,2017,1,"City","Abilene,TX","City",39,345,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",128387,NA,NA,"","","TX2210100","Abilene",NA,"South","West South Central","abilene","TX",124413,"city 100,000 thru 249,999",NA,NA,NA,NA,128387,"Abilene, TX","City","TX","TX"
"Abington,PA,City","PA0460100","Abington",0,0,3,0,7,85,2,2017,1,"City","Abington,PA","City",3,94,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58433,NA,NA,"","","PA0460100","Abington",NA,"Northeast","Middle Atlantic","abington township","PA",58429,"city 50,000 thru 99,999",NA,NA,NA,NA,58433,"Abington, PA","City","PA","PA"
"Ada,ID,County","ID0010000","Ada",0,7,0,20,6,27,2,2017,1,"County","Ada,ID","County",27,35,"Ada","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","","ID0010000","Ada",NA,"West","Mountain","ada","ID",144346,"msa-county 100,000+",NA,NA,NA,NA,138487,"Ada, ID","County","ID","ID"
"Adams,CO,County","CO0010000","Adams",0,8,11,30,39,166,113,2017,1,"County","Adams,CO","County",49,318,"Adams","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",100798,NA,NA,"","","CO0010000","Adams",NA,"West","Mountain","adams","CO",103829,"msa-county 100,000+",NA,NA,NA,NA,100798,"Adams, CO","County","CO","CO"
"Alameda,CA,City","CA0010100","Alameda",0,5,9,10,19,155,76,2021,7,"City","Alameda,CA","City",24,250,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",75061,NA,NA,"","","CA0010100","Alameda",NA,"West","Pacific","alameda","CA",74458,"city 50,000 thru 99,999",NA,NA,NA,NA,75061,"Alameda, CA","City","CA","CA"
"Alameda,CA,County","CA0010000","Alameda",1,1,16,29,36,82,73,2017,1,"County","Alameda,CA","County",47,191,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",148466,NA,NA,"","","CA0010000","Alameda",NA,"West","Pacific","alameda","CA",165271,"msa-county 100,000+",NA,NA,NA,NA,148466,"Alameda, CA","County","CA","CA"
"Albany,GA,City","GA0470100","Albany",2,2,16,44,103,192,10,2017,1,"City","Albany,GA","City",64,305,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",66281,NA,NA,"","","GA0470100","Albany",NA,"South","South Atlantic","albany","GA",66169,"city 50,000 thru 99,999",NA,NA,NA,NA,66281,"Albany, GA","City","GA","GA"
"Albany,OR,City","OR0220100","Albany",0,1,2,2,15,90,10,2017,1,"City","Albany,OR","City",5,115,"Albany","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",57002,NA,NA,"","","OR0220100","Albany",NA,"West","Pacific","albany","OR",47795,"city 50,000 thru 99,999",NA,NA,NA,NA,57002,"Albany, OR","City","OR","OR"
"Albuquerque,NM,City","NM0010100","Albuquerque",6,NA,NA,NA,NA,NA,NA,2017,1,"City","Albuquerque,NM","City",6,0,"Albuquerque","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","","NM0010100","Albuquerque",NA,"West","Mountain","albuquerque","NM",558745,"city 500,000 thru 999,999",NA,NA,NA,NA,559094,"Albuquerque, NM","City","NM","NM"
"Aliso Viejo,CA,City","CA030490X","Aliso Viejo",0,0,1,3,8,34,3,2017,1,"City","Aliso Viejo,CA","City",4,45,"Aliso Viejo","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",49674,NA,NA,"","","CA030490X","Aliso Viejo",NA,"West","Pacific",NA,NA,50736,NA,NA,NA,NA,NA,50736,"Aliso Viejo, CA","City","CA","CA"
