"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state_id","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Abilene, TX","Abilene",2,6,2,35,27,137,11,2023,5,"TX","Abilene, TX,City",45,175,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",125186,128387,NA,NA,"","Abilene","TX","South","West South Central",128387
"Abington, PA","Abington",0,0,0,1,1,82,5,2024,6,"PA","Abington, PA,City",1,88,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58432,58433,NA,NA,"","Abington Township, Montgomery County","PA","Northeast","Middle Atlantic",58433
"Ada, ID","Ada",0,2,1,12,6,38,6,2022,7,"ID","Ada, ID,County",15,50,"Ada","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,138487,NA,NA,"","Ada","ID","West","Mountain",138487
"Albany, GA","Albany",4,3,15,87,82,295,22,2017,6,"GA","Albany, GA,City",109,399,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",68613,66281,NA,NA,"","Albany","GA","South","South Atlantic",66281
"Albemarle, VA","Albemarle",0,3,0,6,11,112,5,2020,12,"VA","Albemarle, VA,County",9,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria, VA","Alexandria",0,0,6,26,11,239,28,2023,2,"VA","Alexandria, VA,City",32,278,"Alexandria","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",150957,153897,NA,NA,"","Alexandria","VA","South","South Atlantic",153897
"Alhambra, CA","Alhambra",0,0,8,17,41,107,20,2018,3,"CA","Alhambra, CA,City",25,168,"Alhambra","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79703,79087,NA,NA,"","Alhambra","CA","West","Pacific",79087
"Allen, TX","Allen",0,5,1,3,11,125,3,2018,11,"TX","Allen, TX,City",9,139,"Allen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",108135,114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","Allen","TX","South","West South Central",114696
"Allentown, PA","Allentown",0,7,14,11,28,165,24,2018,6,"PA","Allentown, PA,City",32,217,"Allentown","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",125917,124782,NA,NA,"","Allentown","PA","Northeast","Middle Atlantic",124782
"Amarillo, TX","Amarillo",0,21,29,76,114,428,78,2018,3,"TX","Amarillo, TX,City",126,620,"Amarillo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201572,201684,NA,NA,"","Amarillo","TX","South","West South Central",201684
"Antioch, CA","Antioch",4,7,26,35,64,196,48,2018,7,"CA","Antioch, CA,City",72,308,"Antioch","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",114338,115271,NA,NA,"","Antioch","CA","West","Pacific",115271
"Arlington Heights, IL","Arlington Heights",0,1,1,2,8,34,2,2024,8,"IL","Arlington Heights, IL,City",4,44,"Arlington Heights","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,74094,NA,NA,"","Arlington Heights","IL","Midwest","East North Central",74094
"Arlington, TX","Arlington",2,36,25,148,72,638,104,2022,4,"TX","Arlington, TX,City",211,814,"Arlington","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",391591,394799,NA,NA,"","Arlington","TX","South","West South Central",394799
"Arlington, VA","Arlington",1,5,6,19,19,197,18,2018,10,"VA","Arlington, VA,County",31,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asheville, NC","Asheville",1,NA,12,20,64,229,21,2018,9,"NC","Asheville, NC,City",33,314,"Asheville","https://data-avl.opendata.arcgis.com/datasets/fa266be763124be89fee8c1fd99f88ff_3/explore","Agency RMS","Open Source",93729,93471,NA,NA,"","Asheville","NC","South","South Atlantic",93471
"Atlanta, GA","Atlanta",20,NA,80,233,153,1042,275,2020,8,"GA","Atlanta, GA,City",333,1470,"Atlanta","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",495707,500212,NA,NA,"","Atlanta","GA","South","South Atlantic",500212
"Austin, TX","Austin",6,53,94,263,406,2540,260,2019,7,"TX","Austin, TX,City",416,3206,"Austin","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",965234,978816,NA,NA,"","Austin","TX","South","West South Central",978816
"Avondale, AZ","Avondale",0,0,4,13,10,197,16,2020,4,"AZ","Avondale, AZ,City",17,223,"Avondale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",91467,92661,NA,NA,"","Avondale","AZ","West","Mountain",92661
