"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Abilene,TX,City","TX2210100","Abilene",0,4,11,24,72,255,18,2017,1,"City","Abilene,TX","City",39,345,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",128387,NA,NA,"","","TX2210100","Abilene",NA,"South","West South Central","abilene","TX",124413,"city 100,000 thru 249,999",NA,NA,NA,NA,128387,"Abilene, TX","City","TX","TX"
"Ada,ID,County","ID0010000","Ada",0,7,0,20,6,27,2,2017,1,"County","Ada,ID","County",27,35,"Ada","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","","ID0010000","Ada",NA,"West","Mountain","ada","ID",144346,"msa-county 100,000+",NA,NA,NA,NA,138487,"Ada, ID","County","ID","ID"
"Adams,CO,County","CO0010000","Adams",0,8,11,30,39,166,113,2017,1,"County","Adams,CO","County",49,318,"Adams","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",100798,NA,NA,"","","CO0010000","Adams",NA,"West","Mountain","adams","CO",103829,"msa-county 100,000+",NA,NA,NA,NA,100798,"Adams, CO","County","CO","CO"
"Aiken,SC,County","SC0020000","Aiken",0,8,8,34,61,160,32,2017,1,"County","Aiken,SC","County",50,253,"Aiken","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",110756,NA,NA,"","","SC0020000","Aiken",NA,"South","South Atlantic","aiken","SC",112764,"msa-county 100,000+",NA,NA,NA,NA,110756,"Aiken, SC","County","SC","SC"
"Akron,OH,City","OH0770100","Akron",2,24,41,62,177,414,73,2017,1,"City","Akron,OH","City",129,664,"Akron","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",187705,NA,NA,"","","OH0770100","Akron",NA,"Midwest","East North Central","akron","OH",188223,"city 100,000 thru 249,999",NA,NA,NA,NA,187705,"Akron, OH","City","OH","OH"
"Alameda,CA,City","CA0010100","Alameda",0,2,8,3,14,147,37,2017,1,"City","Alameda,CA","City",13,198,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",75061,NA,NA,"","","CA0010100","Alameda",NA,"West","Pacific","alameda","CA",74458,"city 50,000 thru 99,999",NA,NA,NA,NA,75061,"Alameda, CA","City","CA","CA"
"Alameda,CA,County","CA0010000","Alameda",1,1,16,29,36,82,73,2017,1,"County","Alameda,CA","County",47,191,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",148466,NA,NA,"","","CA0010000","Alameda",NA,"West","Pacific","alameda","CA",165271,"msa-county 100,000+",NA,NA,NA,NA,148466,"Alameda, CA","County","CA","CA"
"Albany,GA,City","GA0470100","Albany",2,2,16,44,103,192,10,2017,1,"City","Albany,GA","City",64,305,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",66281,NA,NA,"","","GA0470100","Albany",NA,"South","South Atlantic","albany","GA",66169,"city 50,000 thru 99,999",NA,NA,NA,NA,66281,"Albany, GA","City","GA","GA"
"Albuquerque,NM,City","NM0010100","Albuquerque",6,NA,NA,NA,NA,NA,NA,2017,1,"City","Albuquerque,NM","City",6,0,"Albuquerque","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","","NM0010100","Albuquerque",NA,"West","Mountain","albuquerque","NM",558745,"city 500,000 thru 999,999",NA,NA,NA,NA,559094,"Albuquerque, NM","City","NM","NM"
"Alhambra,CA,City","CA0190100","Alhambra",1,2,13,5,37,129,39,2017,1,"City","Alhambra,CA","City",21,205,"Alhambra","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79087,NA,NA,"","","CA0190100","Alhambra",NA,"West","Pacific","alhambra","CA",78840,"city 50,000 thru 99,999",NA,NA,NA,NA,79087,"Alhambra, CA","City","CA","CA"
